,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
67,Corey Brewer,.594,.330,.149,.051,.065,.406,.682,.951,.029,.625
278,Cory Jefferson,.955,.591,.227,.045,.091,.045,.778,,.227,.000
306,Cory Joseph,.812,.297,.239,.111,.164,.188,.189,.967,.000,.309
99,Coty Clarke,.500,.000,.250,.000,.250,.500,,1.000,.000,.500
327,Courtney Lee,.660,.191,.091,.136,.243,.340,.606,1.000,.006,.369
159,Cristiano Felício,.944,.583,.097,.028,.236,.056,.800,,.139,.000
481,D'Angelo Russell,.613,.189,.129,.144,.151,.387,.271,.692,.002,.143
29,D.J. Augustin,.520,.260,.106,.071,.080,.480,.175,.632,.000,.220
300,Dahntay Jones,.857,.286,.214,.143,.214,.143,.400,1.000,.000,.500
338,Damian Lillard,.586,.260,.110,.072,.145,.414,.203,.472,.009,.056
271,Damien Inglis,.649,.351,.081,.135,.081,.351,.700,.667,.054,.385
479,Damjan Rudež,.194,.161,.016,.016,.000,.806,.750,1.000,.016,.240
176,Danilo Gallinari,.659,.297,.071,.061,.226,.341,.460,.885,.061,.121
196,Danny Green,.378,.166,.050,.064,.094,.622,.716,.966,.018,.312
116,Dante Cunningham,.578,.296,.083,.039,.163,.422,.855,1.000,.066,.615
27,Darrell Arthur,.761,.209,.096,.115,.342,.239,.784,1.000,.045,.282
102,Darren Collison,.720,.272,.133,.094,.222,.280,.345,.770,.005,.300
241,Darrun Hilliard,.618,.214,.099,.076,.237,.382,.424,.895,.015,.400
331,David Lee,.997,.606,.281,.054,.057,.003,.674,,.093,.000
574,David West,.984,.257,.230,.152,.346,.016,.784,1.000,.029,.143
305,DeAndre Jordan,.998,.839,.154,.006,.000,.002,.782,,.488,.000
55,DeJuan Blair,.985,.382,.250,.221,.132,.015,.821,,.000,.000
131,DeMar DeRozan,.899,.226,.213,.214,.247,.101,.252,.830,.029,.424
110,DeMarcus Cousins,.842,.360,.286,.035,.161,.158,.550,1.000,.062,.033
87,DeMarre Carroll,.563,.219,.207,.063,.074,.437,.542,.957,.019,.220
593,Delon Wright,.838,.513,.188,.063,.088,.163,.161,.200,.013,.154
486,Dennis Schröder,.694,.371,.078,.063,.182,.306,.230,.727,.005,.109
581,Deron Williams,.636,.164,.183,.111,.178,.364,.241,.804,.001,.184
158,Derrick Favors,.995,.380,.210,.249,.157,.005,.646,,.107,.000
474,Derrick Rose,.857,.300,.205,.160,.191,.143,.223,.909,.001,.147
582,Derrick Williams,.735,.391,.096,.094,.154,.265,.590,.864,.087,.353
61,Devin Booker,.667,.212,.129,.106,.219,.333,.455,.788,.012,.194
219,Devin Harris,.578,.316,.104,.051,.107,.422,.470,.923,.000,.392
351,Devyn Marble,.549,.239,.070,.070,.169,.451,.462,1.000,.000,.250
126,Dewayne Dedmon,1.000,.599,.232,.090,.079,.000,.778,,.249,
563,Dion Waiters,.660,.286,.076,.065,.229,.340,.306,.872,.025,.400
421,Dirk Nowitzki,.692,.075,.068,.261,.289,.308,.632,.984,.004,.102
496,Donald Sloan,.717,.391,.103,.057,.166,.283,.310,.868,.003,.283
402,Donatas Motiejūnas,.722,.205,.400,.098,.020,.278,.716,1.000,.010,.368
