,Player,GS,FG,FGA,ORB,DRB,AST,STL,BLK,TOV,PF
651,Jarell Martin,1,1.0,2.5,0.3,1.5,0.4,0.1,0.2,0.3,1.2
120,Jaren Jackson Jr.,56,5.1,10.2,1.3,3.4,1.1,0.9,1.4,1.7,3.8
555,Jaron Blossomgame,4,1.7,3.9,1.0,2.7,0.5,0.3,0.3,0.4,0.7
711,Jarred Vanderbilt,0,0.5,1.1,0.4,0.9,0.2,0.4,0.1,0.5,0.5
201,Jarrett Allen,80,4.2,7.1,2.4,6.0,1.4,0.5,1.5,1.3,2.3
614,Jason Smith,1,1.1,3.0,0.8,1.8,0.7,0.2,0.4,0.7,1.5
728,Jawun Evans,0,0.4,1.8,0.1,1.4,1.3,0.4,0.0,0.8,1.0
633,Jaylen Adams,1,1.1,3.2,0.3,1.4,1.9,0.4,0.1,0.8,1.3
143,Jaylen Brown,25,5.0,10.7,0.9,3.4,1.4,0.9,0.4,1.3,2.5
666,Jaylen Morris,0,1.0,2.5,0.0,1.3,1.0,0.5,0.0,0.3,0.3
81,Jayson Tatum,79,5.9,13.1,0.9,5.2,2.1,1.1,0.7,1.5,2.1
157,Jeff Green,44,4.2,8.9,0.7,3.3,1.8,0.6,0.5,1.3,2.1
164,Jeff Teague,41,4.2,9.9,0.4,2.1,8.2,1.0,0.4,2.3,2.1
538,Jemerrio Jones,2,2.0,5.5,2.7,5.5,2.2,1.2,0.8,0.8,1.7
135,Jerami Grant,77,5.1,10.3,1.2,4.0,1.0,0.8,1.3,0.8,2.7
91,Jeremy Lamb,55,5.5,12.4,0.8,4.7,2.2,1.1,0.4,1.0,1.8
243,Jeremy Lin,4,3.2,7.3,0.3,2.1,3.1,0.6,0.2,1.7,1.9
557,Jerian Grant,1,1.5,3.7,0.3,1.3,2.6,0.7,0.1,0.9,1.3
610,Jerome Robinson,0,1.3,3.3,0.1,1.2,0.6,0.3,0.1,0.4,1.4
436,Jerryd Bayless,6,2.4,6.8,0.3,1.5,3.5,0.5,0.1,0.9,1.6
542,Jevon Carter,3,1.4,4.7,0.4,1.3,1.8,0.7,0.3,0.8,1.4
592,Jimmer Fredette,0,1.3,4.8,0.2,1.0,1.3,0.5,0.0,0.8,0.8
43,Jimmy Butler,65,6.4,13.9,1.9,3.4,4.0,1.9,0.6,1.5,1.7
366,Joakim Noah,1,2.6,5.1,1.4,4.3,2.1,0.5,0.7,1.2,2.3
420,Jodie Meeks,0,2.6,4.9,0.1,1.4,1.0,0.1,0.1,0.3,0.6
686,Joe Chealey,0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
127,Joe Harris,76,4.9,9.8,0.7,3.1,2.4,0.5,0.2,1.6,2.4
163,Joe Ingles,82,4.4,9.8,0.4,3.6,5.7,1.2,0.2,2.4,2.2
3,Joel Embiid,64,9.1,18.7,2.5,11.1,3.7,0.7,1.9,3.5,3.3
39,John Collins,59,7.6,13.6,3.6,6.2,2.0,0.4,0.6,2.0,3.3
479,John Henson,0,2.2,4.8,1.1,3.9,1.0,0.5,0.8,0.9,1.1
736,John Holland,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,John Jenkins,0,1.6,4.0,0.2,1.2,0.8,0.0,0.1,0.3,0.4
31,John Wall,32,7.7,17.3,0.5,3.2,8.7,1.5,0.9,3.8,2.2
537,Johnathan Motley,0,1.8,3.3,0.8,1.5,0.5,0.2,0.1,0.7,1.2
412,Johnathan Williams,0,2.7,4.6,2.0,2.1,0.5,0.3,0.3,0.7,2.6
585,Jon Leuer,1,1.6,2.8,0.7,1.7,0.3,0.3,0.1,0.6,1.5
531,Jonah Bolden,10,1.8,3.7,1.1,2.7,0.9,0.4,0.9,0.8,2.3
426,Jonas Jerebko,6,2.2,4.9,1.0,3.0,1.3,0.4,0.2,0.6,1.9
82,Jonas Valančiūnas,27,6.1,11.0,2.2,6.4,1.4,0.4,1.1,1.8,3.0
248,Jonathan Isaac,64,3.5,8.1,1.3,4.2,1.1,0.8,1.3,1.0,1.9
405,Jonathon Simmons,9,2.4,6.3,0.5,1.8,2.3,0.5,0.3,1.2,1.6
621,Jordan Bell,3,1.5,2.8,0.8,1.9,1.1,0.3,0.8,0.6,1.2
66,Jordan Clarkson,0,6.5,14.6,1.0,2.3,2.4,0.7,0.2,1.7,1.4
672,Jordan Loyd,0,0.7,1.5,0.1,0.7,0.5,0.0,0.0,0.2,0.4
460,Jordan McRae,0,2.3,4.8,0.2,1.3,1.1,0.5,0.3,0.6,1.0
646,Jordan Sibert,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,Josh Hart,22,2.8,6.9,0.5,3.2,1.4,1.0,0.6,0.9,2.2
177,Josh Jackson,29,4.4,10.6,0.8,3.6,2.3,0.9,0.7,2.2,2.6
330,Josh Okogie,52,2.6,6.9,0.6,2.4,1.2,1.2,0.4,0.9,2.2
71,Josh Richardson,73,5.8,14.1,0.7,2.9,4.1,1.1,0.5,1.5,2.7
673,José Calderón,0,0.9,2.4,0.2,1.0,2.3,0.3,0.1,0.7,1.3
25,Jrue Holiday,67,8.2,17.3,1.1,3.9,7.7,1.6,0.8,3.1,2.2
467,Juancho Hernangómez,25,2.0,4.5,0.9,2.9,0.8,0.4,0.3,0.5,1.3
680,Julian Washburn,3,0.9,2.7,0.4,1.8,0.8,0.7,0.1,0.4,0.9
21,Julius Randle,49,7.8,14.9,2.2,6.5,3.1,0.7,0.6,2.8,3.4
590,Justin Anderson,4,1.3,3.3,0.5,1.3,0.5,0.5,0.3,0.5,1.0
215,Justin Holiday,77,3.7,9.5,0.6,3.4,1.8,1.5,0.4,1.3,2.0
361,Justin Jackson,14,2.7,6.0,0.5,2.1,1.2,0.4,0.2,0.4,1.2
701,Justin Patton,0,0.7,2.3,0.7,1.3,1.0,0.7,0.0,0.0,1.7
151,Justise Winslow,52,4.9,11.3,1.0,4.4,4.3,1.1,0.3,2.2,2.7
87,Jusuf Nurkić,72,5.8,11.5,3.4,7.0,3.2,1.0,1.4,2.3,3.5
237,Kadeem Allen,1,3.4,7.4,0.4,2.3,4.0,0.8,0.2,1.4,2.4
687,Kalin Lucas,0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0
14,Karl-Anthony Towns,77,8.8,17.1,3.4,9.0,3.4,0.9,1.6,3.1,3.8
7,Kawhi Leonard,60,9.3,18.8,1.3,6.0,3.3,1.8,0.4,2.0,1.5
505,Keita Bates-Diop,3,2.0,4.7,0.5,2.2,0.6,0.6,0.5,0.5,1.0
233,Kelly Olynyk,36,3.3,7.1,0.9,3.8,1.8,0.7,0.5,1.4,2.3
92,Kelly Oubre Jr.,19,5.4,12.2,1.0,3.7,1.2,1.2,0.9,1.5,2.6
12,Kemba Walker,82,8.9,20.5,0.6,3.8,5.9,1.2,0.4,2.6,1.6
220,Kenneth Faried,13,4.2,7.2,2.6,4.1,0.5,0.5,0.6,0.9,2.2
437,Kenrich Williams,29,2.3,6.1,1.2,3.6,1.8,1.0,0.4,0.8,2.1
174,Kent Bazemore,35,4.1,10.3,0.6,3.3,2.3,1.3,0.6,1.8,2.5
178,Kentavious Caldwell-Pope,23,4.0,9.2,0.6,2.3,1.3,0.9,0.2,0.8,1.7
8,Kevin Durant,78,9.2,17.7,0.4,5.9,5.9,0.7,1.1,2.9,2.0
241,Kevin Huerter,59,3.7,8.8,0.8,2.5,2.9,0.9,0.3,1.5,2.1
148,Kevin Knox,57,4.5,12.2,0.8,3.7,1.1,0.6,0.3,1.5,2.3
63,Kevin Love,21,5.0,12.9,1.5,9.4,2.2,0.3,0.2,1.9,2.5
427,Kevon Looney,24,2.7,4.3,2.4,2.8,1.5,0.6,0.7,0.6,2.6
525,Khem Birch,1,1.8,3.0,1.6,2.2,0.8,0.4,0.6,0.4,1.4
49,Khris Middleton,77,6.6,14.9,0.6,5.3,4.3,1.0,0.1,2.3,2.2
675,Khyri Thomas,0,0.8,2.7,0.2,0.6,0.3,0.3,0.2,0.2,0.8
19,Klay Thompson,78,8.4,18.0,0.5,3.4,2.4,1.1,0.6,1.5,2.0
740,Kobi Simmons,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,Kosta Koufos,1,1.7,3.6,1.2,3.0,0.9,0.4,0.4,0.6,1.6
717,Kostas Antetokounmpo,0,0.0,1.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0
183,Kris Dunn,44,4.7,11.0,0.4,3.7,6.0,1.5,0.5,2.3,3.6
315,Kyle Anderson,40,3.5,6.4,1.1,4.7,3.0,1.3,0.9,1.3,2.6
289,Kyle Korver,0,2.9,6.9,0.1,2.2,1.2,0.4,0.2,0.8,1.5
46,Kyle Kuzma,68,7.1,15.5,0.9,4.6,2.5,0.6,0.4,1.9,2.4
112,Kyle Lowry,65,4.7,11.4,0.6,4.2,8.7,1.4,0.5,2.8,2.6
604,Kyle O'Quinn,3,1.5,3.0,0.6,2.0,1.2,0.2,0.6,0.7,1.5
15,Kyrie Irving,67,9.0,18.5,1.1,3.9,6.9,1.5,0.5,2.6,2.5
22,LaMarcus Aldridge,81,8.4,16.3,3.1,6.1,2.4,0.5,1.3,1.8,2.2
364,Lance Stephenson,3,2.7,6.4,0.5,2.7,2.1,0.6,0.1,1.3,1.6
540,Lance Thomas,17,1.7,4.3,0.5,2.1,0.6,0.4,0.2,0.5,1.8
267,Landry Shamet,27,3.0,7.1,0.3,1.4,1.5,0.5,0.1,0.6,2.0
298,Langston Galloway,4,2.9,7.3,0.6,1.5,1.1,0.5,0.1,0.3,1.7
260,Larry Nance Jr.,30,3.7,7.1,2.5,5.7,3.2,1.5,0.6,1.4,2.9
47,Lauri Markkanen,51,6.6,15.3,1.4,7.6,1.4,0.7,0.6,1.6,2.3
4,LeBron James,55,10.1,19.9,1.0,7.4,8.3,1.3,0.6,3.6,1.7
743,League Average,,,,,,,,,,
657,Lonnie Walker IV,0,0.9,2.7,0.0,1.0,0.5,0.4,0.2,0.2,0.4
238,Lonzo Ball,45,3.9,9.7,1.1,4.2,5.4,1.5,0.4,2.2,2.4
681,Lorenzo Brown,0,0.9,2.7,0.2,1.0,1.1,0.5,0.2,0.6,0.8
37,Lou Williams,1,6.5,15.2,0.5,2.4,5.4,0.8,0.1,2.4,1.1
509,Luc Mbah a Moute,0,2.0,4.5,0.5,1.3,0.5,0.3,0.3,0.5,2.0
24,Luka Dončić,72,7.0,16.5,1.2,6.6,6.0,1.1,0.3,3.4,1.9
242,Luke Kennard,10,3.6,8.3,0.2,2.7,1.8,0.4,0.2,0.9,1.5
374,Luke Kornet,18,2.3,6.2,0.6,2.3,1.2,0.6,0.9,0.5,0.9
365,Luol Deng,2,2.7,5.4,0.9,2.4,0.8,0.7,0.4,0.6,1.1
710,Malachi Richardson,0,0.4,1.3,0.1,0.5,0.0,0.0,0.0,0.4,0.6
