,Player,Fouls Drawn - Shoot
108,Mike Conley,98
152,Mike Dunleavy,52
266,Mike James,9
375,Mike Miller,2
473,Mike Scott,26
436,Miles Plumlee,2
514,Mirza Teletović,6
582,Mo Williams,19
159,Monta Ellis,156
135,Nando De Colo,13
458,Nate Robinson,53
380,Nazr Mohammed,21
240,Nenê,121
107,Nick Collison,35
591,Nick Young,61
45,Nicolas Batum,79
427,Nikola Peković,151
554,Nikola Vučević,62
495,Nolan Smith,10
102,Norris Cole,32
358,O.J. Mayo,90
94,Omri Casspi,21
284,Orlando Johnson,16
535,P.J. Tucker,40
440,Pablo Prigioni,8
54,Patrick Beverley,12
422,Patrick Patterson,28
377,Patty Mills,4
185,Pau Gasol,64
191,Paul George,107
378,Paul Millsap,152
430,Paul Pierce,175
294,Perry Jones,6
27,Player,Shoot
454,Quentin Richardson,1
0,Quincy Acy,14
376,Quincy Miller,1
437,Quincy Pondexter,32
463,Rajon Rondo,41
477,Ramon Sessions,149
173,Randy Foye,33
327,Rashard Lewis,13
560,Rasheed Wallace,5
9,Ray Allen,46
167,Raymond Felton,47
162,Reggie Evans,75
261,Reggie Jackson,26
583,Reggie Williams,7
213,Richard Hamilton,25
269,Richard Jefferson,19
466,Ricky Rubio,102
468,Robert Sacre,5
335,Robin Lopez,101
506,Rodney Stuckey,129
51,Rodrigue Beaubois,14
352,Roger Mason,10
71,Ronnie Brewer,16
439,Ronnie Price,11
536,Ronny Turiaf,28
237,Roy Hibbert,94
259,Royal Ivey,3
186,Rudy Gay,129
573,Russell Westbrook,251
21,Ryan Anderson,75
247,Ryan Hollins,44
592,Sam Young,17
470,Samardo Samuels,8
124,Samuel Dalembert,25
426,Sasha Pavlović,6
339,Scott Machado,0
515,Sebastian Telfair,20
255,Serge Ibaka,85
44,Shane Battier,10
80,Shannon Brown,55
331,Shaun Livingston,41
448,Shavlik Randolph,13
346,Shawn Marion,50
340,Shelvin Mack,7
295,Solomon Jones,0
228,Spencer Hawes,69
123,Stephen Curry,97
262,Stephen Jackson,33
59,Steve Blake,7
397,Steve Nash,21
402,Steve Novak,6
193,Taj Gibson,63
441,Tayshaun Prince,51
221,Terrel Harris,5
296,Terrence Jones,6
464,Terrence Ross,20
584,Terrence Williams,11
474,Thabo Sefolosha,31
593,Thaddeus Young,93
460,Thomas Robinson,55
499,Tiago Splitter,138
151,Tim Duncan,144
408,Tim Ohlbrecht,1
393,Timofey Mozgov,13
224,Tobias Harris,65
143,Toney Douglas,36
10,Tony Allen,88
420,Tony Parker,125
590,Tony Wroten,14
478,Tornike Shengelia,6
411,Travis Outlaw,22
24,Trevor Ariza,41
65,Trevor Booker,32
530,Tristan Thompson,135
396,Troy Murphy,5
317,Ty Lawson,108
215,Tyler Hansbrough,126
248,Tyler Honeycutt,0
595,Tyler Zeller,62
163,Tyreke Evans,109
527,Tyrus Thomas,14
511,Tyshawn Taylor,9
96,Tyson Chandler,124
227,Udonis Haslem,23
311,Viacheslav Kravtsov,16
101,Victor Claver,15
93,Vince Carter,89
446,Vladimir Radmanović,2
156,Wayne Ellington,28
285,Wesley Johnson,13
353,Wesley Matthews,73
42,Will Barton,32
86,Will Bynum,53
109,Will Conroy,1
207,Willie Green,16
97,Wilson Chandler,50
235,Xavier Henry,42
449,Zach Randolph,125
412,Zaza Pachulia,46
26,Ömer Aşık,147
