,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
35,Christian Wood,DAL,67,33,34,25.9,16.6,46.0,26.0,1.7,2.27,1.04,0.361,2.2,1.9,4.2,0.641,0.729,1.014,3.8,1.1,2.0,53.3,0.9,1.1,81.1,85.7,0.8,20.2,0.2,5.6,0.3,6.7,0.6,14.7,3.2,53.3,4.8,41.5,1.0,28.0,4.3,65.4,1.4,61.3,1.4,56.9,58.3,1.3,0.9,67.8,3.4,37.7,0.1,38.5,6.9,6.0,1.7,29.0,9.1,66.3,0.8,72.7,4.6,0.4,1.1,3.0,5.1,60.0
36,Chuma Okeke,ORL,27,8,19,19.2,4.7,24.1,12.7,0.8,2.05,1.25,0.197,0.2,0.0,0.8,0.4,1.0,0.524,1.9,0.2,0.6,31.3,0.2,0.2,100.0,34.0,1.0,54.0,0.2,12.0,0.1,8.0,0.1,6.0,0.6,31.3,2.7,32.1,0.4,20.0,0.4,83.3,0.0,0.0,0.1,50.0,45.9,1.2,0.4,34.6,2.7,43.3,0.1,44.8,12.6,3.2,0.7,21.4,4.9,65.4,0.4,70.7,7.0,0.7,0.4,1.9,2.7,69.9
37,Cody Martin,CHA,7,2,5,19.1,5.0,21.4,13.3,0.9,2.56,1.66,0.233,0.1,0.0,1.1,0.0,0.0,0.5,3.6,0.7,1.6,45.5,0.1,0.1,100.0,52.0,1.7,48.0,0.4,12.0,0.3,8.0,0.1,4.0,1.9,45.5,1.6,40.0,0.3,10.0,0.6,66.7,0.0,0.0,0.0,0.0,43.1,1.3,0.3,25.0,2.7,50.0,0.0,50.0,12.9,2.7,0.8,31.3,3.8,69.6,0.3,76.2,8.5,0.6,0.1,1.1,1.3,88.9
38,Cody Zeller,MIA,15,6,9,14.4,6.5,23.0,14.6,0.7,1.77,0.64,0.284,2.6,0.1,4.2,0.667,0.0,0.746,1.0,0.2,0.5,42.9,0.1,0.1,50.0,46.7,0.3,33.3,0.0,0.0,0.1,6.7,0.1,6.7,0.5,42.9,0.1,20.0,0.0,0.0,3.1,66.7,0.0,0.0,1.7,65.0,62.7,1.7,1.2,72.0,4.1,41.0,0.1,42.4,4.6,2.6,0.8,30.8,5.1,51.3,0.9,62.9,4.8,0.2,0.3,1.9,2.8,66.7
39,Cole Swider,LAL,7,2,5,5.9,1.3,8.0,4.4,0.2,1.76,0.7,0.161,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.3,0.0,0.0,0.3,100.0,0.0,100.0,8.4,2.0,1.3,66.7,3.7,54.5,0.0,54.5,3.3,0.0,0.0,0.4,0.4,100.0
40,Corey Kispert,WAS,74,31,43,28.3,11.1,32.6,20.1,0.8,1.5,0.64,0.339,0.5,0.0,1.1,0.824,0.0,0.878,2.1,0.6,1.0,59.2,0.2,0.3,85.7,73.0,0.7,34.2,0.2,7.9,0.1,5.3,0.1,6.6,1.5,59.2,6.2,42.7,0.7,38.5,1.0,63.5,0.0,0.0,0.4,57.1,63.7,0.5,0.2,42.4,1.1,44.0,0.0,45.8,9.9,2.5,0.5,21.8,4.2,58.0,0.3,62.6,7.7,0.4,0.1,1.7,2.8,62.0
41,Dalano Banton,TOR,31,17,14,9.0,4.6,20.6,9.5,1.3,3.77,2.86,0.223,0.1,0.0,0.7,1.0,0.0,1.304,2.0,0.2,0.8,29.2,0.2,0.2,83.3,30.6,0.9,45.2,0.2,11.3,0.2,8.1,0.1,4.8,0.6,29.2,1.3,32.5,0.4,15.2,1.0,75.0,0.0,0.0,0.1,66.7,48.1,0.5,0.3,72.7,1.0,45.8,0.0,47.8,3.6,1.5,0.2,14.7,2.0,73.9,0.2,81.0,7.6,0.4,0.4,0.7,1.0,68.8
42,Dalen Terry,CHI,37,18,19,5.8,2.2,8.4,4.2,0.4,2.73,2.17,0.268,0.1,0.0,0.4,0.0,0.0,0.308,1.1,0.3,0.5,66.7,0.2,0.2,75.0,71.4,0.5,40.5,0.1,9.5,0.1,7.1,0.1,9.5,0.8,66.7,0.3,21.1,0.4,42.9,0.1,33.3,0.0,0.0,0.0,0.0,48.6,0.6,0.4,72.7,1.2,50.0,0.0,50.0,8.1,1.3,0.2,12.5,2.7,50.0,0.1,52.2,7.4,0.3,0.1,0.4,0.6,61.9
43,Damion Lee,PHX,74,40,34,20.4,8.2,28.6,17.2,1.1,2.33,1.61,0.285,0.3,0.0,0.5,0.522,0.0,0.6,4.0,0.8,1.7,44.4,0.3,0.4,88.5,45.6,1.7,42.6,0.3,8.4,0.3,7.0,0.2,4.4,1.8,44.4,4.5,46.1,0.8,31.2,0.3,57.9,0.0,0.0,0.2,75.0,56.4,0.6,0.2,33.3,1.4,41.9,0.0,42.9,10.0,2.8,0.5,16.7,4.4,63.9,0.4,70.2,7.2,0.4,0.1,1.7,2.1,79.6
44,Daniel Gafford,WAS,78,32,46,20.6,9.0,29.2,16.3,0.7,1.51,0.35,0.309,2.1,0.4,5.4,0.623,0.629,1.19,0.6,0.3,0.4,70.0,0.2,0.2,85.7,116.7,0.1,8.3,0.0,0.0,0.1,8.3,0.1,14.6,0.7,70.0,0.1,33.3,0.2,66.7,6.4,78.8,0.3,38.1,1.3,70.5,73.2,2.1,1.6,77.9,4.8,44.4,0.1,45.3,4.4,3.5,1.1,32.2,7.3,48.2,0.8,53.9,4.1,0.4,1.3,2.9,5.3,54.3
45,Daniel Theis,IND,7,1,6,15.5,7.0,23.7,18.0,0.6,1.51,0.39,0.295,2.1,0.1,3.4,0.8,0.0,0.917,0.7,0.3,0.3,100.0,0.0,0.3,0.0,80.0,0.1,20.0,0.0,0.0,0.1,20.0,0.1,20.0,0.6,100.0,1.4,23.5,0.0,0.0,3.1,50.0,0.0,0.0,1.7,55.6,50.0,1.2,0.8,71.4,3.5,33.3,0.0,33.3,2.7,2.5,1.0,40.0,5.7,44.1,0.7,50.0,4.7,0.3,0.9,2.7,4.4,61.3
46,Danuel House Jr.,PHI,56,38,18,14.4,4.8,16.7,8.9,0.6,2.16,1.28,0.286,0.1,0.0,0.5,1.167,0.0,1.038,1.8,0.3,0.6,44.1,0.3,0.3,87.5,43.6,0.9,51.5,0.3,14.9,0.1,4.0,0.1,7.9,0.8,44.1,1.3,33.3,1.0,42.3,0.5,80.0,0.0,0.0,0.1,75.0,56.6,0.2,0.0,22.2,0.7,28.1,0.0,28.1,9.8,1.9,0.2,10.6,3.2,60.3,0.2,63.9,7.1,0.3,0.2,0.8,1.2,65.7
47,Dario Saric,OKC,57,26,31,14.1,6.4,23.7,13.9,0.7,1.72,0.83,0.268,0.9,0.5,2.0,0.593,0.667,0.85,1.7,0.3,0.8,38.6,0.3,0.4,77.3,56.8,0.5,28.4,0.2,10.5,0.2,10.5,0.2,11.6,0.9,38.6,2.5,39.4,0.3,26.9,1.7,60.3,0.4,43.8,0.6,71.4,54.0,1.1,0.7,60.4,2.6,42.4,0.1,43.4,6.1,3.2,0.9,27.3,5.8,55.2,0.5,60.6,4.6,0.4,0.1,1.3,1.9,69.2
48,Darius Bazley,PHX,43,19,24,14.3,5.2,23.2,11.3,0.8,2.04,1.17,0.224,0.9,0.2,1.9,0.622,0.5,0.738,2.4,0.4,1.0,40.5,0.5,0.9,52.6,53.9,0.6,23.5,0.1,4.9,0.3,10.8,0.4,18.6,1.3,40.5,1.5,39.3,0.1,16.7,1.4,55.8,0.1,20.0,0.5,47.1,50.8,1.0,0.5,50.0,2.5,38.6,0.0,38.6,9.2,3.0,0.6,21.2,4.9,60.5,0.5,67.5,5.0,0.5,0.8,1.7,2.8,60.3
49,Darius Days,HOU,4,0,4,6.2,3.8,10.8,5.5,0.2,1.19,0.14,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2,0.3,0.3,100.0,1.3,25.0,0.0,25.0,8.4,1.7,0.0,0.0,2.7,62.5,0.0,62.5,4.0,0.0,0.3,0.3,0.3,100.0
50,David Roddy,MEM,70,44,26,18.0,6.7,20.9,13.0,0.7,2.0,1.13,0.319,0.4,0.1,0.9,0.667,1.25,1.154,2.3,0.6,1.3,44.4,0.2,0.3,61.9,57.8,0.7,28.6,0.2,8.1,0.2,8.7,0.1,6.2,1.3,44.4,2.7,30.7,0.4,41.9,1.1,73.9,0.1,100.0,0.3,50.0,50.6,0.7,0.3,34.0,1.6,47.6,0.1,49.5,8.9,2.1,0.5,24.5,3.9,55.2,0.4,60.9,5.7,0.4,0.3,1.5,2.0,74.3
51,Davis Bertans,DAL,45,20,25,10.9,4.6,13.3,8.0,0.3,1.23,0.44,0.344,0.2,0.0,0.3,0.444,0.0,0.533,0.5,0.1,0.1,75.0,0.0,0.0,0.0,33.3,0.4,76.2,0.1,19.0,0.0,0.0,0.0,0.0,0.2,75.0,3.4,39.5,0.4,42.9,0.2,66.7,0.0,0.0,0.1,100.0,60.3,0.4,0.1,30.0,0.8,45.5,0.0,47.6,9.7,1.5,0.3,18.6,2.6,58.1,0.3,64.2,6.9,0.2,0.2,0.8,1.3,58.3
52,De'Andre Hunter,ATL,67,35,32,31.7,15.4,38.0,23.7,1.4,2.23,1.39,0.404,0.9,0.5,1.2,0.883,0.917,0.913,5.6,1.4,3.3,43.9,0.9,1.0,85.7,70.0,1.1,20.6,0.2,4.3,0.3,5.9,0.5,9.7,3.9,43.9,4.5,35.9,4.2,51.0,1.1,58.8,0.5,63.2,0.8,57.5,52.2,0.7,0.3,37.0,2.1,33.6,0.0,34.1,12.6,3.6,1.0,26.5,6.3,57.5,0.7,65.0,6.4,0.5,0.3,2.0,2.8,69.7
53,DeMar DeRozan,CHI,73,36,37,36.2,24.5,59.4,36.0,4.6,4.63,3.74,0.413,1.6,2.7,0.6,0.737,0.784,0.721,11.0,3.0,5.2,58.1,2.1,2.4,87.5,77.1,3.8,34.4,0.8,7.6,0.5,4.9,1.2,11.0,8.5,58.1,2.6,39.1,9.7,47.5,0.4,41.4,2.1,63.2,1.2,51.6,52.2,0.5,0.2,35.3,1.8,26.0,0.1,28.1,11.7,4.2,0.7,17.7,6.8,62.2,0.6,68.3,8.2,1.1,0.5,2.1,2.9,73.0
54,Dean Wade,CLE,44,30,14,20.3,4.7,22.5,12.9,0.6,1.67,0.5,0.208,0.3,0.0,0.6,0.267,0.0,0.926,1.4,0.1,0.5,28.6,0.2,0.3,71.4,37.7,0.6,42.6,0.2,11.5,0.1,9.8,0.2,11.5,0.5,28.6,3.0,34.9,0.1,25.0,0.6,85.7,0.0,0.0,0.1,100.0,54.0,0.5,0.2,30.0,1.4,35.1,0.1,37.0,12.1,3.3,0.8,24.6,5.5,58.8,0.5,64.7,5.8,0.6,0.5,2.0,2.9,67.2
55,Deni Avdija,WAS,76,33,43,26.6,9.2,44.8,21.6,2.1,2.81,2.06,0.205,0.7,0.1,1.9,0.648,0.25,0.651,4.8,1.2,2.1,56.0,0.6,0.8,68.8,62.8,1.8,37.0,0.5,9.5,0.3,7.1,0.4,9.0,3.0,56.0,2.5,31.8,0.4,17.5,1.3,43.8,0.0,100.0,0.5,61.5,49.7,1.0,0.6,63.5,2.6,37.6,0.1,39.2,7.6,5.5,1.1,20.6,8.7,63.0,1.0,70.7,4.3,0.9,0.4,2.8,3.9,70.6
56,Derrick Jones Jr.,CHI,63,28,35,13.9,4.9,17.9,9.5,0.4,1.29,0.4,0.273,0.7,0.0,2.2,0.829,0.667,0.912,0.4,0.1,0.2,50.0,0.1,0.1,75.0,74.1,0.1,22.2,0.0,11.1,0.0,7.4,0.1,18.5,0.3,50.0,1.2,33.8,0.1,66.7,2.0,59.1,0.0,100.0,0.5,59.1,55.1,1.1,0.8,76.3,2.5,42.4,0.1,43.7,4.7,1.7,0.6,34.8,3.0,55.4,0.3,61.3,6.4,0.5,0.6,1.2,1.7,70.9
57,Devin Vassell,SAS,38,12,26,31.0,18.5,53.2,32.7,3.0,3.41,2.51,0.348,0.5,0.0,0.6,1.15,0.0,0.905,8.8,1.4,3.3,43.3,0.7,0.9,82.4,42.3,4.5,50.6,1.1,12.5,0.4,4.5,0.4,5.1,3.7,43.3,6.8,42.1,6.2,40.0,0.5,57.1,0.0,0.0,0.6,60.0,52.5,0.2,0.1,62.5,1.2,18.2,0.1,19.5,9.4,3.8,0.8,22.1,5.9,64.2,0.5,69.7,6.3,1.1,0.4,1.8,2.6,69.1
58,Dillon Brooks,MEM,73,46,27,30.3,14.3,41.2,26.7,1.8,2.67,1.78,0.348,0.4,0.2,0.8,0.774,0.667,0.828,6.3,1.9,4.2,45.9,0.5,0.8,72.7,71.1,1.3,21.3,0.4,5.9,0.3,5.2,0.4,5.9,4.5,45.9,4.2,34.4,4.1,34.5,0.7,52.5,0.1,60.0,0.3,61.1,46.8,0.6,0.2,33.3,1.8,36.3,0.1,37.8,11.1,2.8,0.4,14.1,4.9,57.5,0.5,63.4,7.9,0.9,0.2,1.2,1.7,71.0
