,Player,Fouls Drawn - Shoot
350,Luke Kennard,32
359,Luke Kornet,6
161,Luol Deng,0
547,Malachi Richardson,12
81,Malcolm Brogdon,30
159,Malcolm Delaney,35
430,Malcolm Miller,1
42,Malik Beasley,14
439,Malik Monk,15
405,Mangok Mathiang,1
222,Manu Ginóbili,45
84,MarShon Brooks,11
215,Marc Gasol,125
227,Marcin Gortat,74
44,Marco Belinelli,52
219,Marcus Georges-Hunt,7
449,Marcus Morris,72
497,Marcus Paige,1
581,Marcus Smart,39
115,Mario Chalmers,49
271,Mario Hezonja,47
89,Markel Brown,0
212,Markelle Fultz,8
450,Markieff Morris,52
118,Marquese Chriss,66
601,Marquis Teague,2
589,Marreese Speights,25
520,Marshall Plumlee,6
664,Marvin Williams,57
521,Mason Plumlee,71
138,Matt Costello,0
665,Matt Williams,0
160,Matthew Dellavedova,7
243,Maurice Harkless,28
357,Maxi Kleber,28
377,Meyers Leonard,3
43,Michael Beasley,86
110,Michael Carter-Williams,38
351,Michael Kidd-Gilchrist,90
133,Mike Conley,25
317,Mike James,36
464,Mike Muscala,17
568,Mike Scott,41
522,Miles Plumlee,22
604,Miloš Teodosić,9
168,Milton Doyle,3
364,Mindaugas Kuzminskas,0
602,Mirza Teletović,0
451,Monte Morris,1
244,Montrezl Harrell,112
265,Myke Henry,5
619,Myles Turner,93
673,Nate Wolters,0
438,Naz Mitrou-Long,0
56,Nemanja Bjelica,21
274,Nenê,51
476,Nerlens Noel,10
132,Nick Collison,4
681,Nick Young,27
37,Nicolas Batum,46
91,Nicolás Brussino,0
259,Nigel Hayes,2
590,Nik Stauskas,14
338,Nikola Jokić,134
434,Nikola Mirotić,52
632,Nikola Vučević,38
629,Noah Vonleh,26
529,Norman Powell,20
17,OG Anunoby,34
653,Okaro White,2
333,Omari Johnson,0
112,Omri Casspi,33
525,Otto Porter Jr.,57
617,P.J. Tucker,19
169,PJ Dozier,0
575,Pascal Siakam,49
134,Pat Connaughton,19
52,Patrick Beverley,6
410,Patrick McCaw,17
504,Patrick Patterson,21
431,Patty Mills,26
216,Pau Gasol,89
218,Paul George,170
433,Paul Millsap,67
687,Paul Zipser,10
20,Player,Shoot
1,Quincy Acy,23
524,Quincy Pondexter,8
135,Quinn Cook,8
294,R.J. Hunter,2
554,Rajon Rondo,16
571,Ramon Sessions,27
