,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
616,Deron Williams,.675,.248,.156,.085,.186,.325,.331,.581,.009,.091
97,Derrick Brown,.924,.733,.107,.023,.061,.076,.609,1.000,.336,.600
112,Derrick Caracter,1.000,.439,.364,.167,.030,.000,.531,,.045,
208,Derrick Favors,1.000,.577,.252,.091,.079,.000,.619,,.219,
507,Derrick Rose,.759,.294,.164,.105,.196,.241,.204,.594,.020,.052
190,Devin Ebanks,.902,.373,.235,.118,.176,.098,.684,.500,.098,.600
276,Devin Harris,.779,.314,.189,.106,.170,.221,.182,.776,.001,.067
474,Dexter Pittman,1.000,.667,.333,.000,.000,.000,1.000,,.000,
443,Dirk Nowitzki,.858,.128,.130,.256,.344,.142,.590,.970,.008,.226
405,Dominic McGuire,.989,.407,.154,.088,.341,.011,.514,,.060,.500
350,Dominique Jones,.911,.267,.311,.200,.133,.089,.357,,.022,.750
264,Donté Greene,.601,.223,.155,.085,.137,.399,.631,.956,.088,.325
642,Dorell Wright,.550,.216,.112,.079,.142,.450,.526,.974,.065,.308
249,Drew Gooden,.945,.268,.166,.113,.398,.055,.641,1.000,.022,.200
304,Dwight Howard,.993,.495,.385,.096,.017,.007,.532,,.225,.000
589,Dwyane Wade,.851,.366,.193,.113,.179,.149,.370,.333,.082,.146
47,Earl Barron,1.000,.333,.182,.182,.303,.000,.688,,.030,
84,Earl Boykins,.798,.108,.168,.259,.264,.202,.178,.852,.000,.183
135,Earl Clark,.968,.392,.133,.076,.367,.032,.618,,.108,.200
602,Earl Watson,.651,.248,.140,.078,.186,.349,.378,.861,.007,.206
166,Ed Davis,1.000,.571,.252,.129,.048,.000,.642,,.172,
303,Eddie House,.455,.034,.019,.056,.346,.545,.817,.897,.000,.303
434,Eduardo Nájera,.528,.208,.069,.028,.222,.472,.600,1.000,.014,.147
579,Ekpe Udoh,1.000,.329,.374,.176,.122,.000,.515,,.086,
87,Elton Brand,.999,.198,.269,.409,.123,.001,.663,,.040,.000
448,Emeka Okafor,.998,.573,.372,.050,.004,.002,.697,,.181,.000
77,Eric Bledsoe,.761,.337,.198,.058,.169,.239,.253,.875,.033,.328
251,Eric Gordon,.693,.278,.199,.054,.162,.307,.455,.858,.040,.072
398,Eric Maynor,.712,.117,.306,.129,.159,.288,.113,.946,.000,.094
160,Erick Dampier,.989,.708,.225,.034,.022,.011,.712,,.281,.000
313,Ersan İlyasova,.761,.268,.093,.091,.310,.239,.703,1.000,.004,.132
562,Etan Thomas,1.000,.381,.429,.048,.143,.000,.500,,.190,
333,Eugene Jeter,.884,.108,.058,.089,.629,.116,.470,1.000,.000,.300
578,Evan Turner,.917,.197,.170,.233,.318,.083,.498,.714,.023,.341
446,Fabricio Oberto,1.000,.600,.200,.200,.000,.000,.667,,.000,
193,Francisco Elson,1.000,.230,.133,.159,.478,.000,.704,,.018,
234,Francisco García,.528,.160,.065,.067,.236,.472,.738,.951,.011,.429
372,Gani Lawal,,,,,,,,,,
521,Garret Siler,1.000,.452,.548,.000,.000,.000,.529,,.065,
554,Garrett Temple,.456,.162,.074,.088,.132,.544,.200,.900,.015,.324
219,Gary Forbes,.788,.432,.245,.051,.059,.212,.562,1.000,.033,.586
436,Gary Neal,.513,.044,.161,.158,.149,.487,.532,.814,.000,.256
294,George Hill,.678,.212,.190,.114,.163,.322,.405,.818,.011,.613
288,Gerald Henderson,.937,.274,.121,.111,.432,.063,.671,.857,.072,.444
594,Gerald Wallace,.781,.408,.122,.020,.231,.219,.568,.968,.042,.376
24,Gilbert Arenas,.554,.123,.109,.080,.243,.446,.227,.742,.000,.083
167,Glen Davis,.981,.286,.160,.134,.402,.019,.706,.000,.017,.133
181,Goran Dragić,.649,.272,.156,.086,.134,.351,.213,.732,.007,.181
284,Gordon Hayward,.747,.304,.082,.055,.307,.253,.682,.971,.068,.392
295,Grant Hill,.862,.238,.179,.246,.199,.138,.638,1.000,.019,.781
420,Greg Monroe,.998,.740,.173,.047,.038,.002,.568,,.055,.000
584,Greivis Vásquez,.631,.163,.258,.090,.120,.369,.171,.800,.004,.093
600,Hakim Warrick,.975,.406,.260,.076,.233,.025,.714,.000,.204,.273
433,Hamady N'Diaye,1.000,.400,.200,.400,.000,.000,.750,,.400,
268,Hamed Haddadi,.983,.466,.448,.052,.017,.017,.633,,.103,.000
559,Hasheem Thabeet,1.000,.700,.175,.100,.025,.000,.529,,.225,
613,Hassan Whiteside,,,,,,,,,,
575,Hedo Türkoğlu,.571,.133,.083,.112,.242,.429,.297,.756,.011,.139
591,Henry Walker,.352,.165,.089,.030,.068,.648,.556,.983,.055,.170
29,Hilton Armstrong,.947,.382,.250,.171,.145,.053,.514,.000,.145,.000
389,Ian Mahinmi,.980,.571,.184,.102,.122,.020,.782,,.224,.000
173,Ike Diogu,1.000,.547,.270,.061,.122,.000,.723,,.101,
580,Ime Udoka,.619,.190,.000,.143,.286,.381,1.000,,.000,.625
525,Ish Smith,.913,.304,.365,.122,.122,.087,.150,.667,.009,.100
44,J.J. Barea,.709,.308,.197,.089,.114,.291,.119,.591,.000,.116
292,J.J. Hickson,.995,.453,.207,.135,.200,.005,.634,,.109,.200
528,J.R. Smith,.594,.195,.122,.045,.232,.406,.318,.847,.045,.204
497,JJ Redick,.510,.130,.092,.081,.208,.490,.527,.908,.000,.256
403,JaVale McGee,.995,.570,.323,.076,.026,.005,.536,,.268,.000
388,Jamaal Magloire,1.000,.545,.455,.000,.000,.000,.538,,.136,
150,Jamal Crawford,.601,.134,.125,.080,.262,.399,.273,.798,.008,.344
421,Jamario Moon,.504,.177,.036,.056,.234,.496,.841,.947,.093,.439
437,Jameer Nelson,.646,.209,.121,.092,.224,.354,.137,.622,.000,.165
18,James Anderson,.432,.198,.049,.062,.123,.568,.692,.944,.025,.370
274,James Harden,.526,.300,.073,.026,.127,.474,.422,.823,.070,.182
340,James Johnson,.857,.435,.135,.059,.228,.143,.530,.875,.139,.471
351,James Jones,.171,.003,.009,.009,.150,.829,.957,.992,.000,.495
476,James Posey,.120,.054,.025,.012,.029,.880,.571,.985,.004,.217
184,Jared Dudley,.598,.254,.081,.081,.181,.402,.610,.990,.019,.360
329,Jared Jeffries,.895,.593,.116,.047,.140,.105,.429,.500,.058,.222
316,Jarrett Jack,.830,.148,.226,.204,.253,.170,.203,.879,.003,.306
138,Jarron Collins,1.000,.333,.238,.143,.286,.000,.667,,.000,
141,Jason Collins,.986,.380,.155,.085,.366,.014,.848,1.000,.099,1.000
355,Jason Kapono,.714,.143,.036,.179,.357,.286,.833,1.000,.000,.375
356,Jason Kidd,.344,.081,.055,.045,.163,.656,.402,.895,.000,.153
397,Jason Maxiell,1.000,.492,.217,.175,.116,.000,.656,,.159,
498,Jason Richardson,.546,.217,.115,.051,.164,.454,.597,.931,.038,.326
529,Jason Smith,.993,.189,.059,.124,.622,.007,.831,,.049,.000
558,Jason Terry,.678,.111,.126,.157,.285,.322,.499,.921,.007,.356
565,Jason Thompson,.994,.346,.330,.103,.215,.006,.668,,.075,.000
619,Jason Williams,.433,.104,.015,.015,.299,.567,.417,.700,.000,.184
622,Jawad Williams,.643,.087,.151,.183,.222,.357,.464,.846,.008,.267
0,Jeff Adrien,1.000,.574,.315,.093,.019,.000,.696,,.093,
221,Jeff Foster,.982,.617,.174,.042,.150,.018,.550,,.066,.333
260,Jeff Green,.743,.274,.238,.082,.149,.257,.559,1.000,.049,.299
552,Jeff Teague,.842,.316,.273,.109,.145,.158,.270,.444,.049,.104
198,Jeremy Evans,.991,.661,.157,.104,.070,.009,.789,,.461,.000
380,Jeremy Lin,.931,.417,.264,.056,.194,.069,.407,.000,.000,.200
444,Jermaine O'Neal,.991,.394,.220,.257,.119,.009,.840,,.101,.000
549,Jermaine Taylor,.770,.500,.143,.026,.102,.230,.488,.929,.112,.311
538,Jerry Stackhouse,.667,.083,.083,.333,.167,.333,.000,1.000,.000,.500
57,Jerryd Bayless,.718,.306,.110,.060,.242,.282,.254,.857,.002,.308
438,Joakim Noah,.998,.600,.256,.035,.107,.002,.573,,.162,.000
407,Jodie Meeks,.389,.163,.054,.067,.105,.611,.779,.978,.007,.250
343,Joe Johnson,.742,.176,.235,.114,.217,.258,.388,.843,.018,.383
530,Joe Smith,1.000,.188,.000,.250,.563,.000,1.000,,.000,
23,Joel Anthony,1.000,.495,.404,.091,.010,.000,.660,,.172,
485,Joel Przybilla,1.000,.932,.068,.000,.000,.000,.640,,.114,
176,Joey Dorsey,1.000,.879,.121,.000,.000,.000,.577,,.172,
255,Joey Graham,.832,.190,.190,.179,.274,.168,.575,1.000,.011,.533
469,Johan Petro,.986,.176,.176,.228,.407,.014,.783,,.034,.250
386,John Lucas III,.667,.000,.000,.000,.667,.333,.000,,.000,.000
511,John Salmons,.756,.187,.109,.231,.229,.244,.300,.880,.008,.406
592,John Wall,.882,.364,.146,.120,.251,.118,.223,.765,.028,.113
93,Jon Brockman,1.000,.660,.223,.085,.032,.000,.625,,.053,
218,Jonny Flynn,.662,.132,.169,.091,.270,.338,.208,.419,.000,.110
151,Jordan Crawford,.744,.172,.148,.156,.268,.256,.176,.788,.022,.352
207,Jordan Farmar,.533,.220,.117,.046,.151,.467,.199,.615,.009,.207
296,Jordan Hill,.994,.352,.361,.136,.145,.006,.532,,.119,.000
134,Josh Childress,.925,.710,.192,.005,.019,.075,.533,1.000,.140,.875
305,Josh Howard,.821,.130,.191,.130,.370,.179,.667,1.000,.000,.241
406,Josh McRoberts,.845,.479,.179,.067,.119,.155,.654,1.000,.202,.133
480,Josh Powell,.995,.284,.168,.183,.361,.005,.660,,.053,1.000
533,Josh Smith,.852,.313,.174,.071,.294,.148,.661,.980,.095,.318
110,José Calderón,.738,.206,.039,.091,.403,.262,.185,.772,.000,.128
300,Jrue Holiday,.778,.265,.182,.144,.186,.222,.274,.716,.017,.261
643,Julian Wright,.938,.544,.163,.075,.156,.063,.700,1.000,.131,.600
306,Juwan Howard,1.000,.120,.264,.160,.456,.000,.745,,.008,
78,Keith Bogans,.228,.114,.039,.007,.068,.772,.794,.989,.000,.506
465,Kendrick Perkins,1.000,.569,.308,.085,.038,.000,.567,,.038,
393,Kenyon Martin,.975,.450,.202,.088,.235,.025,.667,1.000,.191,.222
189,Kevin Durant,.731,.162,.113,.160,.296,.269,.565,.855,.083,.063
235,Kevin Garnett,.994,.263,.208,.137,.386,.006,.790,.000,.077,.000
384,Kevin Love,.794,.352,.259,.078,.105,.206,.525,.989,.026,.081
394,Kevin Martin,.638,.186,.128,.105,.219,.362,.480,.869,.035,.129
518,Kevin Séraphin,1.000,.469,.422,.075,.034,.000,.485,,.088,
175,Keyon Dooling,.549,.123,.085,.089,.252,.451,.352,.852,.013,.338
297,Kirk Hinrich,.698,.116,.114,.096,.372,.302,.300,.853,.000,.186
102,Kobe Bryant,.783,.152,.190,.192,.249,.217,.325,.652,.023,.121
