,Player,Team,Height,Season
543,Darrick Martin,DAL,5-11,2002
544,Darvin Ham,MIL,6-7,2002
545,David Robinson,SAS,7-1,2002
546,David Wesley,CHH,6-1,2002
547,DeSagana Diop,CLE,7-0,2002
548,DeShawn Stevenson,UTA,6-5,2002
549,Dean Garrett,GSW,6-11,2002
550,Dean Oliver,GSW,5-11,2002
551,Dee Brown,ORL,,2002
552,Dell Curry,TOR,6-5,2002
553,DerMarr Johnson,ATL,6-9,2002
554,Derek Anderson,POR,6-5,2002
555,Derek Fisher,LAL,6-1,2002
556,Derrick Coleman,PHI,6-10,2002
557,Derrick Dial,TOR,6-4,2002
558,Derrick McKey,PHI,6-10,2002
559,Desmond Mason,SEA,6-5,2002
560,Devean George,LAL,6-8,2002
561,Dickey Simpkins,ATL,,2002
562,Dikembe Mutombo,PHI,7-2,2002
563,Dion Glover,ATL,6-5,2002
564,Dirk Nowitzki,DAL,7-0,2002
565,Don Reid,ORL,6-8,2002
566,Donnell Harvey,DEN,6-8,2002
567,Donny Marshall,NJN,6-7,2002
568,Donyell Marshall,UTA,6-9,2002
569,Doug Christie,SAC,6-6,2002
570,Doug Overton,LAC,6-3,2002
571,Earl Boykins,LAC,5-5,2002
572,Earl Watson,SEA,6-1,2002
573,Eddie Gill,MEM,6-0,2002
574,Eddie Griffin,HOU,6-10,2002
575,Eddie House,MIA,6-1,2002
576,Eddie Jones,MIA,6-6,2002
577,Eddie Robinson,CHI,6-9,2002
578,Eddy Curry,CHI,6-11,2002
579,Eduardo Najera,DAL,6-8,2002
580,Elden Campbell,CHH,7-0,2002
581,Eldridge Recasner,LAC,,2002
582,Elliot Perry,MEM,,2002
583,Elton Brand,LAC,6-8,2002
584,Emanual Davis,ATL,6-5,2002
585,Eric Montross,TOR,7-0,2002
586,Eric Piatkowski,LAC,6-6,2002
587,Eric Snow,PHI,6-3,2002
588,Eric Williams,BOS,6-8,2002
589,Erick Barkley,POR,6-1,2002
590,Erick Dampier,GSW,6-11,2002
591,Erick Strickland,BOS,6-3,2002
592,Ernest Brown,MIA,7-0,2002
593,Ervin Johnson,MIL,6-11,2002
594,Etan Thomas,WAS,6-10,2002
595,Evan Eschmeyer,DAL,6-11,2002
596,Felipe Lopez,MIN,6-5,2002
597,Felton Spencer,NYK,7-0,2002
598,Fred Hoiberg,CHI,6-5,2002
599,Gary Payton,SEA,6-4,2002
600,Gary Trent,MIN,6-8,2002
601,George Lynch,CHH,6-8,2002
602,George McCloud,DEN,6-8,2002
603,Gerald Wallace,SAC,6-7,2002
604,Gilbert Arenas,GSW,6-3,2002
605,Glen Rice,HOU,6-8,2002
606,Glenn Robinson,MIL,6-7,2002
607,Grant Hill,ORL,6-8,2002
608,Grant Long,MEM,6-9,2002
609,Greg Anthony,MIL,6-1,2002
610,Greg Buckner,DAL,6-4,2002
611,Greg Foster,MIL,,2002
612,Greg Ostertag,UTA,7-2,2002
613,Hakeem Olajuwon,TOR,7-0,2002
614,Hanno Mottola,ATL,6-11,2002
615,Harold Jamison,LAC,6-9,2002
616,Hedo Turkoglu,SAC,6-8,2002
617,Horace Grant,ORL,6-10,2002
618,Howard Eisley,NYK,6-2,2002
619,Hubert Davis,WAS,6-5,2002
620,Ike Austin,MEM,6-10,2002
621,Ike Fontaine,MEM,,2002
622,Ira Bowman,PHI,,2002
623,Ira Newble,ATL,6-7,2002
624,Isaiah Rider,DEN,,2002
625,Jabari Smith,PHI,6-11,2002
626,Jacque Vaughn,ATL,6-1,2002
627,Jahidi White,WAS,6-9,2002
628,Jake Tsakalidis,PHX,7-2,2002
629,Jake Voskuhl,PHX,6-11,2002
630,Jalen Rose,CHI,6-8,2002
631,Jamaal Magloire,CHH,6-11,2002
632,Jamaal Tinsley,IND,6-3,2002
633,Jamal Crawford,CHI,6-5,2002
634,Jamal Mashburn,CHH,6-8,2002
635,James Posey,DEN,6-8,2002
636,Jamison Brewer,IND,6-2,2002
637,Jaren Jackson,ORL,6-6,2002
638,Jarron Collins,UTA,6-11,2002
639,Jason Caffey,MIL,6-8,2002
640,Jason Collier,HOU,7-0,2002
641,Jason Collins,NJN,7-0,2002
642,Jason Hart,SAS,6-2,2002
643,Jason Kidd,NJN,6-4,2002
644,Jason Richardson,GSW,6-6,2002
645,Jason Terry,ATL,6-2,2002
646,Jason Williams,MEM,6-1,2002
647,Jeff Foster,IND,6-11,2002
648,Jeff McInnis,LAC,6-4,2002
649,Jeff Trepagnier,CLE,6-4,2002
650,Jelani McCoy,LAL,6-10,2002
651,Jermaine Jackson,TOR,6-5,2002
652,Jermaine O'Neal,IND,6-11,2002
653,Jerome James,SEA,7-1,2002
654,Jerome Moiso,CHH,6-10,2002
655,Jerome Williams,TOR,6-9,2002
656,Jerry Stackhouse,DET,6-6,2002
657,Jeryl Sasser,ORL,6-6,2002
658,Jim Jackson,MIA,6-6,2002
659,Joe Crispin,PHX,6-0,2002
660,Joe Johnson,PHX,6-7,2002
661,Joe Smith,MIN,6-10,2002
662,Joel Przybilla,MIL,7-1,2002
663,John Amaechi,UTA,6-10,2002
664,John Crotty,UTA,,2002
