Season,Player,G,MP,USG%,FGA,Personal Fouls Committed,BLK,STL,DRB,ORB,TOV,AST,% of FG Ast'd - 3P,% of FG Ast'd - 2P,FTr,Shooting Fouls Drawn,Corner 3s - %3PA,% of FGA by Distance - 3P,% of FGA by Distance - 16-3P,% of FGA by Distance - 10-16,% of FGA by Distance - 3-10,% of FGA by Distance - 0-3,Dunks - %FGA
2001,Bill Curley,20.0,192.0,15.8,60.0,57.5,12.5,10.0,20.0,27.500000000000004,20.0,5.0,1.0,0.625,0.404,,0.5,0.043,0.149,0.17,0.319,0.319,0.021
2001,Billy Owens,45.0,793.0,15.7,37.83827278090606,15.580465262726026,2.2257807518180037,5.193488420908675,20.032026766362033,14.09661142818069,6.677342255454011,8.903123007272015,1.0,0.482,0.174,,0.5,0.087,0.252,0.104,0.13,0.426,0.009
2001,Bo Outlaw,80.0,2534.0,10.6,10.56348109281257,6.8892267996603715,3.903895186474211,2.9853316131861614,11.711685559422634,5.970663226372323,4.133536079796224,6.429945013016347,0.0,0.702,0.611,,0.0,0.005,0.008,0.038,0.193,0.755,0.147
2001,Brian Cardinal,15.0,126.0,16.5,68.57142857142857,58.77551020408163,3.265306122448979,16.326530612244895,32.65306122448979,16.326530612244895,19.591836734693874,6.530612244897958,0.0,0.9,0.581,,0.6,0.161,0.29,0.065,0.065,0.419,0.032
2001,Brian Skinner,39.0,584.0,17.3,42.127903921936564,16.44015762807281,3.082529555263651,4.110039407018203,29.797785700881967,14.385137924563708,8.220078814036405,5.137549258772753,0.0,0.594,0.366,,0.0,0.0,0.056,0.124,0.404,0.416,0.099
2001,Charles Oakley,78.0,2767.0,16.0,18.491610439470094,6.041813311906068,1.098511511255649,1.830852518759415,14.097564394447497,3.2955345337669475,3.2955345337669475,6.224898563782011,0.909,0.864,0.193,,0.122,0.062,0.723,0.093,0.017,0.106,0.0
2001,Chris Crawford,47.0,901.0,18.3,35.73579633432331,15.673594883475136,1.880831386017016,2.5077751813560214,10.658044520763092,3.761662772034032,8.15026933940707,5.015550362712043,1.0,0.612,0.307,,0.182,0.081,0.211,0.211,0.2,0.296,0.074
2001,Chris Gatling,74.0,1670.0,25.8,44.78660747965148,11.309749363548352,1.8095598981677363,3.1667298217935382,17.64320900713543,5.881069669045143,7.238239592670945,3.6191197963354726,1.0,0.618,0.311,,0.511,0.126,0.229,0.157,0.229,0.259,0.019
2001,Chris Webber,70.0,2836.0,31.6,32.845959962680105,4.4917552085716395,2.3862449545536837,1.8247755534822288,11.931224772768417,3.6495511069644575,3.930285807500184,5.895428711250277,1.0,0.568,0.282,,0.0,0.017,0.346,0.122,0.259,0.256,0.068
2001,Clarence Weatherspoon,82.0,2774.0,15.2,16.9112827995461,4.227820699886525,2.6172223380249915,2.013247952326917,14.092735666288416,5.435769471282676,2.8185471332576837,2.6172223380249915,0.0,0.631,0.421,,0.0,0.0,0.085,0.145,0.305,0.465,0.082
2001,Clifford Robinson,82.0,2751.0,24.8,29.682262462703164,6.345863009267573,2.047052583634701,2.2517578419981716,5.731747234177163,2.6611683587251114,4.708220942359812,5.936452492540633,1.0,0.757,0.301,,0.277,0.21,0.196,0.172,0.226,0.196,0.03
