,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
33,Paolo Banchero,80,2799,.455,12.6,.751,.225,.235,.183,.108,.249,.493,.703,.403,.395,.421,.339,.363,.655,.068,.250
620,Pascal Siakam,80,2657,.536,9.9,.806,.304,.312,.129,.061,.194,.581,.739,.515,.445,.423,.346,.507,.976,.297,.466
738,Patrick Williams,43,1174,.443,14.6,.588,.267,.128,.092,.100,.412,.474,.573,.326,.485,.389,.399,.550,.966,.304,.422
235,Paul George,74,2502,.471,17.7,.524,.128,.125,.122,.150,.476,.523,.703,.448,.523,.432,.413,.448,.733,.138,.457
499,Pete Nance,8,27,.167,10.2,.833,.333,.167,.333,.000,.167,.000,.000,.000,.000,,1.000,,1.000,.000,
2,Precious Achiuwa,49,1187,.525,6.5,.833,.579,.197,.047,.010,.167,.578,.711,.288,.286,.000,.260,.563,.923,.580,.310
258,RaiQuan Gray,3,39,.588,12.8,.588,.235,.353,.000,.000,.412,.700,.750,.667,,,.429,.571,1.000,.143,.000
310,Richaun Holmes,17,318,.557,4.4,.966,.511,.398,.057,.000,.034,.565,.711,.429,.200,,.333,.792,1.000,.667,.500
149,Robert Covington,3,69,.333,22.2,.111,.111,.000,.000,.000,.889,1.000,1.000,,,,.250,1.000,1.000,.375,.333
280,Ron Harper Jr.,1,4,,,,,,,,,,,,,,,,,,
272,Rui Hachimura,68,1826,.537,12.6,.657,.296,.197,.090,.072,.343,.597,.810,.398,.525,.367,.422,.796,.990,.457,.443
7,Santi Aldama,61,1618,.435,15.8,.465,.211,.188,.049,.016,.535,.534,.692,.411,.393,.333,.349,.674,.962,.296,.300
689,Sasha Vezenkov,42,511,.440,17.7,.372,.199,.141,.021,.010,.628,.549,.763,.333,.000,.500,.375,.795,.978,.308,.432
236,Taj Gibson,20,204,.405,10.6,.730,.351,.216,.081,.081,.270,.481,.462,.250,1.000,.667,.200,.615,1.000,.800,.125
188,Tari Eason,22,480,.466,9.9,.735,.434,.185,.069,.048,.265,.504,.561,.371,.462,.556,.360,.471,1.000,.300,.267
560,Taurean Prince,78,2108,.442,17.8,.378,.128,.168,.059,.023,.622,.519,.699,.438,.441,.308,.396,.866,.943,.410,.363
296,Taylor Hendricks,40,856,.450,16.5,.417,.158,.196,.038,.025,.583,.550,.737,.447,.667,.000,.379,.545,1.000,.514,.458
655,Terry Taylor,31,188,.513,7.5,.769,.564,.179,.026,.000,.231,.600,.636,.571,.000,,.222,.667,1.000,.778,.286
756,Thaddeus Young,33,439,.602,4.8,.935,.528,.333,.065,.009,.065,.634,.667,.611,.429,1.000,.143,.734,1.000,.571,.250
15,Thanasis Antetokounmpo,34,155,.533,3.7,.967,.767,.167,.000,.033,.033,.552,.609,.400,,.000,.000,.750,,1.000,.000
284,Tobias Harris,70,2368,.487,11.9,.729,.268,.251,.140,.069,.271,.537,.686,.431,.511,.394,.353,.444,.956,.260,.403
124,Toumani Camara,70,1739,.450,11.6,.607,.352,.224,.023,.009,.393,.523,.643,.367,.300,.250,.337,.504,1.000,.448,.351
336,Trayce Jackson-Davis,68,1130,.702,2.5,.997,.648,.343,.006,.000,.003,.704,.777,.561,1.000,,.000,.751,,.000,
714,Trendon Watford,63,856,.527,9.5,.781,.305,.392,.061,.023,.219,.564,.705,.492,.421,.286,.397,.431,.963,.338,.304
410,Trey Lyles,58,1158,.445,18.8,.318,.178,.100,.022,.019,.682,.578,.754,.375,.571,.000,.384,.729,1.000,.384,.369
231,Usman Garuba,6,18,.167,7.2,.833,.333,.500,.000,.000,.167,.200,.500,.000,,,.000,.000,,.000,
221,Wenyen Gabriel,5,81,.364,8.6,.727,.545,.091,.091,.000,.273,.438,.500,.500,.000,,.167,.714,1.000,.500,.333
672,Xavier Tillman Sr.,20,274,.515,13.1,.576,.197,.318,.045,.015,.424,.684,.923,.571,.333,1.000,.286,.808,1.000,.643,.222
504,Zeke Nnaji,58,576,.463,6.1,.846,.597,.215,.027,.007,.154,.500,.584,.313,.250,.000,.261,.619,1.000,.391,.222
742,Zion Williamson,70,2207,.570,4.0,.984,.547,.404,.030,.003,.016,.574,.717,.396,.394,.333,.333,.474,.833,.111,1.000
