,Player,G,MP,TS%,3PAr,FTr,USG%
449,Jarell Martin,42,328,.528,.548,.106,15.9
341,Jaren Jackson Jr.,58,1515,.591,.241,.334,22.8
683,Jarred Vanderbilt,17,69,.513,.053,.526,19.4
635,Jason Smith,6,40,.468,.692,.154,19.8
273,Jeff Green,77,2097,.608,.466,.300,17.8
263,Jerami Grant,80,2612,.592,.356,.269,15.4
333,Joe Ingles,82,2568,.581,.602,.153,17.5
144,John Collins,61,1829,.627,.190,.320,23.7
505,Johnathan Motley,22,156,.563,.041,.548,28.8
414,Jon Leuer,41,402,.616,.097,.274,16.1
68,Jonah Bolden,44,639,.595,.593,.167,13.8
353,Jonas Jerebko,73,1218,.588,.530,.225,15.2
337,Jonathan Isaac,75,1996,.537,.435,.221,16.3
300,Juancho Hernangómez,70,1358,.580,.576,.274,12.2
575,Julius Randle,73,2232,.600,.179,.447,27.8
537,Kelly Olynyk,79,1812,.610,.566,.328,18.0
389,Kevin Knox,75,2158,.475,.398,.247,22.3
425,Kevin Love,22,598,.561,.519,.403,27.4
20,Kostas Antetokounmpo,2,11,.210,.000,1.333,22.5
393,Kyle Korver,16,251,.650,.711,.211,17.4
397,Kyle Kuzma,70,2314,.546,.388,.230,23.8
666,Lance Thomas,46,783,.482,.401,.183,12.9
448,Lauri Markkanen,52,1682,.553,.418,.245,25.1
456,Luc Mbah a Moute,4,61,.495,.333,.278,15.4
181,Marcus Derrickson,11,67,.653,.606,.152,24.4
499,Marcus Morris,75,2091,.568,.461,.205,20.9
500,Markieff Morris,58,1270,.521,.419,.190,19.1
138,Marquese Chriss,43,499,.455,.400,.250,20.6
31,Marvin Bagley III,62,1567,.562,.136,.371,24.2
710,Marvin Williams,75,2133,.548,.586,.132,14.9
385,Maxi Kleber,71,1502,.579,.565,.192,13.5
51,Michael Beasley,26,277,.532,.111,.255,29.5
383,Michael Kidd-Gilchrist,64,1179,.553,.142,.370,15.7
509,Mike Muscala,64,1306,.564,.709,.235,14.3
605,Mike Scott,79,1395,.528,.600,.079,14.4
61,Nemanja Bjelica,77,1788,.585,.433,.155,16.5
483,Nikola Mirotić,46,1245,.584,.587,.229,21.4
685,Noah Vonleh,68,1722,.561,.311,.355,14.8
702,Okaro White,3,6,.000,1.000,.000,14.1
643,Omari Spellman,46,805,.516,.525,.184,14.9
675,P.J. Tucker,82,2802,.547,.740,.113,9.5
619,Pascal Siakam,80,2548,.628,.226,.320,20.8
548,Patrick Patterson,63,861,.493,.626,.137,12.0
481,Paul Millsap,70,1895,.570,.239,.374,19.6
1,Quincy Acy,10,123,.379,.833,.556,9.2
639,Ray Spalding,14,148,.516,.064,.255,17.8
251,Rudy Gay,69,1842,.583,.247,.197,22.1
15,Ryan Anderson,25,322,.414,.580,.232,12.0
172,Sam Dekker,47,788,.519,.242,.180,16.2
532,Semi Ojeleye,56,594,.531,.563,.247,14.1
398,Skal Labissière,22,176,.593,.265,.347,16.0
404,T.J. Leaf,58,522,.572,.169,.169,17.5
253,Taj Gibson,70,1686,.612,.063,.330,17.2
374,Terrence Jones,2,5,.225,.500,.250,47.2
724,Thaddeus Young,81,2489,.569,.174,.161,18.0
444,Thon Maker,29,563,.514,.560,.351,13.7
286,Tobias Harris,82,2847,.592,.313,.245,22.8
433,Trey Lyles,64,1120,.500,.404,.234,23.4
128,Tyler Cavanaugh,11,39,.414,.500,.200,13.0
432,Tyler Lydon,25,94,.595,.556,.167,10.6
119,Vince Carter,76,1330,.565,.675,.141,16.7
134,Wilson Chandler,36,951,.561,.570,.087,11.2
451,Yante Maten,2,13,.250,.250,.000,13.2
572,Zhou Qi,1,1,1.000,.000,.000,43.4
