,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
656,Johnathan Williams,15,180,.559,8.7,.941,.412,.265,.118,.147,.059,.594,.857,.556,.000,.400,.000,.579,,.500,.000
322,Jonathan Isaac,34,980,.470,12.1,.717,.361,.099,.151,.105,.283,.521,.667,.364,.360,.400,.340,.597,.938,.245,.391
287,Juancho Hernangómez,48,833,.405,14.7,.478,.352,.097,.020,.008,.522,.475,.575,.167,.400,.000,.341,.679,.977,.217,.357
528,Julius Randle,64,2080,.460,10.5,.770,.358,.235,.097,.081,.230,.515,.631,.424,.439,.358,.277,.404,.938,.169,.385
327,Justin Jackson,65,1045,.396,15.4,.522,.199,.196,.111,.015,.478,.489,.559,.507,.342,.400,.294,.816,.938,.233,.289
449,Juwan Morgan,21,134,.577,8.8,.692,.654,.038,.000,.000,.308,.667,.647,1.000,,,.375,.583,1.000,.500,.250
491,KZ Okpala,5,26,.600,7.5,.800,.400,.400,.000,.000,.200,.750,1.000,.500,,,.000,.333,,1.000,.000
33,Keita Bates-Diop,37,646,.422,13.4,.544,.354,.136,.039,.015,.456,.500,.644,.250,.125,.333,.330,.661,.968,.404,.421
657,Kenrich Williams,39,832,.347,17.8,.340,.259,.048,.014,.020,.660,.520,.553,.429,.500,.333,.258,.654,.960,.433,.357
292,Kevin Hervey,10,52,.259,22.2,.259,.074,.037,.037,.111,.741,.571,1.000,.000,.000,.667,.150,.500,.667,.100,.500
396,Kevin Love,56,1780,.450,18.3,.464,.133,.116,.111,.103,.536,.537,.660,.393,.605,.467,.374,.586,.932,.141,.455
13,Kostas Antetokounmpo,5,20,1.000,1.5,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,.667,,,
373,Kyle Kuzma,61,1526,.436,15.2,.593,.193,.226,.078,.096,.407,.518,.783,.411,.385,.344,.316,.605,.930,.232,.540
595,Lance Thomas,7,98,.348,18.7,.435,.087,.087,.130,.130,.565,.400,.500,.500,.000,.667,.308,.750,1.000,.769,.300
467,Larry Nance Jr.,56,1472,.531,12.5,.631,.394,.109,.074,.053,.369,.636,.753,.447,.375,.522,.352,.613,.982,.270,.419
407,Lauri Markkanen,50,1492,.425,15.5,.464,.274,.149,.027,.014,.536,.518,.648,.341,.313,.250,.344,.535,.991,.142,.422
416,Luc Mbah a Moute,3,25,.400,12.2,.600,.600,.000,.000,.000,.400,.667,.667,,,,.000,.000,,.000,
556,Luka Šamanić,3,48,.313,16.4,.500,.188,.188,.063,.063,.500,.250,.333,.000,.000,1.000,.375,.500,1.000,.000,
452,Marcus Morris,19,549,.425,18.0,.517,.086,.092,.184,.155,.483,.533,.667,.438,.563,.481,.310,.625,.885,.321,.333
293,Mario Hezonja,53,871,.422,13.1,.642,.330,.165,.078,.069,.358,.486,.500,.528,.471,.333,.308,.441,.917,.167,.154
453,Markieff Morris,58,1187,.443,16.1,.502,.194,.151,.127,.031,.498,.500,.674,.420,.328,.500,.386,.635,.977,.298,.382
129,Marquese Chriss,59,1196,.545,5.8,.899,.613,.223,.029,.034,.101,.584,.674,.395,.364,.385,.205,.743,1.000,.077,.667
659,Marvin Williams,58,1129,.446,17.4,.416,.139,.195,.060,.022,.584,.568,.838,.481,.375,.167,.359,.667,.982,.365,.474
269,Maurice Harkless,50,1141,.516,10.0,.664,.535,.097,.009,.023,.336,.590,.664,.286,.500,.200,.370,.647,.963,.603,.432
362,Maxi Kleber,74,1890,.461,16.7,.379,.276,.066,.027,.010,.621,.605,.669,.471,.357,.400,.373,.831,1.000,.379,.380
358,Michael Kidd-Gilchrist,25,281,.333,12.7,.697,.212,.333,.045,.106,.303,.370,.500,.364,.333,.143,.250,.706,1.000,.300,.333
563,Mike Scott,68,1207,.426,18.2,.380,.194,.086,.060,.040,.620,.519,.603,.500,.381,.357,.369,.696,1.000,.217,.255
391,Nassir Little,48,573,.430,11.6,.609,.397,.166,.033,.013,.391,.554,.667,.400,.200,.000,.237,.686,1.000,.407,.167
59,Nemanja Bjelica,72,2011,.481,15.4,.510,.253,.198,.031,.029,.490,.541,.630,.465,.450,.368,.419,.550,.948,.125,.525
608,P.J. Tucker,72,2467,.415,18.4,.298,.148,.089,.035,.026,.702,.551,.619,.474,.467,.545,.358,.729,.991,.766,.384
641,P.J. Washington,58,1759,.455,12.3,.610,.324,.250,.024,.012,.390,.507,.660,.340,.214,.429,.374,.786,.965,.274,.508
569,Pascal Siakam,60,2110,.453,12.7,.669,.277,.235,.074,.083,.331,.499,.703,.382,.329,.304,.359,.423,.664,.222,.383
505,Patrick Patterson,59,776,.408,20.1,.262,.124,.064,.039,.034,.738,.459,.552,.467,.333,.250,.390,.786,1.000,.413,.423
440,Paul Millsap,51,1240,.482,10.8,.717,.340,.247,.098,.032,.283,.500,.671,.315,.419,.357,.435,.631,1.000,.274,.441
151,Robert Covington,48,1411,.435,18.2,.371,.232,.097,.018,.024,.629,.587,.661,.479,.444,.417,.346,.769,.889,.093,.379
372,Rodions Kurucs,47,684,.446,14.3,.492,.350,.124,.011,.006,.508,.529,.645,.273,.000,.000,.367,.804,.970,.178,.438
304,Rondae Hollis-Jefferson,60,1122,.471,4.8,.930,.657,.191,.061,.021,.070,.497,.569,.302,.450,.143,.130,.645,1.000,.565,.000
233,Rudy Gay,67,1461,.446,15.3,.631,.168,.156,.193,.114,.369,.511,.720,.366,.470,.471,.336,.490,.851,.268,.288
260,Rui Hachimura,48,1444,.466,10.5,.840,.343,.196,.160,.141,.160,.500,.684,.327,.379,.429,.287,.629,1.000,.253,.318
186,Sekou Doumbouya,38,754,.390,12.9,.585,.326,.195,.030,.034,.415,.464,.545,.391,.286,.250,.286,.719,.929,.357,.286
486,Semi Ojeleye,69,1011,.408,18.4,.352,.138,.143,.020,.051,.648,.464,.556,.393,.000,.600,.378,.625,.958,.409,.462
297,Solomon Hill,59,1088,.396,18.2,.385,.147,.147,.032,.058,.615,.439,.463,.415,.333,.500,.368,.553,.921,.246,.452
343,Stanley Johnson,25,150,.373,14.2,.593,.305,.169,.051,.068,.407,.429,.611,.300,.000,.250,.292,.133,.429,.333,.000
380,T.J. Leaf,28,222,.419,8.6,.791,.500,.209,.070,.012,.209,.456,.581,.278,.167,.000,.278,.581,1.000,.222,.500
497,Tariq Owens,3,15,.200,14.5,.600,.200,.200,.000,.200,.400,.333,1.000,.000,,.000,.000,.000,,.500,.000
526,Taurean Prince,64,1857,.376,17.5,.417,.188,.112,.074,.042,.583,.429,.540,.313,.345,.387,.339,.576,.877,.309,.331
564,Thabo Sefolosha,41,436,.407,16.9,.407,.253,.066,.033,.055,.593,.595,.826,.167,.333,.200,.278,.591,1.000,.444,.417
671,Thaddeus Young,64,1591,.448,11.9,.631,.329,.250,.023,.028,.369,.501,.601,.413,.214,.353,.356,.568,.937,.423,.362
276,Tobias Harris,72,2469,.471,13.2,.696,.229,.214,.157,.095,.304,.517,.662,.482,.467,.330,.367,.479,.863,.190,.441
399,Trey Lyles,63,1271,.446,15.4,.510,.265,.108,.070,.067,.490,.503,.637,.270,.542,.304,.387,.750,1.000,.274,.457
148,Tyler Cook,11,35,.700,2.9,1.000,.800,.100,.100,.000,.000,.700,.625,1.000,1.000,,,.571,,,
378,Vic Law,8,62,.333,19.0,.611,.111,.167,.111,.222,.389,.455,.000,.667,1.000,.250,.143,.200,1.000,.143,.000
115,Vince Carter,60,876,.352,20.4,.336,.079,.082,.102,.072,.664,.451,.417,.560,.419,.409,.302,.457,.869,.188,.342
109,Vlatko Čančar,14,45,.400,12.9,.600,.400,.133,.000,.067,.400,.556,.667,.500,,.000,.167,.600,1.000,.167,.000
225,Wenyen Gabriel,30,235,.438,12.0,.583,.417,.146,.021,.000,.417,.536,.700,.000,1.000,,.300,.533,1.000,.350,.571
311,William Howard,2,13,.000,25.3,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.250,.000
123,Wilson Chandler,35,734,.404,18.8,.339,.098,.164,.038,.038,.661,.597,.722,.533,.286,.857,.306,.514,1.000,.256,.387
143,Zach Collins,11,290,.471,9.8,.721,.441,.206,.044,.029,.279,.510,.633,.286,.333,.500,.368,.680,1.000,.316,.167
664,Zion Williamson,24,668,.583,3.5,.961,.744,.183,.022,.011,.039,.590,.668,.333,.375,.000,.429,.755,1.000,.000,
125,Zylan Cheatham,4,51,.667,5.7,.889,.667,.111,.111,.000,.111,.750,1.000,.000,.000,,.000,.500,,.000,
