,Player,Team,Season
808,Derrick Coleman,PHI,2004
809,Marc Jackson,PHI,2004
810,Richard Jefferson,NJN,2004
811,Kerry Kittles,NJN,2004
812,Jason Kidd,NJN,2004
813,Kenyon Martin,NJN,2004
814,Jason Collins,NJN,2004
815,Lucious Harris,NJN,2004
816,Rodney Rogers,NJN,2004
817,Aaron Williams,NJN,2004
818,Brian Scalabrine,NJN,2004
819,Jason Richardson,GSW,2004
820,Clifford Robinson,GSW,2004
821,Erick Dampier,GSW,2004
822,Mike Dunleavy,GSW,2004
823,Calbert Cheaney,GSW,2004
824,Nick Van Exel,GSW,2004
825,Speedy Claxton,GSW,2004
826,Brian Cardinal,GSW,2004
827,Troy Murphy,GSW,2004
828,Paul Pierce,BOS,2004
829,Mark Blount,BOS,2004
830,Jiří Welsch,BOS,2004
831,Mike James,BOS,2004
832,Ricky Davis,BOS,2004
833,Walter McCarty,BOS,2004
834,Chucky Atkins,BOS,2004
835,Vin Baker,BOS,2004
836,Marcus Banks,BOS,2004
837,Metta World Peace,IND,2004
838,Jermaine O'Neal,IND,2004
839,Al Harrington,IND,2004
840,Reggie Miller,IND,2004
841,Jeff Foster,IND,2004
842,Anthony Johnson,IND,2004
843,Jamaal Tinsley,IND,2004
844,Fred Jones,IND,2004
845,Austin Croshere,IND,2004
846,Jason Terry,ATL,2004
847,Stephen Jackson,ATL,2004
848,Shareef Abdur-Rahim,ATL,2004
849,Theo Ratliff,ATL,2004
850,Rasheed Wallace,ATL,2004
851,Boris Diaw,ATL,2004
852,Bob Sura,ATL,2004
853,Dion Glover,ATL,2004
854,Chris Crawford,ATL,2004
855,Kurt Thomas,NYK,2004
856,Stephon Marbury,NYK,2004
857,Allan Houston,NYK,2004
858,Keith Van Horn,NYK,2004
859,Shandon Anderson,NYK,2004
860,Anfernee Hardaway,NYK,2004
861,Dikembe Mutombo,NYK,2004
862,Tim Thomas,NYK,2004
863,Charlie Ward,NYK,2004
864,Vince Carter,TOR,2004
865,Donyell Marshall,TOR,2004
866,Jalen Rose,TOR,2004
867,Chris Bosh,TOR,2004
868,Morris Peterson,TOR,2004
869,Alvin Williams,TOR,2004
870,Antonio Davis,TOR,2004
871,Milt Palacio,TOR,2004
872,Michael Curry,TOR,2004
873,LeBron James,CLE,2004
874,Carlos Boozer,CLE,2004
875,Zydrunas Ilgauskas,CLE,2004
876,Jeff McInnis,CLE,2004
877,Ricky Davis,CLE,2004
878,Eric Williams,CLE,2004
879,Kevin Ollie,CLE,2004
880,Ira Newble,CLE,2004
881,Darius Miles,CLE,2004
882,Tracy McGrady,ORL,2004
883,Juwan Howard,ORL,2004
884,Tyronn Lue,ORL,2004
885,Drew Gooden,ORL,2004
886,DeShawn Stevenson,ORL,2004
887,Keith Bogans,ORL,2004
888,Gordan Giriček,ORL,2004
889,Andrew DeClercq,ORL,2004
890,Rod Strickland,ORL,2004
891,Joe Johnson,PHO,2004
892,Shawn Marion,PHO,2004
893,Stephon Marbury,PHO,2004
894,Amar'e Stoudemire,PHO,2004
895,Casey Jacobsen,PHO,2004
896,Jake Voskuhl,PHO,2004
897,Leandro Barbosa,PHO,2004
898,Anfernee Hardaway,PHO,2004
899,Howard Eisley,PHO,2004
900,Carmelo Anthony,DEN,2004
901,Andre Miller,DEN,2004
902,Nenê,DEN,2004
903,Voshon Lenard,DEN,2004
904,Marcus Camby,DEN,2004
905,Earl Boykins,DEN,2004
906,Jon Barry,DEN,2004
907,Chris Andersen,DEN,2004
908,Rodney White,DEN,2004
909,Cuttino Mobley,HOU,2004
910,Steve Francis,HOU,2004
911,Jim Jackson,HOU,2004
912,Yao Ming,HOU,2004
913,Maurice Taylor,HOU,2004
914,Kelvin Cato,HOU,2004
915,Clarence Weatherspoon,HOU,2004
916,Eric Piatkowski,HOU,2004
917,Mark Jackson,HOU,2004
918,Kevin Garnett,MIN,2004
919,Latrell Sprewell,MIN,2004
920,Sam Cassell,MIN,2004
921,Trenton Hassell,MIN,2004
922,Fred Hoiberg,MIN,2004
923,Mark Madsen,MIN,2004
924,Michael Olowokandi,MIN,2004
925,Gary Trent,MIN,2004
926,Ervin Johnson,MIN,2004
927,Tim Duncan,SAS,2004
928,Tony Parker,SAS,2004
929,Bruce Bowen,SAS,2004
930,Rasho Nesterović,SAS,2004
931,Manu Ginóbili,SAS,2004
932,Hedo Türkoğlu,SAS,2004
933,Robert Horry,SAS,2004
934,Malik Rose,SAS,2004
935,Jason Hart,SAS,2004
936,Damon Stoudamire,POR,2004
937,Zach Randolph,POR,2004
938,Rasheed Wallace,POR,2004
939,Derek Anderson,POR,2004
940,Jeff McInnis,POR,2004
941,Dale Davis,POR,2004
942,Theo Ratliff,POR,2004
943,Ruben Patterson,POR,2004
944,Darius Miles,POR,2004
945,Peja Stojaković,SAC,2004
946,Mike Bibby,SAC,2004
947,Brad Miller,SAC,2004
948,Doug Christie,SAC,2004
949,Vlade Divac,SAC,2004
950,Chris Webber,SAC,2004
951,Anthony Peeler,SAC,2004
952,Bobby Jackson,SAC,2004
953,Darius Songaila,SAC,2004
954,Ben Wallace,DET,2004
955,Richard Hamilton,DET,2004
956,Chauncey Billups,DET,2004
957,Tayshaun Prince,DET,2004
958,Mehmet Okur,DET,2004
959,Corliss Williamson,DET,2004
960,Rasheed Wallace,DET,2004
961,Elden Campbell,DET,2004
962,Chucky Atkins,DET,2004
963,Dirk Nowitzki,DAL,2004
964,Michael Finley,DAL,2004
965,Antoine Walker,DAL,2004
966,Steve Nash,DAL,2004
967,Antawn Jamison,DAL,2004
968,Josh Howard,DAL,2004
969,Marquis Daniels,DAL,2004
970,Shawn Bradley,DAL,2004
971,Travis Best,DAL,2004
972,Rashard Lewis,SEA,2004
973,Ray Allen,SEA,2004
974,Vladimir Radmanović,SEA,2004
975,Brent Barry,SEA,2004
976,Ronald Murray,SEA,2004
977,Antonio Daniels,SEA,2004
978,Vitaly Potapenko,SEA,2004
979,Reggie Evans,SEA,2004
980,Calvin Booth,SEA,2004
981,Gary Payton,LAL,2004
982,Kobe Bryant,LAL,2004
983,Shaquille O'Neal,LAL,2004
984,Karl Malone,LAL,2004
985,Devean George,LAL,2004
986,Derek Fisher,LAL,2004
987,Stanislav Medvedenko,LAL,2004
988,Kareem Rush,LAL,2004
989,Horace Grant,LAL,2004
990,Elton Brand,LAC,2004
991,Corey Maggette,LAC,2004
992,Quentin Richardson,LAC,2004
993,Marko Jarić,LAC,2004
994,Chris Kaman,LAC,2004
995,Bobby Simmons,LAC,2004
996,Chris Wilcox,LAC,2004
997,Eddie House,LAC,2004
998,Keyon Dooling,LAC,2004
999,Andrei Kirilenko,UTA,2004
1000,Greg Ostertag,UTA,2004
1001,Carlos Arroyo,UTA,2004
1002,Matt Harpring,UTA,2004
1003,Raja Bell,UTA,2004
1004,DeShawn Stevenson,UTA,2004
1005,Jarron Collins,UTA,2004
1006,Raül López,UTA,2004
1007,Sasha Pavlović,UTA,2004
1008,Gilbert Arenas,WAS,2004
1009,Larry Hughes,WAS,2004
1010,Kwame Brown,WAS,2004
1011,Jarvis Hayes,WAS,2004
1012,Etan Thomas,WAS,2004
1013,Jared Jeffries,WAS,2004
1014,Juan Dixon,WAS,2004
1015,Brendan Haywood,WAS,2004
1016,Jerry Stackhouse,WAS,2004
1017,Michael Redd,MIL,2004
1018,Desmond Mason,MIL,2004
1019,Joe Smith,MIL,2004
1020,Damon Jones,MIL,2004
1021,Tim Thomas,MIL,2004
1022,Brian Skinner,MIL,2004
1023,T.J. Ford,MIL,2004
1024,Toni Kukoč,MIL,2004
1025,Keith Van Horn,MIL,2004
1026,Pau Gasol,MEM,2004
1027,James Posey,MEM,2004
1028,Jason Williams,MEM,2004
1029,Shane Battier,MEM,2004
1030,Mike Miller,MEM,2004
1031,Lorenzen Wright,MEM,2004
1032,Earl Watson,MEM,2004
1033,Bonzi Wells,MEM,2004
1034,Bo Outlaw,MEM,2004
1035,Baron Davis,NOH,2004
1036,P.J. Brown,NOH,2004
1037,Jamaal Magloire,NOH,2004
1038,David Wesley,NOH,2004
1039,Darrell Armstrong,NOH,2004
1040,Jamal Mashburn,NOH,2004
1041,George Lynch,NOH,2004
1042,Stacey Augmon,NOH,2004
1043,Robert Traylor,NOH,2004
1044,Dwyane Wade,MIA,2005
1045,Eddie Jones,MIA,2005
1046,Udonis Haslem,MIA,2005
1047,Shaquille O'Neal,MIA,2005
1048,Damon Jones,MIA,2005
1049,Rasual Butler,MIA,2005
1050,Michael Doleac,MIA,2005
1051,Keyon Dooling,MIA,2005
1052,Shandon Anderson,MIA,2005
1053,Kirk Hinrich,CHI,2005
1054,Tyson Chandler,CHI,2005
1055,Chris Duhon,CHI,2005
1056,Eddy Curry,CHI,2005
1057,Ben Gordon,CHI,2005
1058,Antonio Davis,CHI,2005
1059,Andrés Nocioni,CHI,2005
1060,Luol Deng,CHI,2005
1061,Othella Harrington,CHI,2005
1062,Allen Iverson,PHI,2005
1063,Andre Iguodala,PHI,2005
1064,Kyle Korver,PHI,2005
1065,Marc Jackson,PHI,2005
1066,Samuel Dalembert,PHI,2005
1067,Kenny Thomas,PHI,2005
1068,Chris Webber,PHI,2005
1069,Corliss Williamson,PHI,2005
1070,Aaron McKie,PHI,2005
1071,Vince Carter,NJN,2005
1072,Jason Kidd,NJN,2005
1073,Jason Collins,NJN,2005
1074,Richard Jefferson,NJN,2005
1075,Nenad Krstić,NJN,2005
1076,Eric Williams,NJN,2005
1077,Travis Best,NJN,2005
1078,Jacque Vaughn,NJN,2005
1079,Rodney Buford,NJN,2005
1080,Jason Richardson,GSW,2005
1081,Mike Dunleavy,GSW,2005
1082,Troy Murphy,GSW,2005
1083,Derek Fisher,GSW,2005
1084,Speedy Claxton,GSW,2005
1085,Baron Davis,GSW,2005
1086,Adonal Foyle,GSW,2005
1087,Clifford Robinson,GSW,2005
1088,Mickaël Piétrus,GSW,2005
1089,Paul Pierce,BOS,2005
1090,Ricky Davis,BOS,2005
1091,Gary Payton,BOS,2005
1092,Raef LaFrentz,BOS,2005
1093,Mark Blount,BOS,2005
1094,Antoine Walker,BOS,2005
1095,Tony Allen,BOS,2005
1096,Jiří Welsch,BOS,2005
1097,Marcus Banks,BOS,2005
1098,Stephen Jackson,IND,2005
1099,Reggie Miller,IND,2005
1100,Fred Jones,IND,2005
1101,Jermaine O'Neal,IND,2005
1102,Metta World Peace,IND,2005
1103,Anthony Johnson,IND,2005
1104,Jamaal Tinsley,IND,2005
1105,Austin Croshere,IND,2005
1106,Jeff Foster,IND,2005
1107,Al Harrington,ATL,2005
1108,Antoine Walker,ATL,2005
1109,Josh Childress,ATL,2005
1110,Josh Smith,ATL,2005
1111,Tyronn Lue,ATL,2005
1112,Tony Delk,ATL,2005
1113,Predrag Drobnjak,ATL,2005
1114,Tom Gugliotta,ATL,2005
1115,Boris Diaw,ATL,2005
1116,Stephon Marbury,NYK,2005
1117,Jamal Crawford,NYK,2005
1118,Kurt Thomas,NYK,2005
1119,Tim Thomas,NYK,2005
1120,Nazr Mohammed,NYK,2005
1121,Mike Sweetney,NYK,2005
1122,Trevor Ariza,NYK,2005
1123,Jerome Williams,NYK,2005
1124,Anfernee Hardaway,NYK,2005
1125,Chris Bosh,TOR,2005
1126,Rafer Alston,TOR,2005
1127,Jalen Rose,TOR,2005
1128,Morris Peterson,TOR,2005
1129,Donyell Marshall,TOR,2005
1130,Matt Bonner,TOR,2005
1131,Milt Palacio,TOR,2005
1132,Vince Carter,TOR,2005
1133,Lamond Murray,TOR,2005
1134,LeBron James,CLE,2005
1135,Jeff McInnis,CLE,2005
1136,Zydrunas Ilgauskas,CLE,2005
1137,Drew Gooden,CLE,2005
1138,Ira Newble,CLE,2005
1139,Eric Snow,CLE,2005
1140,Robert Traylor,CLE,2005
1141,Lucious Harris,CLE,2005
1142,Anderson Varejão,CLE,2005
1143,Steve Francis,ORL,2005
1144,Dwight Howard,ORL,2005
1145,Grant Hill,ORL,2005
1146,Tony Battie,ORL,2005
1147,Hedo Türkoğlu,ORL,2005
1148,Kelvin Cato,ORL,2005
1149,Jameer Nelson,ORL,2005
1150,Cuttino Mobley,ORL,2005
1151,DeShawn Stevenson,ORL,2005
1152,Joe Johnson,PHO,2005
1153,Shawn Marion,PHO,2005
1154,Amar'e Stoudemire,PHO,2005
1155,Quentin Richardson,PHO,2005
1156,Steve Nash,PHO,2005
1157,Jim Jackson,PHO,2005
1158,Leandro Barbosa,PHO,2005
1159,Steven Hunter,PHO,2005
1160,Casey Jacobsen,PHO,2005
1161,Andre Miller,DEN,2005
1162,Carmelo Anthony,DEN,2005
1163,Kenyon Martin,DEN,2005
1164,Marcus Camby,DEN,2005
1165,Earl Boykins,DEN,2005
1166,Greg Buckner,DEN,2005
1167,Nenê,DEN,2005
1168,DerMarr Johnson,DEN,2005
1169,Bryon Russell,DEN,2005
1170,Tracy McGrady,HOU,2005
1171,Yao Ming,HOU,2005
1172,Jim Jackson,HOU,2005
1173,David Wesley,HOU,2005
1174,Bob Sura,HOU,2005
1175,Juwan Howard,HOU,2005
1176,Jon Barry,HOU,2005
1177,Dikembe Mutombo,HOU,2005
1178,Maurice Taylor,HOU,2005
1179,Kevin Garnett,MIN,2005
1180,Wally Szczerbiak,MIN,2005
1181,Latrell Sprewell,MIN,2005
1182,Trenton Hassell,MIN,2005
1183,Troy Hudson,MIN,2005
1184,Sam Cassell,MIN,2005
1185,Eddie Griffin,MIN,2005
1186,Fred Hoiberg,MIN,2005
1187,Michael Olowokandi,MIN,2005
1188,Tony Parker,SAS,2005
1189,Bruce Bowen,SAS,2005
1190,Tim Duncan,SAS,2005
1191,Manu Ginóbili,SAS,2005
1192,Rasho Nesterović,SAS,2005
1193,Brent Barry,SAS,2005
1194,Robert Horry,SAS,2005
1195,Devin Brown,SAS,2005
1196,Beno Udrih,SAS,2005
1197,Damon Stoudamire,POR,2005
1198,Shareef Abdur-Rahim,POR,2005
1199,Zach Randolph,POR,2005
1200,Ruben Patterson,POR,2005
1201,Nick Van Exel,POR,2005
1202,Theo Ratliff,POR,2005
1203,Joel Przybilla,POR,2005
1204,Darius Miles,POR,2005
1205,Derek Anderson,POR,2005
1206,Mike Bibby,SAC,2005
1207,Peja Stojaković,SAC,2005
1208,Brad Miller,SAC,2005
1209,Cuttino Mobley,SAC,2005
1210,Chris Webber,SAC,2005
1211,Doug Christie,SAC,2005
1212,Darius Songaila,SAC,2005
1213,Kenny Thomas,SAC,2005
1214,Maurice Evans,SAC,2005
1215,Richard Hamilton,DET,2005
1216,Tayshaun Prince,DET,2005
1217,Chauncey Billups,DET,2005
1218,Ben Wallace,DET,2005
1219,Rasheed Wallace,DET,2005
1220,Antonio McDyess,DET,2005
1221,Lindsey Hunter,DET,2005
1222,Carlos Arroyo,DET,2005
1223,Carlos Delfino,DET,2005
1224,Dirk Nowitzki,DAL,2005
1225,Michael Finley,DAL,2005
1226,Josh Howard,DAL,2005
1227,Jason Terry,DAL,2005
1228,Jerry Stackhouse,DAL,2005
1229,Erick Dampier,DAL,2005
1230,Marquis Daniels,DAL,2005
1231,Alan Henderson,DAL,2005
1232,Devin Harris,DAL,2005
1233,Ray Allen,SEA,2005
1234,Rashard Lewis,SEA,2005
1235,Luke Ridnour,SEA,2005
1236,Antonio Daniels,SEA,2005
1237,Vladimir Radmanović,SEA,2005
1238,Reggie Evans,SEA,2005
1239,Nick Collison,SEA,2005
1240,Jerome James,SEA,2005
1241,Danny Fortson,SEA,2005
1242,Kobe Bryant,LAL,2005
1243,Chucky Atkins,LAL,2005
1244,Caron Butler,LAL,2005
1245,Lamar Odom,LAL,2005
1246,Chris Mihm,LAL,2005
1247,Jumaine Jones,LAL,2005
1248,Brian Grant,LAL,2005
1249,Brian Cook,LAL,2005
1250,Tierre Brown,LAL,2005
1251,Elton Brand,LAC,2005
1252,Bobby Simmons,LAC,2005
1253,Corey Maggette,LAC,2005
1254,Marko Jarić,LAC,2005
1255,Rick Brunson,LAC,2005
1256,Chris Kaman,LAC,2005
1257,Quinton Ross,LAC,2005
1258,Shaun Livingston,LAC,2005
1259,Mikki Moore,LAC,2005
1260,Matt Harpring,UTA,2005
1261,Mehmet Okur,UTA,2005
1262,Carlos Boozer,UTA,2005
1263,Raja Bell,UTA,2005
1264,Andrei Kirilenko,UTA,2005
1265,Gordan Giriček,UTA,2005
1266,Keith McLeod,UTA,2005
1267,Howard Eisley,UTA,2005
1268,Carlos Arroyo,UTA,2005
1269,Gilbert Arenas,WAS,2005
1270,Antawn Jamison,WAS,2005
1271,Larry Hughes,WAS,2005
1272,Jared Jeffries,WAS,2005
1273,Brendan Haywood,WAS,2005
1274,Jarvis Hayes,WAS,2005
1275,Michael Ruffin,WAS,2005
1276,Etan Thomas,WAS,2005
1277,Kwame Brown,WAS,2005
1278,Michael Redd,MIL,2005
1279,Desmond Mason,MIL,2005
1280,Joe Smith,MIL,2005
1281,Mo Williams,MIL,2005
1282,Dan Gadzuric,MIL,2005
1283,Zaza Pachulia,MIL,2005
1284,Mike James,MIL,2005
1285,Toni Kukoč,MIL,2005
1286,Keith Van Horn,MIL,2005
1287,Shane Battier,MEM,2005
1288,Mike Miller,MEM,2005
1289,Lorenzen Wright,MEM,2005
1290,Pau Gasol,MEM,2005
1291,Jason Williams,MEM,2005
1292,Earl Watson,MEM,2005
1293,James Posey,MEM,2005
1294,Brian Cardinal,MEM,2005
1295,Bonzi Wells,MEM,2005
1296,P.J. Brown,NOH,2005
1297,Dan Dickau,NOH,2005
1298,Lee Nailon,NOH,2005
1299,David Wesley,NOH,2005
1300,J.R. Smith,NOH,2005
1301,Baron Davis,NOH,2005
1302,Chris Andersen,NOH,2005
1303,Rodney Rogers,NOH,2005
1304,Jamaal Magloire,NOH,2005
1305,Emeka Okafor,CHA,2005
1306,Primož Brezec,CHA,2005
1307,Gerald Wallace,CHA,2005
1308,Brevin Knight,CHA,2005
1309,Jason Hart,CHA,2005
1310,Keith Bogans,CHA,2005
1311,Melvin Ely,CHA,2005
1312,Jason Kapono,CHA,2005
1313,Kareem Rush,CHA,2005
1314,Dwyane Wade,MIA,2006
1315,Udonis Haslem,MIA,2006
1316,Gary Payton,MIA,2006
1317,Antoine Walker,MIA,2006
1318,Jason Williams,MIA,2006
1319,Shaquille O'Neal,MIA,2006
1320,James Posey,MIA,2006
1321,Alonzo Mourning,MIA,2006
1322,Derek Anderson,MIA,2006
1323,Kirk Hinrich,CHI,2006
1324,Luol Deng,CHI,2006
1325,Ben Gordon,CHI,2006
1326,Chris Duhon,CHI,2006
1327,Andrés Nocioni,CHI,2006
1328,Tyson Chandler,CHI,2006
1329,Darius Songaila,CHI,2006
1330,Mike Sweetney,CHI,2006
1331,Othella Harrington,CHI,2006
1332,Allen Iverson,PHI,2006
1333,Andre Iguodala,PHI,2006
1334,Chris Webber,PHI,2006
1335,Kyle Korver,PHI,2006
1336,John Salmons,PHI,2006
1337,Samuel Dalembert,PHI,2006
1338,Steven Hunter,PHI,2006
1339,Kevin Ollie,PHI,2006
1340,Matt Barnes,PHI,2006
1341,Richard Jefferson,NJN,2006
1342,Jason Kidd,NJN,2006
1343,Vince Carter,NJN,2006
1344,Nenad Krstić,NJN,2006
1345,Jason Collins,NJN,2006
1346,Clifford Robinson,NJN,2006
1347,Jacque Vaughn,NJN,2006
1348,Scott Padgett,NJN,2006
1349,Jeff McInnis,NJN,2006
1350,Jason Richardson,GSW,2006
1351,Troy Murphy,GSW,2006
1352,Mike Dunleavy,GSW,2006
1353,Derek Fisher,GSW,2006
1354,Baron Davis,GSW,2006
1355,Adonal Foyle,GSW,2006
1356,Mickaël Piétrus,GSW,2006
1357,Ike Diogu,GSW,2006
1358,Andris Biedriņš,GSW,2006
1359,Paul Pierce,BOS,2006
1360,Ricky Davis,BOS,2006
1361,Delonte West,BOS,2006
1362,Wally Szczerbiak,BOS,2006
1363,Raef LaFrentz,BOS,2006
1364,Mark Blount,BOS,2006
1365,Ryan Gomes,BOS,2006
1366,Kendrick Perkins,BOS,2006
1367,Orien Greene,BOS,2006
1368,Stephen Jackson,IND,2006
1369,Jermaine O'Neal,IND,2006
1370,Peja Stojaković,IND,2006
1371,Anthony Johnson,IND,2006
1372,Fred Jones,IND,2006
1373,Metta World Peace,IND,2006
1374,Danny Granger,IND,2006
1375,Jeff Foster,IND,2006
1376,Šarūnas Jasikevičius,IND,2006
1377,Joe Johnson,ATL,2006
1378,Al Harrington,ATL,2006
1379,Josh Smith,ATL,2006
1380,Zaza Pachulia,ATL,2006
1381,Josh Childress,ATL,2006
1382,Marvin Williams,ATL,2006
1383,Tyronn Lue,ATL,2006
1384,Salim Stoudamire,ATL,2006
1385,Royal Ivey,ATL,2006
1386,Jamal Crawford,NYK,2006
1387,Stephon Marbury,NYK,2006
1388,Eddy Curry,NYK,2006
1389,Channing Frye,NYK,2006
1390,Quentin Richardson,NYK,2006
1391,Nate Robinson,NYK,2006
1392,Jalen Rose,NYK,2006
1393,Maurice Taylor,NYK,2006
1394,Steve Francis,NYK,2006
1395,Morris Peterson,TOR,2006
1396,Chris Bosh,TOR,2006
1397,Mike James,TOR,2006
1398,Charlie Villanueva,TOR,2006
1399,Matt Bonner,TOR,2006
1400,Joey Graham,TOR,2006
1401,José Calderón,TOR,2006
1402,Jalen Rose,TOR,2006
1403,Antonio Davis,TOR,2006
1404,LeBron James,CLE,2006
1405,Eric Snow,CLE,2006
1406,Zydrunas Ilgauskas,CLE,2006
1407,Drew Gooden,CLE,2006
1408,Damon Jones,CLE,2006
1409,Donyell Marshall,CLE,2006
1410,Larry Hughes,CLE,2006
1411,Ronald Murray,CLE,2006
1412,Sasha Pavlović,CLE,2006
1413,Dwight Howard,ORL,2006
1414,Hedo Türkoğlu,ORL,2006
1415,DeShawn Stevenson,ORL,2006
1416,Steve Francis,ORL,2006
1417,Tony Battie,ORL,2006
1418,Jameer Nelson,ORL,2006
1419,Keyon Dooling,ORL,2006
1420,Grant Hill,ORL,2006
1421,Pat Garrity,ORL,2006
1422,Shawn Marion,PHO,2006
1423,Raja Bell,PHO,2006
1424,Boris Diaw,PHO,2006
1425,Steve Nash,PHO,2006
1426,Leandro Barbosa,PHO,2006
1427,James Jones,PHO,2006
1428,Kurt Thomas,PHO,2006
1429,Eddie House,PHO,2006
1430,Tim Thomas,PHO,2006
1431,Carmelo Anthony,DEN,2006
1432,Andre Miller,DEN,2006
1433,Marcus Camby,DEN,2006
1434,Greg Buckner,DEN,2006
1435,Kenyon Martin,DEN,2006
1436,Earl Boykins,DEN,2006
1437,Francisco Elson,DEN,2006
1438,Eduardo Nájera,DEN,2006
1439,Ruben Patterson,DEN,2006
1440,Rafer Alston,HOU,2006
1441,Juwan Howard,HOU,2006
1442,David Wesley,HOU,2006
1443,Tracy McGrady,HOU,2006
1444,Yao Ming,HOU,2006
1445,Luther Head,HOU,2006
1446,Keith Bogans,HOU,2006
1447,Stromile Swift,HOU,2006
1448,Derek Anderson,HOU,2006
1449,Kevin Garnett,MIN,2006
1450,Trenton Hassell,MIN,2006
1451,Ricky Davis,MIN,2006
1452,Wally Szczerbiak,MIN,2006
1453,Marko Jarić,MIN,2006
1454,Marcus Banks,MIN,2006
1455,Mark Blount,MIN,2006
1456,Eddie Griffin,MIN,2006
1457,Rashad McCants,MIN,2006
1458,Tim Duncan,SAS,2006
1459,Bruce Bowen,SAS,2006
1460,Tony Parker,SAS,2006
1461,Michael Finley,SAS,2006
1462,Manu Ginóbili,SAS,2006
1463,Rasho Nesterović,SAS,2006
1464,Nazr Mohammed,SAS,2006
1465,Brent Barry,SAS,2006
1466,Robert Horry,SAS,2006
1467,Zach Randolph,POR,2006
1468,Juan Dixon,POR,2006
1469,Steve Blake,POR,2006
1470,Darius Miles,POR,2006
1471,Sebastian Telfair,POR,2006
1472,Jarrett Jack,POR,2006
1473,Joel Przybilla,POR,2006
1474,Viktor Khryapa,POR,2006
1475,Theo Ratliff,POR,2006
1476,Mike Bibby,SAC,2006
1477,Brad Miller,SAC,2006
1478,Metta World Peace,SAC,2006
1479,Kenny Thomas,SAC,2006
1480,Bonzi Wells,SAC,2006
1481,Peja Stojaković,SAC,2006
1482,Shareef Abdur-Rahim,SAC,2006
1483,Kevin Martin,SAC,2006
1484,Francisco García,SAC,2006
1485,Chauncey Billups,DET,2006
1486,Tayshaun Prince,DET,2006
1487,Ben Wallace,DET,2006
1488,Richard Hamilton,DET,2006
1489,Rasheed Wallace,DET,2006
1490,Antonio McDyess,DET,2006
1491,Maurice Evans,DET,2006
1492,Carlos Delfino,DET,2006
1493,Carlos Arroyo,DET,2006
1494,Dirk Nowitzki,DAL,2006
1495,Jason Terry,DAL,2006
1496,Josh Howard,DAL,2006
1497,Marquis Daniels,DAL,2006
1498,Erick Dampier,DAL,2006
1499,Jerry Stackhouse,DAL,2006
1500,DeSagana Diop,DAL,2006
1501,Adrian Griffin,DAL,2006
1502,Devin Harris,DAL,2006
1503,Ray Allen,SEA,2006
1504,Rashard Lewis,SEA,2006
1505,Luke Ridnour,SEA,2006
1506,Damien Wilkins,SEA,2006
1507,Nick Collison,SEA,2006
1508,Chris Wilcox,SEA,2006
1509,Johan Petro,SEA,2006
1510,Vladimir Radmanović,SEA,2006
1511,Ronald Murray,SEA,2006
1512,Kobe Bryant,LAL,2006
1513,Lamar Odom,LAL,2006
1514,Smush Parker,LAL,2006
1515,Kwame Brown,LAL,2006
1516,Chris Mihm,LAL,2006
1517,Devean George,LAL,2006
1518,Brian Cook,LAL,2006
1519,Sasha Vujačić,LAL,2006
1520,Luke Walton,LAL,2006
1521,Elton Brand,LAC,2006
1522,Cuttino Mobley,LAC,2006
1523,Sam Cassell,LAC,2006
1524,Chris Kaman,LAC,2006
1525,Shaun Livingston,LAC,2006
1526,Quinton Ross,LAC,2006
1527,Corey Maggette,LAC,2006
1528,Vladimir Radmanović,LAC,2006
1529,Daniel Ewing,LAC,2006
1530,Mehmet Okur,UTA,2006
1531,Andrei Kirilenko,UTA,2006
1532,Deron Williams,UTA,2006
1533,Matt Harpring,UTA,2006
1534,Jarron Collins,UTA,2006
1535,Devin Brown,UTA,2006
1536,Carlos Boozer,UTA,2006
1537,Milt Palacio,UTA,2006
1538,Gordan Giriček,UTA,2006
1539,Gilbert Arenas,WAS,2006
1540,Antawn Jamison,WAS,2006
1541,Caron Butler,WAS,2006
1542,Antonio Daniels,WAS,2006
1543,Jared Jeffries,WAS,2006
1544,Brendan Haywood,WAS,2006
1545,Etan Thomas,WAS,2006
1546,Michael Ruffin,WAS,2006
1547,Jarvis Hayes,WAS,2006
1548,Michael Redd,MIL,2006
1549,T.J. Ford,MIL,2006
1550,Bobby Simmons,MIL,2006
1551,Jamaal Magloire,MIL,2006
1552,Andrew Bogut,MIL,2006
1553,Mo Williams,MIL,2006
1554,Charlie Bell,MIL,2006
1555,Toni Kukoč,MIL,2006
1556,Joe Smith,MIL,2006
1557,Pau Gasol,MEM,2006
1558,Shane Battier,MEM,2006
1559,Eddie Jones,MEM,2006
1560,Mike Miller,MEM,2006
1561,Bobby Jackson,MEM,2006
1562,Lorenzen Wright,MEM,2006
1563,Damon Stoudamire,MEM,2006
1564,Chucky Atkins,MEM,2006
1565,Dahntay Jones,MEM,2006
1566,Brevin Knight,CHA,2006
1567,Raymond Felton,CHA,2006
1568,Gerald Wallace,CHA,2006
1569,Primož Brezec,CHA,2006
1570,Jumaine Jones,CHA,2006
1571,Emeka Okafor,CHA,2006
1572,Melvin Ely,CHA,2006
1573,Bernard Robinson,CHA,2006
1574,Kareem Rush,CHA,2006
1575,Chris Paul,NOK,2006
1576,David West,NOK,2006
1577,P.J. Brown,NOK,2006
1578,Desmond Mason,NOK,2006
1579,Speedy Claxton,NOK,2006
1580,Rasual Butler,NOK,2006
1581,Kirk Snyder,NOK,2006
