Rank-Statistic,Overall
2019-SAC,39-43
2019-LAL,37-45
,
,Overall
2019-MIN,36-46
2019-DAL,33-49
2019-MEM,33-49
2019-NOP,33-49
2019-WAS,32-50
2019-ATL,29-53
2019-CHI,22-60
2019-CLE,19-63
2019-PHO,19-63
2019-NYK,17-65
2020-MIL,56-17
2020-TOR,53-19
2020-LAL,52-19
2020-LAC,49-23
2020-BOS,48-24
2020-DEN,46-27
2020-IND,45-28
2020-HOU,44-28
2020-MIA,44-29
2020-OKC,44-28
2020-UTA,44-28
2020-DAL,43-32
2020-PHI,43-30
2020-BRK,35-37
2020-POR,35-39
2020-MEM,34-39
2020-PHO,34-39
2020-ORL,33-40
2020-SAS,32-39
2020-SAC,31-41
,
,Overall
2020-NOP,30-42
2020-WAS,25-47
2020-CHA,23-42
2020-CHI,22-43
2020-NYK,21-45
2020-ATL,20-47
2020-DET,20-46
2020-CLE,19-46
2020-MIN,19-45
2020-GSW,15-50
2021-UTA,52-20
2021-PHO,51-21
2021-PHI,49-23
2021-BRK,48-24
2021-DEN,47-25
2021-LAC,47-25
2021-MIL,46-26
2021-DAL,42-30
2021-LAL,42-30
2021-POR,42-30
2021-ATL,41-31
2021-NYK,41-31
2021-MIA,40-32
2021-GSW,39-33
2021-MEM,38-34
2021-BOS,36-36
2021-WAS,34-38
2021-IND,34-38
2021-CHA,33-39
2021-SAS,33-39
,
,Overall
2021-CHI,31-41
2021-NOP,31-41
2021-SAC,31-41
2021-TOR,27-45
2021-MIN,23-49
2021-CLE,22-50
2021-OKC,22-50
2021-ORL,21-51
2021-DET,20-52
2021-HOU,17-55
2022-PHO,64-18
2022-MEM,56-26
2022-GSW,53-29
2022-MIA,53-29
2022-DAL,52-30
2022-BOS,51-31
2022-MIL,51-31
2022-PHI,51-31
2022-UTA,49-33
2022-DEN,48-34
2022-TOR,48-34
2022-CHI,46-36
2022-MIN,46-36
2022-BRK,44-38
2022-CLE,44-38
2022-ATL,43-39
2022-CHA,43-39
2022-LAC,42-40
2022-NYK,37-45
2022-NOP,36-46
,
,Overall
2022-WAS,35-47
2022-SAS,34-48
2022-LAL,33-49
2022-SAC,30-52
2022-POR,27-55
2022-IND,25-57
2022-OKC,24-58
2022-DET,23-59
2022-ORL,22-60
2022-HOU,20-62
2023-MIL,58-24
2023-BOS,57-25
2023-PHI,54-28
2023-DEN,53-29
2023-CLE,51-31
2023-MEM,51-31
2023-SAC,48-34
2023-NYK,47-35
2023-BRK,45-37
2023-PHO,45-37
2023-GSW,44-38
2023-LAC,44-38
2023-MIA,44-38
2023-LAL,43-39
2023-MIN,42-40
2023-NOP,42-40
2023-ATL,41-41
2023-TOR,41-41
2023-CHI,40-42
2023-OKC,40-42
,
,Overall
2023-DAL,38-44
2023-UTA,37-45
2023-IND,35-47
2023-WAS,35-47
2023-ORL,34-48
2023-POR,33-49
2023-CHA,27-55
2023-HOU,22-60
