,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
398,Skal Labissière,22,176,.531,10.9,.735,.347,.224,.082,.082,.265,.556,.706,.364,.500,.500,.462,.400,.667,.077,.000
404,T.J. Leaf,58,522,.541,8.1,.831,.421,.311,.082,.016,.169,.599,.727,.526,.267,.333,.258,.604,.875,.226,.286
253,Taj Gibson,70,1686,.566,5.9,.937,.547,.248,.069,.073,.063,.583,.690,.421,.405,.487,.324,.669,1.000,.765,.385
374,Terrence Jones,2,5,.250,13.8,.500,.250,.250,.000,.000,.500,.500,1.000,.000,,,.000,1.000,,.000,
724,Thaddeus Young,81,2489,.527,7.8,.826,.464,.287,.039,.037,.174,.564,.679,.456,.303,.226,.349,.554,.941,.445,.354
444,Thon Maker,29,563,.373,16.3,.440,.224,.134,.037,.045,.560,.458,.600,.389,.200,.167,.307,.815,1.000,.440,.273
286,Tobias Harris,82,2847,.487,13.4,.687,.242,.192,.158,.095,.313,.528,.660,.461,.434,.487,.397,.393,.808,.170,.448
433,Trey Lyles,64,1120,.418,13.8,.596,.263,.202,.089,.042,.404,.529,.731,.350,.341,.524,.255,.622,.941,.160,.406
128,Tyler Cavanaugh,11,39,.300,13.8,.500,.200,.300,.000,.000,.500,.400,1.000,.000,,,.200,1.000,1.000,.600,.000
432,Tyler Lydon,25,94,.500,14.5,.444,.389,.056,.000,.000,.556,.625,.714,.000,,,.400,.400,1.000,.400,.500
119,Vince Carter,76,1330,.419,19.8,.325,.147,.071,.064,.043,.675,.480,.623,.273,.467,.350,.389,.589,.911,.152,.458
134,Wilson Chandler,36,951,.440,17.5,.430,.193,.106,.063,.068,.570,.506,.625,.409,.538,.286,.390,.689,.978,.280,.455
451,Yante Maten,2,13,.250,9.8,.750,.500,.000,.250,.000,.250,.333,.000,,1.000,,.000,1.000,,.000,
572,Zhou Qi,1,1,1.000,1.4,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,1.000,,,
