,Player,Pos,G,MP,Roster
2293,Andre Miller,PG,82,34.8,2005DEN
2294,Carmelo Anthony,SF,75,34.8,2005DEN
2295,Kenyon Martin,PF,70,32.5,2005DEN
2296,Marcus Camby,C,66,30.5,2005DEN
2297,Earl Boykins,PG,82,26.4,2005DEN
2298,Nenê,C,55,23.9,2005DEN
2299,Eduardo Nájera,PF,26,22.1,2005DEN
2300,Greg Buckner,SG,70,21.7,2005DEN
2301,Wesley Person,SF,25,18.4,2005DEN
2302,Voshon Lenard,SG,3,18.0,2005DEN
2303,DerMarr Johnson,SG,71,17.4,2005DEN
2304,Bryon Russell,SF,70,14.7,2005DEN
2305,Francisco Elson,C,67,14.0,2005DEN
2306,Rodney White,SF,42,12.6,2005DEN
2307,Nikoloz Tskitishvili,PF,23,6.9,2005DEN
2308,Luis Flores,PG,1,4.0,2005DEN
2309,Mark Pope,PF,9,3.0,2005DEN
2310,Team Totals,,82,240.9,2005DEN
2311,Jim Jackson,SF,24,41.3,2005HOU
2312,Tracy McGrady,SF,78,40.8,2005HOU
2313,David Wesley,SG,54,34.1,2005HOU
2314,Bob Sura,PG,61,31.5,2005HOU
2315,Yao Ming,C,80,30.6,2005HOU
2316,Juwan Howard,PF,61,26.6,2005HOU
2317,Charlie Ward,PG,14,25.7,2005HOU
2318,Mike James,PG,27,25.6,2005HOU
2319,Maurice Taylor,PF,38,23.8,2005HOU
2320,Jon Barry,SG,53,23.2,2005HOU
2321,Tyronn Lue,PG,21,22.8,2005HOU
2322,Dikembe Mutombo,C,80,15.2,2005HOU
2323,Scott Padgett,PF,66,14.3,2005HOU
2324,Clarence Weatherspoon,PF,40,13.1,2005HOU
2325,Boštjan Nachbar,SF,16,12.8,2005HOU
2326,Rod Strickland,PG,16,12.3,2005HOU
2327,Andre Barrett,PG,27,11.6,2005HOU
2328,Reece Gaines,PG,10,10.8,2005HOU
2329,Ryan Bowen,SF,66,9.2,2005HOU
2330,Moochie Norris,PG,6,6.5,2005HOU
2331,Vin Baker,C,3,4.3,2005HOU
2332,Torraye Braggs,PF,7,3.4,2005HOU
2333,Brandin Knight,PG,1,3.0,2005HOU
2334,Team Totals,,82,242.1,2005HOU
2335,Kevin Garnett,PF,82,38.1,2005MIN
2336,Wally Szczerbiak,SF,81,31.6,2005MIN
2337,Latrell Sprewell,SF,80,30.6,2005MIN
2338,Ndudi Ebi,SG,2,27.0,2005MIN
2339,Sam Cassell,PG,59,25.8,2005MIN
2340,Trenton Hassell,SG,82,25.2,2005MIN
2341,Troy Hudson,PG,79,21.9,2005MIN
2342,Eddie Griffin,PF,70,21.3,2005MIN
2343,Michael Olowokandi,C,62,19.6,2005MIN
2344,Fred Hoiberg,SG,76,16.7,2005MIN
2345,Mark Madsen,C,41,14.7,2005MIN
2346,John Thomas,C,44,11.8,2005MIN
2347,Anthony Carter,PG,66,11.2,2005MIN
2348,Ervin Johnson,C,46,8.9,2005MIN
2349,Team Totals,,82,240.9,2005MIN
2350,Tony Parker,PG,80,34.2,2005SAS
2351,Tim Duncan,PF,66,33.4,2005SAS
2352,Bruce Bowen,SF,82,32.0,2005SAS
2353,Manu Ginóbili,SG,74,29.6,2005SAS
2354,Rasho Nesterović,C,70,25.5,2005SAS
2355,Brent Barry,SG,81,21.5,2005SAS
2356,Robert Horry,PF,75,18.6,2005SAS
2357,Devin Brown,SG,67,18.5,2005SAS
2358,Nazr Mohammed,C,23,18.0,2005SAS
2359,Glenn Robinson,SF,9,17.4,2005SAS
2360,Malik Rose,PF,50,17.2,2005SAS
2361,Beno Udrih,PG,80,14.4,2005SAS
2362,Tony Massenburg,PF,61,11.5,2005SAS
2363,Sean Marks,PF,23,10.6,2005SAS
2364,Dion Glover,SG,7,9.7,2005SAS
2365,Linton Johnson,SF,2,7.5,2005SAS
2366,Mike Wilks,PG,48,5.8,2005SAS
2367,Team Totals,,82,241.5,2005SAS
2368,Zach Randolph,PF,46,34.8,2005POR
2369,Shareef Abdur-Rahim,PF,54,34.6,2005POR
2370,Damon Stoudamire,PG,81,34.1,2005POR
2371,Nick Van Exel,SG,53,30.5,2005POR
2372,Ruben Patterson,SF,70,28.0,2005POR
2373,Theo Ratliff,C,63,27.5,2005POR
2374,Darius Miles,SF,63,27.0,2005POR
2375,Derek Anderson,SG,47,26.4,2005POR
2376,Joel Przybilla,C,76,24.4,2005POR
2377,Sebastian Telfair,PG,68,19.6,2005POR
2378,Viktor Khryapa,SF,32,16.3,2005POR
2379,Travis Outlaw,SF,59,13.4,2005POR
2380,James Thomas,PF,9,12.4,2005POR
2381,Richie Frahm,SG,43,11.6,2005POR
2382,Ha Seung-Jin,C,19,5.5,2005POR
2383,Maurice Baker,PG,4,4.5,2005POR
2384,Geno Carlisle,SG,6,2.7,2005POR
2385,Team Totals,,82,240.6,2005POR
2386,Cuttino Mobley,SG,43,38.7,2005SAC
2387,Mike Bibby,PG,80,38.6,2005SAC
2388,Peja Stojaković,SF,66,38.4,2005SAC
2389,Brad Miller,C,56,37.3,2005SAC
2390,Chris Webber,PF,46,36.3,2005SAC
2391,Doug Christie,SG,31,32.1,2005SAC
2392,Kenny Thomas,PF,26,31.7,2005SAC
2393,Brian Skinner,C,25,27.8,2005SAC
2394,Bobby Jackson,SG,25,21.4,2005SAC
2395,Darius Songaila,PF,81,20.6,2005SAC
2396,Corliss Williamson,PF,24,19.6,2005SAC
2397,Maurice Evans,SG,65,19.0,2005SAC
2398,Matt Barnes,SF,43,16.6,2005SAC
2399,Eddie House,PG,50,11.0,2005SAC
2400,Kevin Martin,PG,45,10.1,2005SAC
2401,Greg Ostertag,C,56,9.9,2005SAC
2402,Michael Bradley,PF,8,6.0,2005SAC
2403,Erik Daniels,SF,21,3.4,2005SAC
2404,Team Totals,,82,242.1,2005SAC
2405,Richard Hamilton,SG,76,38.5,2005DET
2406,Tayshaun Prince,SF,82,37.1,2005DET
2407,Ben Wallace,C,74,36.1,2005DET
2408,Chauncey Billups,PG,80,35.8,2005DET
2409,Rasheed Wallace,PF,79,34.0,2005DET
2410,Antonio McDyess,PF,77,23.3,2005DET
2411,Carlos Arroyo,PG,40,17.7,2005DET
2412,Carlos Delfino,SG,30,15.3,2005DET
2413,Lindsey Hunter,SG,76,15.1,2005DET
2414,Elden Campbell,C,30,11.3,2005DET
2415,Ronald Dupree,SF,47,10.0,2005DET
2416,Derrick Coleman,C,5,10.0,2005DET
2417,Smush Parker,PG,11,10.0,2005DET
2418,Horace Jenkins,PG,15,6.9,2005DET
2419,Darko Miličić,C,37,6.9,2005DET
2420,Anthony Goldwire,PG,9,6.1,2005DET
2421,Darvin Ham,SF,47,5.9,2005DET
2422,Team Totals,,82,243.4,2005DET
2423,Dirk Nowitzki,PF,78,38.7,2005DAL
2424,Michael Finley,SG,64,36.8,2005DAL
2425,Josh Howard,SF,76,32.2,2005DAL
2426,Jason Terry,PG,80,30.0,2005DAL
2427,Jerry Stackhouse,SG,56,28.9,2005DAL
2428,Erick Dampier,C,59,27.3,2005DAL
2429,Keith Van Horn,PF,29,23.6,2005DAL
2430,Marquis Daniels,SG,60,23.5,2005DAL
2431,Devin Harris,PG,76,15.4,2005DAL
2432,Alan Henderson,PF,78,15.4,2005DAL
2433,Shawn Bradley,C,77,11.5,2005DAL
2434,Darrell Armstrong,PG,52,11.1,2005DAL
2435,Calvin Booth,C,34,7.7,2005DAL
2436,Dan Dickau,PG,4,4.0,2005DAL
2437,D.J. Mbenga,C,15,3.9,2005DAL
2438,Pavel Podkolzin,C,5,2.0,2005DAL
2439,Team Totals,,82,240.6,2005DAL
2440,Ray Allen,SG,78,39.3,2005SEA
2441,Rashard Lewis,SF,71,38.0,2005SEA
2442,Luke Ridnour,PG,82,31.4,2005SEA
2443,Vladimir Radmanović,PF,63,29.5,2005SEA
2444,Antonio Daniels,PG,75,27.0,2005SEA
2445,Reggie Evans,PF,79,23.8,2005SEA
2446,Ronald Murray,SG,49,18.0,2005SEA
2447,Damien Wilkins,SF,29,17.9,2005SEA
2448,Nick Collison,C,82,17.0,2005SEA
2449,Danny Fortson,C,62,16.9,2005SEA
2450,Jerome James,C,80,16.6,2005SEA
2451,Vitaly Potapenko,C,33,10.2,2005SEA
2452,Mateen Cleaves,PG,14,4.6,2005SEA
2453,Robert Swift,C,16,4.5,2005SEA
2454,Ibo Kutluay,SG,5,2.4,2005SEA
2455,Team Totals,,82,240.9,2005SEA
2456,Kobe Bryant,SG,66,40.7,2005LAL
2457,Lamar Odom,PF,64,36.3,2005LAL
2458,Caron Butler,SF,77,35.7,2005LAL
2459,Chucky Atkins,PG,82,35.4,2005LAL
2460,Chris Mihm,C,75,24.9,2005LAL
2461,Jumaine Jones,SF,76,24.1,2005LAL
2462,Devean George,SF,15,20.4,2005LAL
2463,Brian Grant,C,69,16.5,2005LAL
2464,Brian Cook,C,72,15.1,2005LAL
2465,Tierre Brown,PG,76,14.0,2005LAL
2466,Luke Walton,SF,61,12.6,2005LAL
2467,Sasha Vujačić,SG,35,11.5,2005LAL
2468,Stanislav Medvedenko,PF,43,9.8,2005LAL
2469,Vlade Divac,C,15,8.7,2005LAL
2470,Kareem Rush,SG,14,6.5,2005LAL
2471,Tony Bobbitt,SG,2,6.0,2005LAL
2472,Team Totals,,82,241.2,2005LAL
2473,Bobby Simmons,SF,75,37.3,2005LAC
2474,Elton Brand,PF,81,37.0,2005LAC
2475,Corey Maggette,SG,66,36.9,2005LAC
2476,Marko Jarić,PG,50,33.1,2005LAC
2477,Shaun Livingston,PG,30,27.1,2005LAC
2478,Chris Kaman,C,63,25.9,2005LAC
2479,Rick Brunson,PG,80,24.3,2005LAC
2480,Kerry Kittles,SG,11,22.1,2005LAC
2481,Quinton Ross,SG,78,21.3,2005LAC
2482,Chris Wilcox,C,54,18.6,2005LAC
2483,Darrick Martin,PG,11,17.3,2005LAC
2484,Željko Rebrača,C,58,16.0,2005LAC
2485,Mikki Moore,PF,74,15.9,2005LAC
2486,Lionel Chalmers,PG,36,12.0,2005LAC
2487,Mamadou N'Diaye,C,11,6.5,2005LAC
2488,Kenny Anderson,PG,4,6.5,2005LAC
2489,Kirk Penney,SG,4,3.0,2005LAC
2490,Maurice Baker,PG,1,1.0,2005LAC
2491,Team Totals,,82,244.3,2005LAC
2492,Carlos Boozer,PF,51,34.7,2005UTA
2493,Matt Harpring,SF,78,33.1,2005UTA
2494,Andrei Kirilenko,PF,41,32.9,2005UTA
2495,Raja Bell,SG,63,28.4,2005UTA
2496,Mehmet Okur,C,82,28.1,2005UTA
2497,Keith McLeod,PG,53,26.1,2005UTA
2498,Carlos Arroyo,PG,30,24.7,2005UTA
2499,Gordan Giriček,SG,81,20.5,2005UTA
2500,Howard Eisley,PG,74,19.3,2005UTA
2501,Jarron Collins,C,50,19.2,2005UTA
2502,Raül López,PG,31,16.7,2005UTA
2503,Ben Handlogten,C,21,14.1,2005UTA
2504,Randy Livingston,PG,17,13.4,2005UTA
2505,Kirk Snyder,SG,68,13.3,2005UTA
2506,Kris Humphries,PF,67,13.0,2005UTA
2507,Curtis Borchardt,C,67,12.8,2005UTA
2508,Aleksandar Radojević,C,12,10.7,2005UTA
2509,Team Totals,,82,241.2,2005UTA
2510,Gilbert Arenas,PG,80,40.9,2005WAS
2511,Larry Hughes,SG,61,38.7,2005WAS
2512,Antawn Jamison,PF,68,38.3,2005WAS
2513,Jarvis Hayes,SF,54,28.9,2005WAS
2514,Brendan Haywood,C,68,27.4,2005WAS
2515,Jared Jeffries,SF,77,26.1,2005WAS
2516,Kwame Brown,PF,42,21.6,2005WAS
2517,Etan Thomas,C,47,20.8,2005WAS
2518,Juan Dixon,SG,63,16.7,2005WAS
2519,Michael Ruffin,C,79,16.0,2005WAS
2520,Steve Blake,PG,44,14.7,2005WAS
2521,Anthony Peeler,SG,40,13.2,2005WAS
2522,Damone Brown,SF,14,10.9,2005WAS
2523,Laron Profit,SF,42,10.2,2005WAS
2524,Samaki Walker,PF,14,9.6,2005WAS
2525,Peter John Ramos,C,6,3.3,2005WAS
2526,Team Totals,,82,241.2,2005WAS
2527,Michael Redd,SG,75,38.0,2005MIL
2528,Desmond Mason,SF,80,36.2,2005MIL
2529,Joe Smith,PF,74,30.6,2005MIL
2530,Mo Williams,PG,80,28.2,2005MIL
2531,Keith Van Horn,SF,33,24.8,2005MIL
2532,Mike James,PG,47,24.8,2005MIL
2533,Dan Gadzuric,C,81,22.0,2005MIL
2534,Toni Kukoč,SF,53,20.7,2005MIL
2535,Kendall Gill,SG,14,20.3,2005MIL
2536,Anthony Goldwire,PG,24,20.1,2005MIL
2537,Zaza Pachulia,C,74,18.9,2005MIL
2538,Marcus Fizer,PF,54,16.7,2005MIL
2539,Erick Strickland,SG,62,16.4,2005MIL
2540,Calvin Booth,C,17,11.1,2005MIL
2541,Zendon Hamilton,C,16,9.9,2005MIL
2542,Daniel Santiago,C,11,9.5,2005MIL
2543,Eddie House,SG,5,8.2,2005MIL
2544,Reece Gaines,PG,11,7.2,2005MIL
2545,Team Totals,,82,241.2,2005MIL
2546,Pau Gasol,PF,56,32.0,2005MEM
2547,Shane Battier,SG,80,31.5,2005MEM
2548,Mike Miller,SF,76,30.0,2005MEM
2549,Lorenzen Wright,C,80,28.6,2005MEM
2550,James Posey,SF,50,27.6,2005MEM
2551,Jason Williams,PG,71,27.5,2005MEM
2552,Brian Cardinal,PF,58,24.7,2005MEM
2553,Earl Watson,PG,80,22.6,2005MEM
2554,Bonzi Wells,SG,69,21.6,2005MEM
2555,Stromile Swift,PF,60,21.3,2005MEM
2556,Dahntay Jones,SG,52,12.5,2005MEM
2557,Antonio Burks,PG,24,9.1,2005MEM
2558,Ryan Humphrey,SF,35,9.1,2005MEM
2559,Jake Tsakalidis,C,31,9.0,2005MEM
2560,Andre Emmett,SG,8,3.5,2005MEM
2561,Team Totals,,82,240.3,2005MEM
2562,David Wesley,SG,26,35.9,2005NOH
2563,P.J. Brown,PF,82,34.4,2005NOH
2564,Baron Davis,PG,18,32.9,2005NOH
2565,Dan Dickau,PG,67,31.0,2005NOH
2566,Jamaal Magloire,C,23,30.6,2005NOH
2567,Lee Nailon,SF,68,29.7,2005NOH
2568,Darrell Armstrong,PG,14,29.4,2005NOH
2569,Rodney Rogers,SF,30,29.4,2005NOH
2570,J.R. Smith,SG,76,24.5,2005NOH
2571,Casey Jacobsen,SG,44,23.4,2005NOH
2572,Speedy Claxton,PG,16,22.8,2005NOH
2573,Chris Andersen,C,67,21.3,2005NOH
2574,George Lynch,SF,44,21.2,2005NOH
2575,Boštjan Nachbar,PF,55,20.7,2005NOH
2576,Matt Freije,PF,23,19.2,2005NOH
2577,Junior Harrington,SG,29,19.0,2005NOH
2578,David West,SF,30,18.4,2005NOH
2579,Alex Garcia,SG,8,18.3,2005NOH
2580,Jackson Vroman,C,36,18.0,2005NOH
2581,Maciej Lampe,C,21,12.4,2005NOH
2582,Corsley Edwards,C,10,11.0,2005NOH
2583,Lonny Baxter,PF,4,9.0,2005NOH
2584,Team Totals,,82,243.0,2005NOH
2585,Emeka Okafor,PF,73,35.6,2005CHA
2586,Primož Brezec,C,72,31.6,2005CHA
2587,Gerald Wallace,SF,70,30.7,2005CHA
2588,Brevin Knight,PG,66,29.5,2005CHA
2589,Kareem Rush,SG,34,25.8,2005CHA
2590,Jason Hart,PG,74,25.5,2005CHA
2591,Keith Bogans,SG,74,24.2,2005CHA
2592,Eddie House,SG,13,23.1,2005CHA
2593,Melvin Ely,PF,79,20.9,2005CHA
2594,Jason Kapono,SF,81,18.4,2005CHA
2595,Matt Carroll,SG,25,17.2,2005CHA
2596,Steve Smith,SG,37,17.2,2005CHA
2597,Theron Smith,SF,33,15.5,2005CHA
2598,Jamal Sampson,PF,23,14.3,2005CHA
2599,Cory Alexander,SG,16,12.6,2005CHA
2600,Malik Allen,PF,22,12.3,2005CHA
2601,Bernard Robinson,SG,31,10.6,2005CHA
2602,Tamar Slay,SG,8,9.8,2005CHA
2603,Jahidi White,C,17,7.9,2005CHA
2604,Team Totals,,82,242.4,2005CHA
2605,Dwyane Wade,SG,75,38.6,2006MIA
2606,Jason Williams,PG,59,31.8,2006MIA
2607,Udonis Haslem,PF,81,30.8,2006MIA
2608,Shaquille O'Neal,C,59,30.6,2006MIA
2609,James Posey,SF,67,28.6,2006MIA
2610,Gary Payton,PG,81,28.5,2006MIA
2611,Antoine Walker,PF,82,26.8,2006MIA
2612,Derek Anderson,SG,23,20.2,2006MIA
2613,Alonzo Mourning,C,65,20.0,2006MIA
2614,Shandon Anderson,SF,48,13.3,2006MIA
2615,Gerald Fitch,PG,18,13.3,2006MIA
2616,Jason Kapono,SF,51,13.0,2006MIA
2617,Michael Doleac,C,31,12.0,2006MIA
2618,Wayne Simien,PF,43,9.6,2006MIA
2619,Dorell Wright,SF,20,6.6,2006MIA
2620,Earl Barron,C,8,5.6,2006MIA
2621,Matt Walsh,SG,2,1.5,2006MIA
2622,Team Totals,,82,240.9,2006MIA
2623,Kirk Hinrich,PG,81,36.5,2006CHI
2624,Luol Deng,SF,78,33.4,2006CHI
2625,Ben Gordon,SG,80,31.0,2006CHI
2626,Chris Duhon,PG,74,29.1,2006CHI
2627,Andrés Nocioni,PF,82,27.3,2006CHI
2628,Tyson Chandler,C,79,26.8,2006CHI
2629,Darius Songaila,PF,62,21.4,2006CHI
2630,Mike Sweetney,C,66,18.5,2006CHI
2631,Malik Allen,PF,54,13.0,2006CHI
2632,Othella Harrington,C,72,11.4,2006CHI
2633,Jannero Pargo,PG,57,11.3,2006CHI
2634,Tim Thomas,SF,3,10.7,2006CHI
2635,Eric Piatkowski,SG,29,7.9,2006CHI
2636,Luke Schenscher,C,20,7.5,2006CHI
2637,Eddie Basden,SF,19,7.4,2006CHI
2638,Stephen Graham,SG,3,6.7,2006CHI
2639,Randy Livingston,PG,5,4.4,2006CHI
2640,James Thomas,PF,7,3.7,2006CHI
2641,Randy Holcomb,SF,4,2.8,2006CHI
2642,Team Totals,,82,242.7,2006CHI
2643,Allen Iverson,PG,72,43.1,2006PHI
2644,Chris Webber,PF,75,38.6,2006PHI
2645,Andre Iguodala,SF,82,37.6,2006PHI
2646,Kyle Korver,SF,82,31.3,2006PHI
2647,Samuel Dalembert,C,66,26.7,2006PHI
2648,John Salmons,SG,82,25.1,2006PHI
2649,Steven Hunter,C,69,19.0,2006PHI
2650,Willie Green,SG,10,15.3,2006PHI
2651,Kevin Ollie,SG,70,15.3,2006PHI
2652,Matt Barnes,PF,50,10.8,2006PHI
2653,Lee Nailon,PF,22,10.8,2006PHI
2654,Shavlik Randolph,PF,57,8.5,2006PHI
2655,James Thomas,PF,15,8.3,2006PHI
2656,Michael Bradley,PF,46,8.0,2006PHI
2657,Lou Williams,PG,30,4.8,2006PHI
2658,Zendon Hamilton,C,1,3.0,2006PHI
2659,Deng Gai,C,2,2.5,2006PHI
2660,Team Totals,,82,242.7,2006PHI
2661,Richard Jefferson,SF,78,39.2,2006NJN
2662,Jason Kidd,PG,80,37.2,2006NJN
2663,Vince Carter,SG,79,36.8,2006NJN
2664,Nenad Krstić,PF,80,30.9,2006NJN
2665,Jason Collins,C,71,26.7,2006NJN
2666,Clifford Robinson,PF,80,23.3,2006NJN
2667,John Thomas,C,2,18.0,2006NJN
2668,Jeff McInnis,SG,28,17.4,2006NJN
2669,Derrick Zimmerman,PG,2,16.0,2006NJN
2670,Jacque Vaughn,SG,80,15.4,2006NJN
2671,Marc Jackson,C,37,11.7,2006NJN
2672,Scott Padgett,PF,62,11.6,2006NJN
2673,Zoran Planinić,PG,56,10.6,2006NJN
2674,Lamond Murray,SF,57,10.1,2006NJN
2675,Antoine Wright,SG,39,9.5,2006NJN
2676,Boštjan Nachbar,SF,11,8.8,2006NJN
2677,Linton Johnson,SF,9,3.9,2006NJN
2678,Team Totals,,82,241.2,2006NJN
2679,Jason Richardson,SG,75,38.4,2006GSW
2680,Baron Davis,PG,54,36.5,2006GSW
2681,Troy Murphy,PF,74,34.0,2006GSW
2682,Mike Dunleavy,SF,81,31.8,2006GSW
2683,Derek Fisher,PG,82,31.6,2006GSW
2684,Adonal Foyle,C,77,23.7,2006GSW
2685,Mickaël Piétrus,SF,52,22.7,2006GSW
2686,Monta Ellis,SG,49,18.1,2006GSW
2687,Ike Diogu,PF,69,14.9,2006GSW
2688,Andris Biedriņš,C,68,14.7,2006GSW
2689,Will Bynum,PG,15,10.8,2006GSW
2690,Calbert Cheaney,SF,42,10.7,2006GSW
2691,Chris Taft,C,17,8.5,2006GSW
2692,Žarko Čabarkapa,PF,61,8.3,2006GSW
2693,Aaron Miles,PG,19,6.2,2006GSW
2694,Team Totals,,82,241.8,2006GSW
2695,Ricky Davis,SG,42,41.6,2006BOS
2696,Paul Pierce,SF,79,39.0,2006BOS
2697,Wally Szczerbiak,SF,32,36.7,2006BOS
2698,Delonte West,PG,71,34.1,2006BOS
2699,Mark Blount,C,39,27.8,2006BOS
2700,Raef LaFrentz,PF,82,24.8,2006BOS
2701,Ryan Gomes,PF,61,22.6,2006BOS
2702,Kendrick Perkins,C,68,19.6,2006BOS
2703,Tony Allen,PG,51,19.2,2006BOS
2704,Al Jefferson,PF,59,18.0,2006BOS
2705,Orien Greene,PG,80,15.4,2006BOS
2706,Marcus Banks,PG,18,14.9,2006BOS
2707,Brian Scalabrine,PF,71,13.2,2006BOS
2708,Dan Dickau,PG,19,12.3,2006BOS
2709,Gerald Green,SG,32,11.7,2006BOS
2710,Michael Olowokandi,C,16,10.4,2006BOS
2711,Justin Reed,SF,32,9.1,2006BOS
2712,Dwayne Jones,PF,14,6.2,2006BOS
2713,Team Totals,,82,242.4,2006BOS
2714,Metta World Peace,SF,16,37.7,2006IND
2715,Peja Stojaković,SF,40,36.4,2006IND
2716,Stephen Jackson,SG,81,35.9,2006IND
2717,Jermaine O'Neal,PF,51,35.3,2006IND
2718,Fred Jones,SG,68,27.0,2006IND
2719,Jamaal Tinsley,PG,42,26.7,2006IND
2720,Anthony Johnson,PG,75,26.4,2006IND
2721,Jeff Foster,C,63,25.1,2006IND
2722,Austin Croshere,PF,50,23.0,2006IND
2723,Danny Granger,SF,78,22.6,2006IND
2724,Šarūnas Jasikevičius,PG,75,20.8,2006IND
2725,Scot Pollard,C,45,17.1,2006IND
2726,David Harrison,C,67,15.4,2006IND
2727,Jonathan Bender,SF,2,10.5,2006IND
2728,Samaki Walker,PF,7,3.1,2006IND
2729,Eddie Gill,PG,41,3.0,2006IND
2730,Team Totals,,82,240.6,2006IND
2731,Joe Johnson,SG,82,40.7,2006ATL
2732,Al Harrington,PF,76,36.6,2006ATL
2733,Josh Smith,SF,80,32.0,2006ATL
2734,Zaza Pachulia,C,78,31.4,2006ATL
2735,Josh Childress,SF,74,30.4,2006ATL
2736,Marvin Williams,PF,79,24.7,2006ATL
2737,Tyronn Lue,PG,51,24.2,2006ATL
2738,Salim Stoudamire,SG,61,20.3,2006ATL
2739,Royal Ivey,PG,73,13.4,2006ATL
2740,Anthony Grundy,SG,12,9.0,2006ATL
2741,Esteban Batista,PF,57,8.7,2006ATL
2742,John Edwards,C,40,7.4,2006ATL
2743,Tony Delk,SG,1,7.0,2006ATL
2744,John Thomas,C,11,6.0,2006ATL
2745,Donta Smith,SG,23,5.5,2006ATL
2746,Team Totals,,82,242.4,2006ATL
2747,Stephon Marbury,PG,60,36.6,2006NYK
2748,Jamal Crawford,SG,79,32.3,2006NYK
2749,Jalen Rose,SG,26,28.7,2006NYK
2750,Steve Francis,SG,24,27.5,2006NYK
2751,Quentin Richardson,SF,55,26.2,2006NYK
2752,Eddy Curry,C,72,25.9,2006NYK
2753,Channing Frye,C,65,24.2,2006NYK
2754,Nate Robinson,PG,72,21.4,2006NYK
2755,Antonio Davis,PF,36,20.8,2006NYK
2756,Qyntel Woods,SF,49,20.7,2006NYK
2757,Trevor Ariza,SF,36,19.7,2006NYK
2758,Maurice Taylor,PF,67,18.1,2006NYK
2759,Anfernee Hardaway,SF,4,18.0,2006NYK
2760,David Lee,SF,67,16.9,2006NYK
2761,Matt Barnes,SF,6,15.5,2006NYK
2762,Malik Rose,PF,72,15.5,2006NYK
2763,Ime Udoka,SF,8,14.3,2006NYK
2764,Jackie Butler,C,55,13.5,2006NYK
2765,Jerome James,C,45,9.0,2006NYK
2766,Team Totals,,82,243.0,2006NYK
2767,Chris Bosh,C,70,39.3,2006TOR
2768,Morris Peterson,SG,82,38.3,2006TOR
2769,Mike James,PG,79,37.0,2006TOR
2770,Charlie Villanueva,PF,81,29.1,2006TOR
2771,Jalen Rose,SF,46,26.9,2006TOR
2772,Antonio Davis,C,8,23.9,2006TOR
2773,José Calderón,SG,64,23.2,2006TOR
2774,Matt Bonner,PF,78,21.9,2006TOR
2775,Joey Graham,SF,80,19.8,2006TOR
2776,Andre Barrett,PG,17,15.4,2006TOR
2777,Pape Sow,C,42,14.0,2006TOR
2778,Eric Williams,SF,28,12.6,2006TOR
2779,Loren Woods,C,27,12.0,2006TOR
2780,Rafael Araújo,C,52,11.6,2006TOR
2781,Alvin Williams,PG,1,10.0,2006TOR
2782,Darrick Martin,PG,40,8.5,2006TOR
2783,Aaron Williams,C,14,7.1,2006TOR
2784,Team Totals,,82,243.4,2006TOR
2785,LeBron James,SF,79,42.5,2006CLE
2786,Ronald Murray,SG,28,36.7,2006CLE
2787,Larry Hughes,SG,36,35.6,2006CLE
2788,Zydrunas Ilgauskas,C,78,29.3,2006CLE
2789,Eric Snow,PG,82,28.7,2006CLE
2790,Drew Gooden,PF,79,27.5,2006CLE
2791,Donyell Marshall,PF,81,25.6,2006CLE
2792,Damon Jones,PG,82,25.5,2006CLE
2793,Anderson Varejão,C,48,15.8,2006CLE
2794,Sasha Pavlović,SG,53,15.3,2006CLE
2795,Alan Henderson,C,51,10.4,2006CLE
2796,Ira Newble,SG,36,9.8,2006CLE
2797,Stephen Graham,SG,13,9.0,2006CLE
2798,Luke Jackson,SF,36,8.8,2006CLE
2799,Mike Wilks,PG,37,6.6,2006CLE
2800,Zendon Hamilton,C,11,4.2,2006CLE
2801,Martynas Andriuškevičius,C,6,1.5,2006CLE
2802,Team Totals,,82,241.8,2006CLE
2803,Steve Francis,PG,46,37.7,2006ORL
2804,Dwight Howard,PF,82,36.8,2006ORL
2805,Hedo Türkoğlu,SF,78,33.5,2006ORL
2806,DeShawn Stevenson,SG,82,32.3,2006ORL
2807,Grant Hill,SF,21,29.2,2006ORL
2808,Jameer Nelson,PG,62,28.8,2006ORL
2809,Tony Battie,C,82,27.0,2006ORL
2810,Keyon Dooling,PG,50,22.7,2006ORL
2811,Carlos Arroyo,SG,27,22.0,2006ORL
2812,Darko Miličić,C,30,20.9,2006ORL
2813,Pat Garrity,PF,57,16.5,2006ORL
2814,Trevor Ariza,SF,21,13.8,2006ORL
2815,Kelvin Cato,C,23,13.0,2006ORL
2816,Bo Outlaw,PF,32,11.1,2006ORL
2817,Travis Diener,PG,23,10.7,2006ORL
2818,Stacey Augmon,SF,36,10.7,2006ORL
2819,Terence Morris,SF,22,8.7,2006ORL
2820,Mario Kasun,C,28,7.6,2006ORL
2821,Team Totals,,82,242.7,2006ORL
2822,Shawn Marion,PF,81,40.3,2006PHO
2823,Raja Bell,SG,79,37.5,2006PHO
2824,Boris Diaw,PF,81,35.5,2006PHO
2825,Steve Nash,PG,79,35.4,2006PHO
2826,Leandro Barbosa,SG,57,27.9,2006PHO
2827,Kurt Thomas,C,53,26.6,2006PHO
2828,Tim Thomas,PF,26,24.4,2006PHO
2829,James Jones,SF,75,23.6,2006PHO
2830,Eddie House,PG,81,17.5,2006PHO
2831,Amar'e Stoudemire,C,3,16.7,2006PHO
2832,Jim Jackson,SF,27,15.6,2006PHO
2833,Brian Grant,C,21,11.8,2006PHO
