,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
147,Petr Cornelie,13,38,.333,15.9,.467,.333,.067,.000,.067,.533,.571,.600,1.000,,.000,.125,1.000,1.000,.375,.000
609,Reggie Perry,10,187,.506,10.5,.797,.342,.266,.089,.101,.203,.587,.815,.333,.429,.625,.188,.676,1.000,.063,.000
151,Robert Covington,71,1939,.420,18.8,.319,.171,.108,.022,.018,.681,.509,.659,.333,.273,.444,.378,.654,.930,.198,.552
342,Rodney Hood,39,581,.351,19.9,.389,.099,.084,.084,.122,.611,.431,.846,.273,.455,.188,.300,.545,.917,.300,.333
259,Rudy Gay,55,1038,.414,17.4,.464,.142,.150,.111,.061,.536,.494,.778,.333,.405,.391,.345,.506,.929,.286,.379
285,Rui Hachimura,42,943,.491,14.7,.677,.197,.150,.160,.171,.323,.512,.840,.404,.393,.338,.447,.606,.982,.285,.429
171,Sam Dekker,1,1,,,,,,,,,,,,,,,,,,
486,Sandro Mamukelashvili,41,407,.496,13.3,.548,.409,.104,.026,.009,.452,.556,.638,.250,.667,.000,.423,.629,1.000,.250,.308
3,Santi Aldama,32,360,.402,12.0,.636,.333,.205,.091,.008,.364,.560,.682,.444,.417,.000,.125,.638,1.000,.229,.364
40,Scottie Barnes,74,2617,.492,10.9,.793,.264,.325,.116,.088,.207,.543,.711,.502,.398,.378,.301,.429,.845,.280,.370
190,Sekou Doumbouya,2,16,.625,8.9,.750,.500,.250,.000,.000,.250,.667,1.000,.000,,,.500,.500,1.000,.000,
581,Semi Ojeleye,30,406,.303,16.5,.495,.091,.263,.141,.000,.505,.306,.667,.269,.143,,.300,.733,.800,.320,.250
401,Stanley Johnson,48,1094,.466,13.7,.582,.243,.215,.088,.036,.418,.575,.738,.370,.682,.444,.314,.548,.939,.390,.244
634,Taurean Prince,69,1177,.454,17.2,.413,.174,.138,.062,.038,.587,.565,.676,.463,.625,.333,.376,.692,.942,.402,.446
735,Terry Taylor,33,714,.614,7.2,.827,.482,.282,.045,.018,.173,.676,.755,.565,.600,.500,.316,.667,.917,.658,.320
835,Thaddeus Young,52,845,.518,7.7,.824,.382,.393,.026,.022,.176,.554,.625,.523,.286,.167,.354,.524,1.000,.604,.483
303,Tobias Harris,73,2543,.482,11.7,.731,.250,.282,.156,.043,.269,.525,.699,.444,.428,.386,.367,.444,.891,.262,.361
482,Trey Lyles,75,1536,.466,12.8,.628,.292,.224,.077,.036,.372,.552,.671,.516,.279,.400,.321,.600,1.000,.239,.380
145,Tyler Cook,20,200,.605,2.2,1.000,.684,.316,.000,.000,.000,.605,.692,.417,,,,.783,,,
257,Usman Garuba,24,240,.432,12.6,.545,.500,.023,.023,.000,.455,.583,.636,.000,.000,,.250,.571,1.000,.250,.000
114,Vlatko Čančar,15,176,.561,10.6,.707,.390,.195,.098,.024,.293,.552,.750,.375,.250,.000,.583,.938,1.000,.417,.400
123,Wendell Carter Jr.,62,1852,.525,12.1,.687,.327,.202,.101,.057,.313,.615,.781,.457,.478,.462,.327,.609,1.000,.103,.364
245,Wenyen Gabriel,26,359,.491,8.5,.745,.473,.245,.018,.009,.255,.561,.692,.370,.000,.000,.286,.543,1.000,.571,.250
759,Xavier Tillman Sr.,53,701,.454,9.6,.773,.389,.245,.106,.032,.227,.527,.595,.472,.478,.286,.204,.670,.900,.286,.357
573,Zeke Nnaji,41,698,.516,13.1,.570,.355,.156,.005,.054,.430,.557,.727,.241,.000,.400,.463,.576,.946,.425,.500
