Player,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,% of FGA by Distance: 2P,% of FGA by Distance: 0-3ft,% of FGA by Distance: 3-10ft,% of FGA by Distance: 10-16ft,% of FGA by Distance: 16-3P,% of FGA by Distance: 3P,FG% by Distance: 2P,FG% by Distance: 0-3ft,FG% by Distance: 3-10ft,FG% by Distance: 10-16ft,FG% by Distance: 16-3P,FG% by Distance: 3P,% of FG Ast'd: 2P,% of FG Ast'd: 3P
Mike Scott,25,ATL,NBA,PF,80,1482,.479,12.8,.682,.293,.196,.091,.102,.318,.558,.712,.455,.368,.484,.310,.858,1.000
Jason Smith,27,NOP,NBA,PF,31,830,.465,14.0,1.000,.170,.092,.124,.613,.000,.465,.563,.385,.343,.474,,.847,
Jared Sullinger,21,BOS,NBA,PF,74,2041,.427,11.4,.769,.310,.245,.099,.115,.231,.475,.599,.377,.348,.456,.269,.473,1.000
Malcolm Thomas,25,TOT,NBA,PF,8,63,.438,11.0,.750,.375,.188,.000,.188,.250,.500,1.000,.000,,.000,.250,.333,1.000
Jason Thompson,27,SAC,NBA,PF,82,2007,.506,7.8,1.000,.335,.377,.097,.192,.000,.506,.699,.433,.313,.411,,.598,
Tristan Thompson,22,CLE,NBA,PF,82,2594,.477,5.5,.999,.435,.378,.139,.046,.001,.478,.580,.420,.349,.371,.000,.650,
Anthony Tolliver,28,CHA,NBA,PF,64,1298,.420,21.7,.195,.085,.036,.020,.055,.805,.450,.692,.182,.500,.235,.413,.741,1.000
Ekpe Udoh,26,MIL,NBA,PF,42,804,.399,6.9,1.000,.343,.371,.140,.147,.000,.399,.469,.321,.650,.190,,.737,
Jarvis Varnado,25,TOT,NBA,PF,24,339,.600,6.8,1.000,.467,.183,.217,.133,.000,.600,.714,.364,.462,.750,,.806,
Jan Veselý,23,TOT,NBA,PF,54,776,.514,4.0,1.000,.624,.283,.035,.058,.000,.514,.639,.347,.000,.300,,.730,
Charlie Villanueva,29,DET,NBA,PF,20,180,.380,17.8,.391,.163,.152,.054,.022,.609,.583,.800,.500,.400,.000,.250,.667,1.000
David West,33,IND,NBA,PF,80,2472,.488,10.6,.984,.201,.294,.178,.311,.016,.491,.614,.435,.395,.521,.267,.665,1.000
D.J. White,27,CHA,NBA,PF,2,10,.000,15.8,1.000,.000,.000,1.000,.000,.000,.000,,,.000,,,,
Royce White,22,SAC,NBA,PF,3,9,.000,14.1,1.000,.000,.000,1.000,.000,.000,.000,,,.000,,,,
Derrick Williams,22,TOT,NBA,"PF,SF",78,1820,.427,10.8,.795,.334,.224,.100,.135,.205,.470,.658,.333,.354,.323,.263,.600,.846
Marvin Williams,27,UTA,NBA,PF,66,1674,.439,16.6,.555,.194,.122,.061,.179,.445,.503,.725,.406,.344,.383,.359,.605,.988
Shawne Williams,27,LAL,NBA,PF,36,751,.380,19.4,.328,.151,.042,.016,.120,.672,.492,.483,.250,.667,.565,.326,.742,.952
Thaddeus Young,25,PHI,NBA,PF,79,2718,.454,10.3,.772,.377,.223,.060,.112,.228,.496,.645,.374,.338,.326,.308,.559,.922
