,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
95,Paul George,LAC,6,2,4,37.1,19.5,66.5,31.7,4.4,3.99,3.51,0.293,1.2,1.0,1.0,0.286,0.667,1.167,9.3,1.3,3.2,42.1,0.7,0.7,100.0,37.5,4.8,51.8,1.0,10.7,0.8,8.9,0.3,3.6,3.5,42.1,5.7,42.9,7.0,36.2,1.2,100.0,0.7,100.0,0.3,25.0,50.5
96,Paul Reed,PHI,6,2,4,7.2,1.5,10.2,6.2,0.3,1.68,0.75,0.148,0.2,0.0,2.3,0.0,0.0,0.643,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,66.7,0.0,0.0,0.0,0.0,44.4
97,Precious Achiuwa,NYK,9,4,5,20.5,5.2,19.2,12.2,0.6,2.0,1.23,0.272,1.0,0.0,4.8,0.556,0.0,0.698,0.8,0.1,0.4,25.0,0.0,0.4,0.0,28.6,0.1,14.3,0.0,0.0,0.0,0.0,0.2,28.6,0.2,25.0,0.0,0.0,0.0,0.0,3.3,65.0,0.0,0.0,0.6,50.0,48.8
98,Royce O'Neale,PHX,4,0,4,26.1,5.0,48.3,17.8,1.4,1.77,0.87,0.104,0.5,0.0,0.3,0.0,0.0,0.0,1.8,0.3,1.0,25.0,0.0,0.0,0.0,28.6,0.5,28.6,0.0,0.0,0.3,14.3,0.0,0.0,0.5,25.0,4.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5
99,Rui Hachimura,LAL,5,1,4,30.5,7.8,27.4,13.2,0.8,1.66,0.75,0.285,0.6,0.6,1.8,0.667,1.333,0.556,2.6,0.4,1.4,28.6,0.0,0.0,0.0,30.8,1.0,38.5,0.0,0.0,0.2,7.7,0.0,0.0,0.8,28.6,3.4,40.0,0.0,0.0,1.0,20.0,0.8,66.7,0.4,100.0,46.1
100,Sam Hauser,BOS,19,16,3,14.9,5.4,15.3,9.1,0.3,1.37,0.43,0.354,0.2,0.0,0.4,0.667,0.0,0.5,0.6,0.3,0.4,71.4,0.0,0.0,0.0,83.3,0.2,33.3,0.1,8.3,0.1,8.3,0.0,0.0,0.5,71.4,3.6,37.1,1.2,52.9,0.2,66.7,0.0,0.0,0.1,100.0,58.9
101,Shake Milton,NYK,4,1,3,5.5,1.3,10.3,3.3,1.2,6.75,5.66,0.122,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,1.0,0.0,0.3,0.5,50.0,14.3,0.5,28.6,0.0,0.0,0.0,0.0,0.3,14.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Svi Mykhailiuk,BOS,8,6,2,4.0,1.0,5.4,3.3,0.2,2.37,1.28,0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.4,33.3,0.0,0.0,0.0,33.3,0.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,33.3,0.4,16.7,0.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3
103,T.J. Warren,MIN,3,2,1,3.7,0.0,4.0,3.3,0.1,1.49,0.66,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Taurean Prince,LAL,5,1,4,22.2,7.4,19.6,11.4,0.6,1.8,0.89,0.378,0.4,0.0,0.6,2.0,0.0,2.333,3.6,0.8,1.6,50.0,0.4,0.4,100.0,55.6,1.6,44.4,0.4,11.1,0.2,5.6,0.2,5.6,2.0,50.0,2.2,36.4,1.2,25.0,1.4,100.0,0.0,0.0,0.8,100.0,50.0
