,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
156,Earl Watson,73,4.3,9.6,1.9,0.6,2.3,6.8,0.9,0.1,2.2,2.0
494,Eddie Gill,1,0.9,2.2,0.6,0.1,1.5,1.6,0.5,0.1,0.6,1.3
256,Eddie House,2,2.8,6.8,0.5,0.2,1.9,1.9,0.8,0.1,1.0,1.5
444,Eddie Jones,33,1.4,3.8,0.3,0.4,2.4,1.5,0.6,0.2,0.6,1.5
97,Eddy Curry,58,5.0,9.2,5.1,1.9,2.8,0.5,0.2,0.5,2.1,2.7
309,Eduardo Nájera,3,2.2,4.7,1.1,1.4,2.9,1.2,0.9,0.5,0.8,2.6
53,Elton Brand,6,6.5,14.3,5.9,2.6,5.4,2.0,0.4,1.9,2.1,2.6
88,Emeka Okafor,82,5.6,10.5,4.6,3.1,7.6,0.9,0.8,1.7,2.0,2.9
510,Eric Piatkowski,0,0.8,2.1,0.3,0.1,0.7,0.6,0.0,0.1,0.4,0.7
600,Eric Snow,5,0.3,1.7,1.0,0.2,0.7,1.9,0.5,0.2,0.5,1.4
302,Erick Dampier,64,2.5,3.8,2.0,2.9,4.6,0.9,0.3,1.5,1.1,3.1
382,Fabricio Oberto,64,2.2,3.6,0.7,1.9,3.4,1.2,0.5,0.2,0.6,2.5
466,Francisco Elson,5,1.5,3.7,0.6,0.8,2.4,0.4,0.2,0.3,0.7,1.5
116,Francisco García,20,4.4,9.5,2.6,0.7,2.7,1.6,1.2,0.6,1.6,2.9
249,Fred Jones,26,2.6,6.2,1.8,0.4,2.0,2.4,0.7,0.3,1.1,2.0
526,Gabe Pruitt,0,0.9,2.6,0.1,0.1,0.5,0.9,0.3,0.0,0.3,0.7
359,Gerald Green,0,1.7,5.0,1.4,0.4,1.7,1.0,0.3,0.1,1.1,1.5
39,Gerald Wallace,59,6.6,14.6,6.9,0.9,5.1,3.5,2.1,0.9,2.9,3.0
38,Gilbert Arenas,8,6.0,15.1,7.4,0.5,3.5,5.1,1.8,0.1,3.8,2.3
394,Glen Davis,1,1.6,3.2,2.2,1.4,1.6,0.4,0.4,0.3,0.9,2.3
311,Gordan Giriček,0,2.4,5.4,0.5,0.3,1.4,1.1,0.4,0.1,0.9,1.5
103,Grant Hill,68,5.1,10.2,2.8,1.1,4.0,2.9,0.9,0.8,1.4,2.2
416,Greg Buckner,4,1.5,3.8,0.7,0.3,1.8,1.3,0.7,0.1,0.9,2.0
616,Guillermo Díaz,0,0.2,0.7,0.8,0.3,0.0,0.2,0.0,0.0,0.0,0.0
140,Hakim Warrick,30,4.4,8.7,3.5,1.6,3.1,0.7,0.5,0.4,1.1,2.1
37,Hedo Türkoğlu,82,6.8,14.9,4.8,1.0,4.7,5.0,0.9,0.3,3.0,3.0
497,Hilton Armstrong,3,1.0,2.3,1.1,1.0,1.5,0.4,0.2,0.5,0.9,2.0
456,Ian Mahinmi,0,1.0,2.0,1.5,0.0,0.8,0.2,0.0,0.7,0.3,0.7
333,Ike Diogu,1,2.1,4.5,1.6,1.3,1.6,0.3,0.2,0.1,0.7,1.4
324,Ime Udoka,0,2.2,5.1,0.8,0.5,2.6,0.9,0.8,0.2,0.8,1.7
432,Ira Newble,13,1.6,3.6,0.5,1.0,1.6,0.4,0.6,0.2,0.7,1.4
401,J.J. Barea,9,1.6,3.9,0.8,0.1,1.0,1.3,0.3,0.0,0.8,1.1
117,J.R. Smith,0,4.2,9.1,2.4,0.6,1.5,1.7,0.8,0.2,1.5,1.9
410,JJ Redick,0,1.4,3.2,1.0,0.0,0.6,0.5,0.1,0.0,0.4,0.9
412,Jacque Vaughn,9,1.6,3.8,1.1,0.2,0.8,2.1,0.3,0.0,0.7,1.3
521,Jake Voskuhl,0,0.8,1.8,0.7,0.7,1.5,0.3,0.2,0.5,0.7,1.9
550,Jamaal Magloire,2,0.6,1.8,1.4,0.6,2.3,0.2,0.0,0.3,1.0,1.6
130,Jamaal Tinsley,36,4.5,11.9,2.6,0.6,3.0,8.4,1.7,0.3,3.3,2.5
24,Jamal Crawford,80,7.1,17.4,4.8,0.5,2.1,5.0,1.0,0.2,2.4,1.8
210,Jamario Moon,75,3.6,7.4,1.1,1.2,5.0,1.2,1.0,1.4,0.7,1.9
150,Jameer Nelson,62,4.1,8.7,2.2,0.4,3.1,5.6,0.9,0.1,2.0,2.4
568,James Augustine,0,0.7,1.4,0.3,0.6,0.6,0.1,0.2,0.1,0.2,0.7
232,James Jones,3,2.5,5.6,1.7,0.7,2.0,0.6,0.4,0.3,0.5,1.7
259,James Posey,2,2.3,5.6,1.6,0.4,3.9,1.5,1.0,0.3,0.9,2.5
228,Jannero Pargo,5,3.2,8.2,1.0,0.3,1.3,2.4,0.6,0.1,1.2,1.5
322,Jared Dudley,14,2.2,4.8,1.6,1.7,2.3,1.1,0.8,0.1,0.7,1.8
443,Jared Jeffries,19,1.5,3.7,1.3,1.6,1.7,0.9,0.5,0.3,0.9,1.8
175,Jarrett Jack,16,3.3,7.6,3.0,0.4,2.5,3.8,0.7,0.0,2.2,1.6
559,Jarron Collins,9,0.5,1.2,1.1,0.6,1.1,0.5,0.1,0.1,0.3,1.5
277,Jarvis Hayes,1,2.6,6.1,0.7,0.4,1.7,0.8,0.6,0.1,0.6,1.7
540,Jason Collins,26,0.7,1.5,1.0,0.9,1.5,0.3,0.3,0.3,0.6,2.6
487,Jason Hart,0,1.0,3.2,0.8,0.1,0.9,1.5,0.5,0.1,0.5,1.3
264,Jason Kapono,7,3.0,6.1,0.5,0.4,1.1,0.8,0.4,0.0,0.7,1.6
151,Jason Kidd,80,3.8,9.9,2.1,1.2,6.3,10.1,1.7,0.3,3.3,2.1
235,Jason Maxiell,7,2.9,5.4,3.3,2.2,3.1,0.6,0.3,1.1,0.9,2.2
14,Jason Richardson,82,7.9,17.9,4.0,1.0,4.4,3.1,1.4,0.7,2.0,2.9
396,Jason Smith,1,1.9,4.1,1.1,1.0,2.0,0.3,0.3,0.7,0.6,1.9
68,Jason Terry,34,5.7,12.3,2.7,0.4,2.2,3.2,1.1,0.2,1.1,2.1
204,Jason Williams,53,3.1,8.2,1.2,0.2,1.8,4.6,1.2,0.1,1.4,1.4
327,Javaris Crittenton,0,2.0,4.7,2.1,0.5,1.7,1.0,0.4,0.0,1.1,0.9
289,Jeff Foster,52,2.7,4.8,1.9,3.4,5.2,1.7,0.7,0.4,0.8,2.9
