,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
14,Carlos Boozer,CHI,5,1,4,24.2,9.6,33.0,22.6,0.9,1.68,0.5,0.291,4.8,3.0,4.0,0.5,0.667,0.4,2.2,0.8,1.8,44.4,0.0,0.0,0.0,72.7,0.2,9.1,0.0,0.0,0.2,9.1,0.0,0.0,1.6,44.4,3.2,42.1,1.6,40.0,1.6,25.0,2.0,50.0,2.4,46.2,42.6
15,Caron Butler,OKC,18,10,8,23.3,6.3,21.9,15.6,0.8,2.19,0.83,0.287,0.4,0.8,0.6,0.5,0.333,0.364,1.3,0.3,0.6,45.5,0.2,0.3,66.7,60.9,0.3,21.7,0.0,0.0,0.2,17.4,0.2,13.0,0.8,45.5,3.6,37.3,0.6,15.2,0.2,40.0,0.3,25.0,0.2,66.7,42.1
16,Cartier Martin,ATL,3,1,2,4.9,1.3,6.7,4.7,0.2,1.79,0.9,0.2,0.3,0.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,100.0,0.0,0.0,0.0,0.0,0.7,100.0,66.7
17,Chandler Parsons,HOU,6,2,4,41.7,19.3,62.7,44.7,2.6,2.45,1.52,0.309,1.3,0.3,2.2,0.5,0.0,1.0,9.5,1.8,5.5,33.3,1.0,1.7,60.0,49.1,2.7,28.1,0.3,3.5,0.2,1.8,0.8,8.8,4.7,33.3,5.3,36.7,2.8,38.9,2.2,75.0,0.0,0.0,0.7,40.0,50.0
18,Chris Andersen,MIA,18,12,6,17.6,5.1,17.5,7.4,0.4,1.35,0.14,0.292,0.7,0.2,3.8,0.615,0.5,0.897,0.2,0.1,0.1,50.0,0.1,0.1,50.0,75.0,0.1,25.0,0.0,0.0,0.0,0.0,0.1,25.0,0.2,50.0,0.0,0.0,0.0,0.0,3.4,62.2,0.1,0.0,0.4,100.0,57.9
19,Chris Bosh,MIA,20,13,7,34.3,14.9,46.6,31.0,1.3,1.65,0.46,0.32,2.8,1.1,3.2,0.571,0.591,0.921,2.8,1.1,1.5,70.0,0.4,0.6,66.7,92.7,0.6,21.8,0.1,3.6,0.2,7.3,0.3,10.9,2.6,70.0,7.0,44.4,1.4,41.9,2.9,65.7,0.7,42.9,1.6,47.6,57.2
20,Chris Copeland,IND,12,6,6,6.8,3.0,6.9,4.9,0.2,2.02,0.76,0.434,0.1,0.4,0.2,0.0,0.4,1.0,1.0,0.3,0.6,57.1,0.1,0.2,50.0,91.7,0.1,8.3,0.0,0.0,0.3,25.0,0.1,8.3,0.9,57.1,1.5,40.0,0.2,50.0,0.2,0.0,0.2,50.0,0.0,0.0,53.6
21,Chuck Hayes,TOR,5,2,3,7.5,1.2,10.8,5.2,0.3,1.46,0.56,0.111,1.2,0.2,2.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,100.0,0.4,20.0,0.0,0.0,0.0,0.0,25.0
22,Cody Zeller,CHA,4,0,4,13.2,2.0,14.8,7.8,0.4,1.63,0.7,0.136,0.3,0.0,3.8,0.0,0.0,0.467,0.8,0.0,0.3,0.0,0.3,0.5,50.0,33.3,0.0,0.0,0.3,33.3,0.0,0.0,0.3,33.3,0.3,0.0,0.0,0.0,0.0,0.0,1.8,37.5,0.0,0.0,0.0,0.0,33.3
23,DJ White,CHA,1,0,1,2.6,0.0,2.0,0.0,0.1,3.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Danny Granger,LAC,13,6,7,10.3,2.6,9.0,5.8,0.3,1.75,0.79,0.291,0.2,0.8,0.3,1.0,0.364,0.5,0.5,0.1,0.3,25.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.1,16.7,0.0,0.0,0.2,25.0,1.2,22.7,0.3,28.6,0.2,100.0,0.3,16.7,0.2,100.0,33.8
25,Danny Green,SAS,23,16,7,23.0,9.3,32.7,22.0,1.0,1.87,0.94,0.283,0.2,0.0,0.4,0.4,0.0,0.6,1.9,0.5,1.0,47.8,0.1,0.1,100.0,54.5,0.5,27.3,0.3,13.6,0.0,2.3,0.0,2.3,1.0,47.8,5.3,51.9,2.3,44.2,0.3,60.0,0.0,0.0,0.1,0.0,64.2
26,David Lee,GSW,7,3,4,31.1,13.9,49.4,29.1,1.3,1.57,0.44,0.28,4.0,1.6,10.7,0.607,0.545,0.813,1.6,0.3,0.9,33.3,0.7,0.9,83.3,81.8,0.0,0.0,0.1,9.1,0.1,9.1,0.4,27.3,1.3,33.3,0.0,0.0,0.3,50.0,8.7,57.8,0.9,50.0,2.4,53.8,53.2
27,David West,IND,19,10,9,36.2,15.1,71.4,43.2,2.2,1.87,0.53,0.211,5.6,4.4,4.3,0.575,0.583,0.704,3.9,0.9,2.3,40.9,0.3,0.4,62.5,54.7,0.6,16.0,0.3,8.0,0.3,8.0,0.2,5.3,2.2,40.9,5.5,53.7,1.6,31.3,3.0,57.1,2.6,63.3,3.2,62.8,49.8
28,DeJuan Blair,DAL,6,3,3,13.4,6.7,22.3,11.0,0.5,1.43,0.47,0.299,3.5,0.2,5.0,0.667,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,33.3,0.7,100.0,3.3,46.2,0.0,0.0,2.3,75.0,59.3
29,DeMarre Carroll,ATL,7,3,4,35.1,8.9,41.6,29.6,1.6,2.29,1.11,0.213,1.1,0.0,1.7,0.875,0.0,1.0,2.0,0.3,1.0,28.6,0.1,0.3,50.0,35.7,0.6,28.6,0.1,7.1,0.1,7.1,0.1,7.1,0.7,28.6,3.7,42.9,1.0,30.0,1.7,71.4,0.0,0.0,1.0,66.7,56.1
30,Dirk Nowitzki,DAL,7,3,4,37.5,19.1,65.3,40.3,2.2,2.06,0.7,0.293,3.4,10.3,1.9,0.458,0.514,1.077,1.6,0.9,1.1,75.0,0.0,0.0,0.0,109.1,0.4,27.3,0.0,0.0,0.0,0.0,0.0,0.0,1.7,75.0,5.1,36.0,7.9,48.2,2.0,62.5,5.3,33.3,1.6,44.4,43.3
31,Dorell Wright,POR,8,4,4,10.9,3.6,14.0,7.1,0.5,2.01,0.84,0.259,0.0,0.1,0.4,0.0,0.0,1.333,0.9,0.0,0.3,0.0,0.1,0.3,50.0,14.3,0.4,42.9,0.1,14.3,0.0,0.0,0.1,14.3,0.1,0.0,1.1,25.0,0.6,66.7,0.5,100.0,0.0,0.0,0.0,0.0,47.4
32,Draymond Green,GSW,7,3,4,32.5,11.9,58.7,28.6,1.6,1.68,0.58,0.202,3.4,2.0,5.7,0.417,0.429,0.825,1.7,0.0,0.3,0.0,0.3,0.3,100.0,16.7,1.0,58.3,0.0,0.0,0.3,16.7,0.1,8.3,0.3,0.0,4.3,36.7,0.3,14.3,4.7,73.3,0.9,75.0,1.4,75.0,53.3
33,Drew Gooden,WAS,10,5,5,14.6,3.4,19.5,10.4,0.5,1.53,0.37,0.174,1.3,0.1,3.1,0.077,0.0,0.516,0.6,0.1,0.3,33.3,0.0,0.0,0.0,33.3,0.2,33.3,0.1,16.7,0.0,0.0,0.0,0.0,0.2,33.3,1.2,33.3,0.0,0.0,1.6,35.3,0.0,0.0,0.1,0.0,36.8
34,Dwight Howard,HOU,6,2,4,38.6,26.0,73.7,45.8,2.9,2.34,0.86,0.353,2.7,23.3,11.5,0.125,0.636,1.014,0.8,0.3,0.3,100.0,0.3,0.3,100.0,120.0,0.2,20.0,0.0,0.0,0.2,20.0,0.2,20.0,1.0,100.0,0.0,0.0,0.0,0.0,11.7,62.8,14.8,52.2,0.3,33.3,54.7
35,Ed Davis,MEM,7,3,4,3.6,0.9,6.6,3.7,0.2,1.5,0.52,0.13,0.3,0.6,2.0,0.0,0.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,33.3,0.0,0.0,0.0,0.0,30.0
36,Elton Brand,ATL,7,3,4,11.6,1.1,17.6,10.1,0.4,1.34,0.4,0.065,1.4,0.0,1.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,11.1,0.0,0.0,0.9,33.3,0.0,0.0,0.0,0.0,16.7
37,Evan Turner,IND,12,6,6,12.4,3.3,18.4,11.3,1.1,3.68,2.89,0.176,0.4,0.3,0.3,0.4,1.0,0.667,2.9,0.1,0.8,10.0,0.2,0.2,100.0,14.3,1.4,48.6,0.3,8.6,0.2,5.7,0.1,2.9,0.4,10.0,1.0,50.0,1.0,35.3,0.2,50.0,0.3,100.0,0.2,33.3,48.6
38,Francisco Garcia,HOU,2,0,2,11.2,3.5,8.0,6.5,0.3,2.3,1.06,0.438,0.0,0.0,0.5,0.0,0.0,1.0,2.0,1.0,1.0,100.0,1.0,1.0,100.0,150.0,0.5,25.0,0.0,0.0,0.0,0.0,0.5,25.0,3.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,33.3
39,Glen Davis,LAC,13,6,7,12.2,3.8,15.5,9.4,0.4,1.58,0.52,0.248,0.9,0.8,1.8,0.5,1.2,0.417,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,72.7,0.3,40.0,0.8,62.5,0.9,85.7,0.5,75.0,61.0
40,Harrison Barnes,GSW,7,3,4,22.2,7.9,24.4,14.3,0.9,2.22,1.28,0.322,1.1,1.1,1.3,0.25,0.625,0.667,2.1,0.4,1.1,37.5,0.0,0.0,0.0,40.0,0.4,20.0,0.1,6.7,0.1,6.7,0.0,0.0,0.9,37.5,3.7,39.1,1.1,50.0,0.9,28.6,0.7,33.3,0.3,50.0,47.9
41,Hedo Turkoglu,LAC,5,3,2,8.1,3.2,16.0,7.6,0.4,1.6,0.27,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,100.0,0.0,0.0,0.0,100.0,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,100.0,1.8,30.0,1.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5
42,Hilton Armstrong,GSW,7,3,4,2.4,1.1,3.6,2.7,0.1,1.81,0.44,0.32,0.4,0.6,1.4,0.0,1.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,50.0,0.9,100.0,0.0,0.0,50.0
43,Jae Crowder,DAL,7,3,4,11.6,2.7,14.1,6.0,0.3,1.41,0.63,0.192,0.4,0.0,0.9,1.333,0.0,0.333,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,22.2,0.4,50.0,0.3,50.0,0.0,0.0,0.6,100.0,52.8
44,James Johnson,MEM,3,0,3,9.3,6.3,15.0,11.0,0.8,3.05,2.65,0.422,0.7,0.3,1.7,1.0,2.0,1.4,3.3,0.0,1.0,0.0,1.3,2.0,66.7,40.0,1.3,40.0,0.0,0.0,0.0,0.0,1.0,30.0,1.3,0.0,1.0,25.0,1.0,50.0,2.3,100.0,0.7,100.0,0.7,100.0,40.0
45,James Jones,MIA,15,10,5,8.4,3.5,10.1,6.3,0.2,1.24,0.17,0.349,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.1,50.0,0.0,0.0,0.0,66.7,0.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,2.9,45.5,0.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,63.8
46,Jared Dudley,LAC,7,2,5,6.4,1.3,9.1,4.7,0.2,1.33,0.25,0.141,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9
47,Jeff Ayres,SAS,17,12,5,3.8,1.0,7.3,4.1,0.2,1.74,0.46,0.137,0.5,0.2,0.6,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,33.3,0.0,0.0,0.6,100.0,0.0,0.0,0.1,33.3,46.2
48,Jermaine O'Neal,GSW,7,3,4,12.0,6.0,16.1,9.0,0.4,1.67,0.43,0.372,0.7,1.1,4.7,0.0,0.375,0.727,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,100.0,0.0,0.0,3.4,61.1,0.4,16.7,0.0,0.0,56.3
49,Jimmy Butler,CHI,5,1,4,43.5,13.6,50.6,40.4,2.3,2.76,1.82,0.269,1.0,0.2,2.2,0.8,0.0,0.545,7.0,1.0,2.0,50.0,1.8,2.4,75.0,54.3,2.6,37.1,1.0,14.3,0.2,2.9,1.2,17.1,3.8,50.0,3.0,25.0,3.0,31.8,1.2,75.0,0.0,0.0,0.8,50.0,43.9
50,Joel Freeland,POR,9,3,6,2.7,0.1,3.0,1.7,0.1,1.95,0.59,0.037,0.1,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,John Salmons,TOR,6,2,4,12.8,2.2,13.8,11.5,0.5,1.98,1.19,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,33.3,0.0,0.0,0.2,33.3,0.0,0.0,0.0,0.0,1.0,15.4,0.7,66.7,0.0,0.0,0.0,0.0,0.0,0.0,35.3
52,Jon Leuer,MEM,3,0,3,7.5,3.0,12.7,6.3,0.3,1.53,0.42,0.237,0.7,0.0,1.3,1.0,0.0,1.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,1.3,50.0,0.0,0.0,0.7,50.0,50.0
53,Josh McRoberts,CHA,4,0,4,38.5,11.5,90.3,44.0,2.3,1.52,0.69,0.127,1.0,0.0,1.5,0.5,0.0,0.667,5.5,0.5,1.8,28.6,1.0,1.5,66.7,36.4,1.3,22.7,1.5,27.3,0.3,4.5,0.8,13.6,2.0,28.6,6.5,50.0,0.0,0.0,1.0,66.7,0.0,0.0,0.5,50.0,57.6
54,Kawhi Leonard,SAS,23,16,7,32.0,14.3,41.7,28.0,1.8,2.58,1.92,0.342,1.1,1.8,2.1,0.577,0.571,0.542,5.0,1.1,2.3,48.1,0.8,1.1,73.1,63.2,1.5,30.7,0.2,4.4,0.3,5.3,0.6,11.4,3.1,48.1,4.1,44.6,2.8,41.9,1.1,44.0,1.0,48.0,0.7,70.0,57.5
55,Kevin Durant,OKC,19,10,9,42.9,29.6,70.7,46.1,3.5,2.94,1.94,0.419,2.8,3.5,2.0,0.623,0.672,1.105,8.5,2.3,4.6,50.6,1.3,1.9,69.4,70.8,1.8,21.1,0.4,5.0,0.4,4.3,1.0,11.8,6.0,50.6,7.7,43.8,7.3,37.8,2.2,63.3,2.4,45.9,1.7,43.3,51.1
56,Kevin Garnett,BKN,12,5,7,20.8,6.9,36.8,21.5,0.9,1.43,0.23,0.188,6.3,0.8,5.6,0.158,1.2,0.746,0.2,0.1,0.1,100.0,0.1,0.2,50.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.3,100.0,1.5,47.4,0.8,38.5,4.2,66.7,1.0,75.0,1.0,62.5,52.4
57,Kyle Korver,ATL,7,3,4,35.7,13.4,41.7,30.6,1.0,1.44,0.52,0.322,0.3,0.1,0.4,0.0,0.0,0.667,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,33.3,0.0,0.0,0.3,66.7,0.0,0.0,0.0,0.0,8.6,42.9,2.7,46.7,0.3,100.0,0.0,0.0,0.0,0.0,62.9
58,LaMarcus Aldridge,POR,11,5,6,40.1,26.2,67.3,43.5,2.4,2.14,0.9,0.389,4.2,12.5,7.2,0.587,0.708,0.975,3.0,0.8,1.9,42.9,0.9,1.3,71.4,84.8,0.3,9.1,0.0,0.0,0.0,0.0,0.6,21.2,2.5,42.9,4.5,37.5,6.6,45.0,7.0,65.4,8.8,42.5,2.5,47.6,45.6
59,Landry Fields,TOR,3,1,2,8.5,0.0,9.7,5.0,0.3,1.72,1.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Lavoy Allen,IND,4,2,2,3.8,1.0,5.8,2.3,0.1,1.35,0.09,0.174,0.0,0.8,0.8,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,50.0,0.0,0.0,0.5,50.0,0.0,0.0,0.0,0.0,50.0
61,LeBron James,MIA,20,13,7,38.2,27.4,78.5,43.3,6.1,4.65,3.61,0.349,3.8,5.7,3.0,0.566,0.558,1.35,10.2,2.4,4.0,59.5,1.9,2.3,82.6,67.2,3.1,30.4,1.0,9.3,0.6,5.9,1.2,11.3,6.9,59.5,3.5,39.4,5.8,43.1,4.1,85.0,3.2,62.9,2.2,73.9,61.6
62,Luis Scola,IND,18,9,9,13.5,6.1,22.9,13.6,0.6,1.44,0.38,0.266,1.4,0.7,1.7,0.769,0.667,0.774,0.8,0.3,0.6,54.5,0.0,0.1,0.0,80.0,0.2,20.0,0.0,0.0,0.0,0.0,0.1,6.7,0.7,54.5,2.2,35.8,0.1,16.7,1.3,52.2,0.4,66.7,1.1,75.0,46.2
63,Marreese Speights,GSW,7,3,4,9.7,6.3,14.9,10.3,0.4,1.52,0.46,0.423,1.3,0.6,3.0,0.667,0.0,1.0,0.9,0.3,0.6,50.0,0.1,0.3,50.0,83.3,0.1,16.7,0.0,0.0,0.0,0.0,0.1,16.7,0.7,50.0,0.9,33.3,0.3,33.3,3.0,69.2,0.0,0.0,0.9,75.0,52.8
64,Martell Webster,WAS,11,6,5,17.8,3.8,16.5,12.2,0.6,2.03,1.05,0.232,0.2,0.4,0.5,2.0,0.5,1.0,0.8,0.0,0.1,0.0,0.2,0.2,100.0,22.2,0.4,44.4,0.2,22.2,0.1,11.1,0.1,11.1,0.2,0.0,1.8,30.4,0.7,44.4,0.5,50.0,0.2,0.0,0.4,100.0,43.9
65,Mason Plumlee,BKN,10,5,5,11.4,2.2,14.9,9.3,0.5,1.87,0.54,0.148,2.3,0.3,2.9,0.087,0.0,0.552,0.9,0.1,0.2,50.0,0.0,0.0,0.0,22.2,0.6,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,50.0,0.0,0.0,0.0,0.0,1.6,50.0,0.0,0.0,0.2,0.0,43.8
66,Matt Barnes,LAC,13,6,7,31.1,9.4,46.2,29.8,1.2,1.51,0.37,0.203,0.8,0.9,2.5,0.545,0.833,0.531,1.9,0.5,0.8,54.5,0.0,0.2,0.0,48.0,0.7,36.0,0.1,4.0,0.2,8.0,0.2,8.0,0.9,54.5,4.2,32.2,1.3,58.3,1.3,50.0,0.8,80.0,0.5,100.0,50.9
67,Matt Bonner,SAS,22,15,7,6.2,1.2,8.0,5.3,0.2,1.71,0.73,0.154,0.2,0.0,0.3,0.4,2.0,0.333,1.0,0.1,0.1,66.7,0.0,0.0,0.0,18.2,0.5,50.0,0.3,31.8,0.0,4.5,0.0,0.0,0.2,66.7,0.7,37.5,0.0,0.0,0.1,100.0,0.1,100.0,0.1,100.0,57.1
68,Michael Beasley,MIA,4,1,3,5.8,2.8,6.8,4.0,0.2,1.88,0.78,0.407,0.8,1.0,0.8,0.667,1.75,0.667,0.8,0.3,0.8,33.3,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,33.3,0.0,0.0,0.0,0.0,0.5,33.3,1.8,100.0,0.5,50.0,50.0
