,Player,G,MP,FTr,USG%
245,Shawn Kemp,79,1633,.307,18.5
276,Shawn Marion,81,3373,.201,23.3
349,Smush Parker,66,1103,.349,20.6
397,Soumaila Samake,13,77,.083,15.5
91,Speedy Claxton,30,471,.393,20.2
21,Stacey Augmon,70,862,.375,13.9
295,Stanislav Medvedenko,58,620,.167,22.5
224,Stephen Jackson,80,2254,.224,22.1
275,Stephon Marbury,81,3240,.305,27.7
148,Steve Francis,81,3318,.454,26.1
246,Steve Kerr,75,952,.133,14.9
325,Steve Nash,82,2711,.304,24.4
416,Steve Smith,53,1032,.392,17.3
213,Steven Hunter,33,447,.427,13.7
433,Stromile Swift,67,1478,.501,21.2
413,Tamar Slay,36,274,.097,21.0
0,Tariq Abdul-Wahad,14,204,.103,15.0
369,Tayshaun Prince,42,435,.144,16.2
314,Terence Morris,49,632,.080,15.4
374,Theo Ratliff,81,2518,.360,15.0
64,Tierre Brown,15,168,.237,22.5
128,Tim Duncan,81,3181,.455,28.0
179,Tim Hardaway,10,127,.082,22.0
442,Tim Thomas,80,2358,.200,22.6
268,Tito Maddox,9,35,.667,24.4
267,Todd MacCulloch,42,812,.332,17.0
172,Tom Gugliotta,27,447,.068,16.8
252,Toni Kukoč,63,1704,.336,21.4
30,Tony Battie,67,1683,.320,12.9
116,Tony Delk,67,1873,.155,16.6
288,Tony Massenburg,58,792,.362,18.5
350,Tony Parker,82,2774,.278,22.9
292,Tracy McGrady,75,2954,.400,35.2
319,Tracy Murray,31,193,.127,20.4
36,Travis Best,72,1807,.211,19.4
251,Travis Knight,32,287,.200,13.0
145,Tremaine Fowlkes,37,573,.461,13.7
191,Trenton Hassell,82,1999,.140,11.1
206,Troy Hudson,79,2600,.242,21.6
315,Troy Murphy,79,2510,.387,16.7
198,Tyrone Hill,56,1351,.261,13.3
265,Tyronn Lue,75,1986,.182,16.5
86,Tyson Chandler,75,1827,.601,18.1
23,Vin Baker,52,942,.517,15.5
83,Vince Carter,43,1471,.211,28.1
502,Vincent Yarbrough,59,1381,.145,17.3
368,Vitaly Potapenko,26,403,.312,15.2
121,Vlade Divac,80,2384,.383,17.0
371,Vladimir Radmanović,72,1910,.153,20.0
420,Vladimir Stepania,79,1594,.314,16.4
257,Voshon Lenard,63,1929,.240,23.6
434,Wally Szczerbiak,52,1836,.237,22.0
493,Walt Williams,66,1161,.147,15.6
289,Walter McCarty,82,1949,.234,12.6
503,Wang Zhizhi,41,412,.358,24.0
358,Wesley Person,66,1941,.161,16.2
306,Yao Ming,82,2382,.461,22.1
373,Zach Randolph,77,1301,.313,23.0
177,Zendon Hamilton,3,12,.400,26.2
214,Zydrunas Ilgauskas,81,2432,.456,27.8
444,Óscar Torres,17,109,.556,20.6
375,Željko Rebrača,30,488,.331,19.2
