,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
396,Eric Moreland,8,48,.500,2.5,1.000,.500,.500,.000,.000,.000,.500,1.000,.000,,,,1.000,,,
267,Ersan İlyasova,74,1881,.424,14.0,.608,.292,.124,.050,.144,.392,.458,.570,.317,.394,.368,.371,.641,.927,.131,.353
498,Greg Smith,18,192,.563,1.4,1.000,.844,.156,.000,.000,.000,.563,.593,.400,,,,.778,,,
202,JaMychal Green,78,1446,.465,8.6,.909,.481,.137,.067,.224,.091,.478,.563,.353,.455,.378,.333,.665,1.000,.644,.379
433,Jabari Parker,76,2408,.493,7.7,.961,.461,.150,.140,.210,.039,.502,.657,.356,.397,.339,.257,.719,.778,.514,.278
289,James Johnson,57,926,.475,9.3,.725,.475,.167,.029,.054,.275,.540,.632,.400,.286,.308,.303,.340,1.000,.515,.265
362,James Michael McAdoo,41,262,.536,3.8,.976,.643,.226,.060,.048,.024,.537,.648,.105,.800,.750,.500,.773,1.000,.000,
139,Jared Dudley,81,2098,.478,18.7,.511,.127,.027,.057,.298,.489,.534,.758,.385,.464,.469,.420,.872,1.000,.244,.483
524,Jared Sullinger,81,1915,.435,11.3,.872,.292,.202,.092,.287,.128,.458,.591,.399,.351,.398,.282,.609,1.000,.019,.500
354,Jarell Martin,27,380,.466,7.8,.983,.466,.172,.129,.216,.017,.474,.574,.350,.600,.280,.000,.574,,.000,
194,Jerami Grant,77,2066,.419,8.4,.756,.491,.184,.047,.035,.244,.477,.619,.209,.179,.286,.240,.685,1.000,.500,.288
424,Johnny O'Bryant,66,857,.411,9.3,.995,.344,.177,.096,.378,.005,.409,.472,.351,.200,.430,1.000,.729,1.000,1.000,1.000
337,Jon Leuer,67,1255,.481,11.3,.764,.305,.180,.137,.142,.236,.511,.725,.345,.422,.348,.382,.604,1.000,.145,.188
286,Jonas Jerebko,78,1176,.413,13.0,.622,.343,.136,.035,.108,.378,.421,.531,.308,.300,.258,.398,.693,1.000,.343,.405
380,Jordan Mickey,16,57,.364,3.7,1.000,.682,.136,.091,.091,.000,.364,.467,.000,.500,.000,,.500,,,
259,Josh Huestis,5,55,.417,17.4,.500,.083,.167,.083,.167,.500,.167,1.000,.000,.000,.000,.667,1.000,1.000,.333,.500
377,Josh McRoberts,42,595,.372,13.4,.669,.264,.176,.088,.142,.331,.434,.564,.423,.154,.381,.245,.581,1.000,.082,.250
505,Josh Smith,55,880,.364,13.6,.590,.238,.229,.040,.083,.410,.417,.627,.300,.214,.241,.287,.605,.951,.133,.263
460,Julius Randle,81,2286,.429,6.7,.957,.474,.248,.079,.156,.043,.436,.568,.362,.227,.254,.278,.451,.700,.111,.000
216,Justin Harper,5,35,.400,24.5,.100,.000,.000,.000,.100,.900,.000,,,,.000,.444,,1.000,.000,
156,Kenneth Faried,67,1694,.558,3.5,.997,.645,.251,.045,.056,.003,.558,.634,.452,.321,.343,.500,.684,1.000,.500,1.000
178,Kevin Garnett,38,556,.470,13.6,.991,.157,.122,.139,.574,.009,.474,.667,.500,.313,.455,.000,.944,,1.000,.000
344,Kevin Love,77,2424,.419,15.2,.551,.173,.190,.084,.104,.449,.467,.550,.452,.341,.451,.360,.602,.987,.303,.398
341,Kevon Looney,5,21,.571,12.1,.714,.286,.143,.286,.000,.286,.600,1.000,.000,.500,,.500,.333,1.000,.000,
260,Kris Humphries,53,835,.410,14.8,.634,.224,.125,.085,.200,.366,.465,.621,.216,.440,.458,.315,.782,.941,.167,.278
450,Kristaps Porziņģis,72,2047,.421,13.2,.726,.216,.184,.167,.159,.274,.454,.576,.356,.405,.454,.333,.586,.988,.099,.292
425,Kyle O'Quinn,65,764,.476,10.6,.919,.299,.166,.151,.303,.081,.498,.630,.378,.488,.439,.227,.637,.600,.136,.000
6,LaMarcus Aldridge,74,2261,.513,10.0,.985,.279,.191,.211,.303,.015,.521,.733,.465,.427,.426,.000,.660,,.500,.000
532,Lance Thomas,59,1313,.442,13.4,.715,.217,.183,.105,.209,.285,.458,.578,.357,.450,.425,.404,.592,.909,.541,.390
409,Larry Nance Jr.,63,1266,.527,8.1,.967,.463,.150,.097,.257,.033,.541,.683,.467,.345,.403,.100,.739,1.000,.500,.200
8,Lavoy Allen,79,1599,.516,7.6,1.000,.381,.273,.103,.243,.000,.516,.709,.446,.289,.389,,.691,,,
11,Lou Amundson,29,204,.358,4.8,1.000,.566,.226,.113,.094,.000,.358,.533,.167,.000,.200,,.632,,,
361,Luc Mbah a Moute,75,1274,.454,8.2,.807,.536,.116,.029,.126,.193,.485,.541,.458,.000,.385,.325,.901,1.000,.900,.333
487,Luis Scola,76,1636,.450,11.6,.731,.268,.249,.074,.140,.269,.467,.613,.403,.341,.369,.404,.603,.985,.497,.475
130,Luol Deng,74,2394,.455,13.0,.656,.305,.136,.059,.160,.344,.513,.670,.446,.205,.378,.344,.622,1.000,.539,.362
398,Markieff Morris,64,1629,.425,12.5,.784,.258,.142,.182,.202,.216,.458,.600,.353,.435,.372,.303,.605,.979,.142,.318
586,Marvin Williams,81,2338,.452,16.0,.494,.214,.124,.048,.106,.506,.504,.538,.527,.556,.392,.402,.591,.993,.270,.461
336,Meyers Leonard,61,1333,.448,18.0,.476,.103,.097,.124,.149,.524,.527,.533,.548,.500,.523,.377,.752,1.000,.127,.345
48,Michael Beasley,20,363,.522,8.9,.956,.361,.205,.161,.229,.044,.531,.649,.476,.455,.447,.333,.567,1.000,.667,.333
488,Mike Scott,75,1146,.468,13.7,.580,.263,.157,.093,.066,.420,.523,.636,.458,.571,.160,.392,.851,.968,.222,.286
527,Mirza Teletović,79,1686,.427,17.9,.408,.129,.134,.069,.076,.592,.476,.670,.413,.370,.356,.393,.536,.950,.096,.364
371,Mitch McGary,20,72,.478,10.1,.826,.391,.130,.087,.217,.174,.579,.667,.333,.500,.600,.000,.545,,.500,.000
218,Montrezl Harrell,39,379,.644,3.4,.989,.667,.233,.022,.067,.011,.652,.750,.524,.000,.333,.000,.638,,.000,
53,Nemanja Bjelica,60,1075,.468,15.0,.468,.281,.136,.013,.038,.532,.564,.727,.344,.333,.222,.384,.677,.896,.096,.500
237,Nenê,57,1094,.544,6.9,.992,.474,.180,.125,.214,.008,.549,.698,.449,.396,.390,.000,.641,,.667,.000
103,Nick Collison,59,699,.459,5.0,.982,.523,.294,.073,.092,.018,.467,.509,.406,.500,.400,.000,.660,,.500,.000
391,Nikola Mirotić,66,1646,.407,17.3,.432,.210,.074,.053,.095,.568,.430,.602,.222,.156,.362,.390,.690,.948,.228,.443
558,Noah Vonleh,78,1174,.421,9.3,.835,.417,.191,.054,.173,.165,.457,.603,.283,.467,.292,.239,.528,1.000,.304,.286
91,Omri Casspi,69,1880,.481,13.0,.559,.280,.256,.023,.003,.441,.537,.661,.440,.214,.000,.409,.663,.857,.168,.435
437,Patrick Patterson,79,2020,.414,17.2,.406,.124,.152,.087,.043,.594,.490,.525,.560,.349,.429,.362,.500,.991,.386,.372
390,Paul Millsap,81,2647,.470,9.9,.782,.363,.205,.131,.084,.218,.512,.630,.385,.464,.378,.319,.644,.973,.181,.190
0,Quincy Acy,59,876,.556,9.7,.771,.458,.121,.037,.154,.229,.606,.735,.385,.500,.424,.388,.710,.947,.347,.529
97,Rakeem Christmas,1,6,1.000,0.5,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,1.000,,,
254,Richaun Holmes,51,702,.514,7.7,.802,.572,.126,.072,.032,.198,.596,.724,.214,.375,.286,.182,.717,1.000,.091,.250
19,Ryan Anderson,66,2008,.427,15.3,.615,.227,.097,.112,.179,.385,.466,.521,.433,.375,.470,.366,.444,.924,.165,.322
311,Ryan Kelly,36,470,.369,12.9,.752,.242,.188,.134,.188,.248,.446,.500,.393,.300,.536,.135,.720,1.000,.216,.125
128,Sam Dekker,3,6,,,,,,,,,,,,,,,,,,
265,Serge Ibaka,78,2500,.479,13.6,.788,.196,.129,.123,.341,.212,.520,.671,.500,.486,.453,.326,.837,.983,.527,.351
577,Shayne Whittington,7,41,.455,7.1,.818,.636,.091,.000,.091,.182,.556,.714,.000,,.000,.000,.400,,.000,
227,Spencer Hawes,57,1035,.405,12.6,.667,.281,.173,.134,.078,.333,.422,.558,.358,.317,.250,.373,.616,1.000,.255,.423
418,Steve Novak,10,44,.444,23.2,.167,.000,.000,.056,.111,.833,.333,,,1.000,.000,.467,.000,1.000,.400,.667
184,Taj Gibson,73,1936,.526,5.8,.994,.524,.188,.160,.124,.006,.529,.630,.447,.388,.403,.000,.643,,.000,
302,Terrence Jones,50,1044,.452,8.5,.785,.444,.270,.027,.044,.215,.490,.638,.293,.200,.375,.316,.716,.920,.203,.250
598,Thaddeus Young,73,2407,.514,6.6,.969,.388,.388,.053,.139,.031,.523,.612,.497,.333,.418,.233,.559,.714,.300,.111
472,Thomas Robinson,71,917,.447,4.8,.997,.588,.210,.127,.072,.003,.448,.608,.230,.189,.238,.000,.531,,.000,
222,Tobias Harris,76,2513,.469,10.5,.731,.375,.187,.076,.094,.269,.518,.631,.410,.353,.417,.335,.561,.938,.351,.310
62,Trevor Booker,79,1632,.490,5.8,.894,.601,.186,.039,.070,.106,.513,.635,.306,.133,.222,.293,.596,1.000,.780,.344
346,Trey Lyles,80,1382,.438,12.8,.706,.236,.181,.126,.165,.294,.461,.573,.392,.418,.403,.383,.585,.959,.547,.443
538,Tristan Thompson,82,2269,.588,2.4,1.000,.695,.260,.036,.010,.000,.588,.671,.413,.400,.000,,.700,,,
212,Tyler Hansbrough,44,343,.451,3.5,.958,.606,.310,.028,.014,.042,.441,.581,.182,.500,.000,.667,.567,1.000,.000,
226,Udonis Haslem,37,260,.377,13.1,.852,.197,.115,.213,.328,.148,.423,.667,.571,.385,.250,.111,.909,1.000,.667,.167
461,Zach Randolph,68,2016,.475,8.6,.971,.314,.310,.103,.245,.029,.482,.604,.423,.462,.410,.231,.478,.833,.077,.500
