,Player,Fouls Drawn - Shoot
140,Duje Dukan,0
257,Dwight Howard,173
452,Dwight Powell,59
562,Dwyane Wade,169
395,E'Twaun Moore,14
124,Ed Davis,96
525,Edy Tavares,3
441,Elfrid Payton,83
389,Elijah Millsap,8
583,Elliot Williams,1
65,Elton Brand,5
404,Emmanuel Mudiay,94
172,Enes Freedom,123
57,Eric Bledsoe,66
191,Eric Gordon,48
396,Eric Moreland,1
198,Erick Green,0
267,Ersan İlyasova,69
162,Evan Fournier,101
546,Evan Turner,75
155,Festus Ezeli,58
308,Frank Kaminsky,64
528,Garrett Temple,46
220,Gary Harris,62
411,Gary Neal,23
238,George Hill,56
201,Gerald Green,39
230,Gerald Henderson,64
20,Giannis Antetokounmpo,188
470,Glenn Robinson III,20
136,Goran Dragić,68
229,Gordon Hayward,183
133,Gorgui Dieng,123
393,Greg Monroe,147
498,Greg Smith,7
555,Greivis Vásquez,12
38,Harrison Barnes,62
576,Hassan Whiteside,148
494,Henry Sims,14
533,Hollis Thompson,43
98,Ian Clark,9
350,Ian Mahinmi,94
492,Iman Shumpert,19
85,Isaiah Canaan,64
531,Isaiah Thomas,212
500,Ish Smith,70
36,J.J. Barea,39
234,J.J. Hickson,51
423,J.J. O'Brien,0
503,J.R. Smith,26
462,JJ Redick,68
483,JaKarr Sampson,56
202,JaMychal Green,62
372,JaVale McGee,15
433,Jabari Parker,117
115,Jae Crowder,114
426,Jahlil Okafor,102
113,Jamal Crawford,113
412,Jameer Nelson,12
16,James Anderson,13
148,James Ennis III,16
214,James Harden,337
289,James Johnson,35
301,James Jones,11
362,James Michael McAdoo,18
595,James Young,2
117,Jared Cunningham,23
139,Jared Dudley,38
524,Jared Sullinger,71
145,Jarell Eddie,4
354,Jarell Martin,29
519,Jarnell Stokes,1
273,Jarrett Jack,34
504,Jason Smith,23
529,Jason Terry,9
534,Jason Thompson,23
32,Jeff Ayres,3
203,Jeff Green,104
526,Jeff Teague,129
589,Jeff Withey,26
194,Jerami Grant,152
153,Jeremy Evans,10
319,Jeremy Lamb,44
339,Jeremy Lin,109
195,Jerian Grant,62
43,Jerryd Bayless,37
169,Jimmer Fredette,2
80,Jimmy Butler,198
415,Joakim Noah,16
378,Jodie Meeks,2
221,Joe Harris,0
270,Joe Ingles,6
290,Joe Johnson,54
596,Joe Young,11
24,Joel Anthony,3
322,Joffrey Lauvergne,33
231,John Henson,56
280,John Jenkins,12
565,John Wall,135
424,Johnny O'Bryant,21
337,Jon Leuer,50
286,Jonas Jerebko,27
551,Jonas Valančiūnas,88
493,Jonathon Simmons,43
1,Jordan Adams,2
100,Jordan Clarkson,86
157,Jordan Farmar,1
211,Jordan Hamilton,8
239,Jordan Hill,54
374,Jordan McRae,14
380,Jordan Mickey,6
207,Jorge Gutiérrez,2
259,Josh Huestis,1
377,Josh McRoberts,16
464,Josh Richardson,25
505,Josh Smith,27
83,José Calderón,14
246,Jrue Holiday,96
460,Julius Randle,136
17,Justin Anderson,25
216,Justin Harper,1
247,Justin Holiday,16
588,Justise Winslow,56
422,Jusuf Nurkić,43
369,K.J. McDaniels,14
544,Karl-Anthony Towns,135
335,Kawhi Leonard,133
