,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
236,Troy Williams,HOU,30,19,11,18.6,6.2,21.4,14.4,0.7,1.91,1.0,0.288,0.4,0.0,1.3,1.182,2.0,0.75,2.0,0.4,1.0,38.7,0.2,0.4,63.6,54.1,0.5,24.6,0.1,6.6,0.2,8.2,0.2,9.8,1.1,38.7,1.6,29.1,0.6,33.3,1.0,60.0,0.1,100.0,0.4,83.3,49.1,0.8,0.4,46.7,2.8,30.0,0.1,30.6,9.2,3.0,0.5,16.7,5.9,50.5,0.6,55.7,5.8,0.9,0.3,0.7,1.3,55.0
237,Tyreke Evans,SAC,40,17,23,19.7,10.3,44.1,21.2,3.4,4.63,4.17,0.233,0.4,0.6,0.7,0.471,0.273,0.714,7.7,1.3,3.4,38.8,0.4,0.6,70.8,41.0,2.6,33.2,0.9,11.1,0.5,6.2,0.3,4.2,3.2,38.8,1.6,35.5,2.3,33.3,0.5,60.0,0.2,37.5,0.2,75.0,46.2,0.3,0.2,46.2,2.4,14.4,0.1,14.9,5.9,3.3,0.8,24.2,5.3,61.4,0.3,65.3,6.4,0.9,0.2,1.2,1.7,68.7
238,Udonis Haslem,MIA,16,6,10,8.1,1.9,9.3,6.1,0.3,1.71,0.59,0.209,1.1,0.4,1.6,0.333,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,77.8,0.0,0.0,0.4,33.3,47.8,0.8,0.6,75.0,2.3,34.8,0.0,34.8,9.4,2.7,0.9,33.3,4.0,67.5,0.9,87.1,4.1,0.4,0.1,0.8,1.0,75.0
239,Vince Carter,MEM,73,36,37,24.7,8.0,34.5,23.7,1.3,2.18,1.12,0.233,0.9,1.0,1.0,0.319,0.542,0.568,2.3,0.5,1.0,48.6,0.3,0.4,73.3,56.0,0.7,30.4,0.2,10.1,0.1,6.0,0.2,8.9,1.3,48.6,4.2,39.8,1.0,30.6,0.6,36.2,0.5,42.4,0.3,47.4,50.8,0.5,0.3,52.8,2.1,25.5,0.0,25.7,8.9,2.8,0.6,21.1,5.3,52.5,0.5,57.6,7.0,0.8,0.5,0.9,1.5,62.3
240,Wesley Johnson,LAC,68,40,28,11.9,2.7,18.1,8.8,0.4,1.42,0.4,0.151,0.2,0.1,0.5,0.4,0.0,0.667,0.1,0.0,0.0,33.3,0.0,0.0,0.0,28.6,0.0,42.9,0.0,0.0,0.0,14.3,0.0,0.0,0.0,33.3,1.5,29.0,0.4,38.9,0.4,55.0,0.0,0.0,0.1,60.0,43.8,0.5,0.1,23.1,0.9,51.0,0.0,51.0,13.9,2.8,0.7,25.2,4.4,62.2,0.3,66.0,5.8,0.4,0.4,1.0,1.5,63.1
241,Wesley Matthews,DAL,72,28,44,34.1,13.4,50.3,36.1,2.1,2.48,1.52,0.268,0.9,2.5,0.7,0.371,0.345,0.811,5.6,0.8,2.0,37.9,0.7,0.8,83.6,40.5,2.1,37.8,0.4,7.7,0.5,8.1,0.4,7.7,2.3,37.9,5.7,37.3,3.6,36.5,0.6,73.9,0.8,45.1,0.3,71.4,49.3,0.3,0.0,16.7,1.6,16.4,0.1,17.1,16.4,3.5,0.6,16.6,6.3,55.5,0.5,60.0,7.6,1.1,0.2,1.0,1.4,72.4
242,Will Barton,DEN,59,30,29,28.5,13.7,45.8,28.2,2.7,3.55,2.95,0.3,0.7,0.2,1.5,0.7,0.417,0.824,7.9,1.5,3.4,42.8,0.8,1.2,73.5,49.0,2.6,32.6,0.8,10.7,0.4,5.1,0.6,7.5,3.9,42.8,2.8,35.0,3.0,37.7,1.3,68.8,0.1,25.0,0.5,66.7,51.1,1.0,0.4,43.6,3.2,30.2,0.1,31.4,10.5,3.5,0.6,16.2,6.4,54.0,0.6,59.3,5.9,0.8,0.5,1.3,2.1,64.2
243,Willie Reed,MIA,71,39,32,14.5,5.3,14.4,10.2,0.4,1.52,0.57,0.365,1.8,1.2,4.1,0.5,0.265,0.911,0.2,0.0,0.1,42.9,0.0,0.0,100.0,66.7,0.0,16.7,0.0,0.0,0.0,16.7,0.0,8.3,0.1,42.9,0.4,40.6,0.1,16.7,3.7,62.3,0.3,42.9,0.9,47.3,57.0,1.8,1.4,75.2,3.6,51.0,0.0,51.6,4.8,2.9,1.1,38.4,5.4,53.8,0.5,59.7,4.5,0.3,0.7,1.4,2.6,54.3
244,Wilson Chandler,DEN,70,34,36,30.9,15.7,48.4,31.0,2.0,2.46,1.53,0.323,0.9,1.5,3.1,0.59,0.552,0.86,6.7,1.8,3.7,47.5,0.5,0.7,73.1,62.3,1.8,26.2,0.3,5.1,0.4,6.2,0.4,5.5,4.2,47.5,4.3,35.1,2.6,38.5,2.6,62.7,0.8,48.9,0.5,68.2,51.7,1.5,0.9,63.1,3.5,42.4,0.1,43.6,6.9,5.0,1.3,25.1,8.1,61.8,0.7,67.6,5.6,0.7,0.4,1.5,2.8,52.0
245,Zach Randolph,MEM,73,38,35,24.5,14.1,45.5,31.2,1.6,2.16,0.83,0.309,3.3,8.9,5.8,0.342,0.521,0.981,1.6,0.4,1.1,36.3,0.3,0.3,79.2,67.8,0.2,12.2,0.0,2.6,0.1,4.3,0.2,10.4,1.1,36.3,3.1,34.6,1.0,32.7,5.7,60.9,4.6,42.5,1.1,42.3,46.0,2.5,1.7,69.8,6.4,39.1,0.2,40.3,4.9,5.7,1.7,30.3,8.2,69.6,0.7,75.8,4.6,0.5,0.1,2.0,3.0,68.7
