,Player,G,MP,USG%
20,Carmelo Anthony,66,2277,31.5
94,Caron Butler,67,2585,25.9
347,Cartier Martin,33,266,17.2
499,Cedric Simmons,18,84,18.1
192,Channing Frye,63,746,19.7
50,Charlie Bell,70,1783,16.0
555,Charlie Villanueva,78,2095,28.5
56,Chauncey Billups,79,2789,21.7
483,Cheikh Samb,18,83,20.6
18,Chris Andersen,71,1460,13.4
72,Chris Bosh,77,2928,26.9
164,Chris Douglas-Roberts,44,585,18.7
169,Chris Duhon,79,2906,14.9
309,Chris Kaman,31,921,20.9
368,Chris Mihm,18,105,22.2
428,Chris Paul,78,3002,27.5
446,Chris Quinn,66,962,17.0
578,Chris Wilcox,62,1049,21.3
238,Chuck Hayes,71,858,7.9
27,Chucky Atkins,33,412,15.4
76,Corey Brewer,15,307,16.3
339,Corey Maggette,51,1588,25.2
323,Courtney Lee,77,1939,15.5
502,Courtney Sims,2,13,23.5
510,Craig Smith,74,1460,22.5
380,Cuttino Mobley,11,365,21.5
30,D.J. Augustin,72,1908,20.8
271,D.J. Mbenga,23,181,17.8
576,D.J. White,7,130,20.0
122,Daequan Cook,75,1833,18.2
302,Dahntay Jones,79,1426,14.7
581,Damien Wilkins,41,636,18.8
303,Damon Jones,18,108,16.6
193,Dan Gadzuric,67,941,15.0
203,Daniel Gibson,75,1795,16.5
195,Danilo Gallinari,28,412,16.0
217,Danny Granger,67,2424,29.6
370,Darius Miles,34,298,21.0
519,Darius Songaila,77,1521,17.1
371,Darko Miličić,61,1034,16.3
279,Darnell Jackson,51,430,12.7
26,Darrell Arthur,76,1464,16.3
324,David Lee,81,2824,19.2
571,David West,76,2982,26.5
308,DeAndre Jordan,53,771,13.9
398,DeMarcus Nelson,13,171,18.8
155,DeSagana Diop,75,1036,10.8
522,DeShawn Stevenson,32,886,14.9
84,Dee Brown,19,261,11.8
572,Delonte West,64,2152,16.7
401,Demetris Nichols,4,14,31.0
185,Derek Fisher,82,2441,14.7
582,Deron Williams,68,2505,24.7
471,Derrick Rose,81,3000,22.6
180,Desmon Farmer,3,54,16.9
351,Desmond Mason,39,1064,15.7
202,Devean George,43,708,10.9
87,Devin Brown,63,869,22.8
231,Devin Harris,69,2494,28.4
395,Dikembe Mutombo,9,96,11.1
410,Dirk Nowitzki,81,3050,30.3
363,Dominic McGuire,79,2072,10.1
290,Dontell Jefferson,6,84,18.0
223,Donté Greene,55,725,17.8
346,Donyell Marshall,25,189,19.7
597,Dorell Wright,6,73,18.4
208,Drew Gooden,51,1264,23.5
304,Dwayne Jones,6,52,12.4
258,Dwight Howard,79,2821,26.1
558,Dwyane Wade,79,3048,36.2
567,Earl Watson,68,1776,16.3
205,Eddie Gill,6,43,14.6
257,Eddie House,81,1479,20.1
133,Eddy Curry,3,12,19.3
396,Eduardo Nájera,27,319,14.9
75,Elton Brand,29,920,23.8
421,Emeka Okafor,82,2691,18.9
213,Eric Gordon,78,2677,20.7
135,Erick Dampier,80,1836,10.4
535,Etan Thomas,26,306,14.0
418,Fabricio Oberto,54,677,11.3
175,Francisco Elson,59,977,10.8
196,Francisco García,65,1975,19.4
305,Fred Jones,52,1495,12.8
444,Gabe Pruitt,47,366,16.5
249,George Hill,77,1270,19.5
220,Gerald Green,38,376,27.7
562,Gerald Wallace,71,2669,20.5
22,Gilbert Arenas,2,63,22.4
143,Glen Davis,76,1637,17.1
165,Goran Dragić,55,728,19.7
250,Grant Hill,82,2445,17.5
93,Greg Buckner,63,878,11.1
419,Greg Oden,61,1314,19.3
565,Hakim Warrick,82,2029,22.0
224,Hamed Haddadi,19,120,20.7
3,Hassan Adams,12,52,17.4
548,Hedo Türkoğlu,77,2815,23.0
560,Henry Walker,29,216,18.6
25,Hilton Armstrong,70,1092,16.3
152,Ike Diogu,29,215,23.2
549,Ime Udoka,67,1035,16.2
37,J.J. Barea,79,1600,20.2
247,J.J. Hickson,62,705,18.0
204,J.R. Giddens,6,8,23.3
511,J.R. Smith,81,2245,24.2
457,JJ Redick,64,1111,16.4
361,JaVale McGee,75,1143,20.7
554,Jacque Vaughn,30,292,16.2
556,Jake Voskuhl,38,240,13.1
340,Jamaal Magloire,55,709,12.5
