,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
296,Karl Malone,.996,.326,.114,.209,.347,.004,.822,1.000,.023,.000
515,Keith Van Horn,.760,.240,.199,.161,.160,.240,.613,.954,.035,.188
79,Kelvin Cato,1.000,.613,.243,.099,.045,.000,.922,,.324,
181,Kendall Gill,.957,.254,.090,.204,.409,.043,.602,1.000,.022,.143
11,Kenny Anderson,.855,.233,.176,.181,.264,.145,.390,.818,.000,.091
505,Kenny Thomas,.802,.432,.198,.060,.112,.198,.575,1.000,.067,.098
304,Kenyon Martin,.986,.269,.203,.221,.292,.014,.696,1.000,.095,.182
89,Keon Clark,.998,.520,.243,.158,.077,.002,.655,,.125,.000
143,Kevin Edwards,.888,.147,.129,.129,.482,.112,.765,1.000,.006,.579
173,Kevin Garnett,.955,.235,.260,.196,.265,.045,.638,.895,.050,.167
381,Kevin Ollie,.984,.255,.167,.271,.292,.016,.627,.000,.000,.000
550,Kevin Willis,.991,.296,.239,.230,.226,.009,.670,.000,.042,.167
137,Keyon Dooling,.779,.298,.122,.108,.251,.221,.200,.643,.022,.213
148,Khalid El-Amin,.730,.248,.106,.125,.251,.270,.345,.750,.000,.107
63,Kobe Bryant,.868,.240,.134,.189,.303,.132,.384,.770,.035,.120
114,Kornél Dávid,1.000,.588,.078,.157,.176,.000,.680,,.078,
506,Kurt Thomas,.995,.422,.301,.189,.083,.005,.735,1.000,.021,.333
151,LaPhonso Ellis,.966,.341,.224,.139,.262,.034,.619,1.000,.065,.364
379,Lamar Odom,.758,.278,.222,.104,.154,.242,.409,.713,.017,.043
357,Lamond Murray,.822,.217,.145,.157,.303,.178,.594,.934,.039,.455
261,Lari Ketner,,,,,,,,,,
425,Laron Profit,.817,.331,.303,.056,.127,.183,.449,.857,.035,.154
225,Larry Hughes,.907,.239,.175,.201,.292,.093,.551,.857,.035,.173
248,Larry Johnson,.727,.334,.164,.177,.052,.273,.456,.941,.013,.387
445,Larry Robinson,.370,.027,.027,.158,.158,.630,.478,.909,.000,.474
475,Latrell Sprewell,.889,.222,.171,.244,.252,.111,.354,.805,.008,.200
422,Lavor Postell,.796,.259,.148,.204,.185,.204,.571,.667,.037,.364
168,Lawrence Funderburke,1.000,.446,.194,.132,.227,.000,.642,,.103,
365,Lee Nailon,.993,.338,.257,.228,.169,.007,.652,,.015,.000
226,Lindsey Hunter,.480,.089,.051,.114,.226,.520,.473,.862,.001,.258
556,Lorenzen Wright,.998,.314,.275,.303,.105,.002,.617,,.058,.500
518,Loy Vaught,1.000,.278,.112,.213,.396,.000,.725,,.024,
284,Luc Longley,1.000,.556,.241,.148,.056,.000,.889,,.074,
205,Lucious Harris,.788,.205,.038,.107,.438,.212,.616,.848,.008,.205
0,Mahmoud Abdul-Rauf,.943,.028,.049,.171,.695,.057,.543,.500,.000,.071
452,Malik Rose,.954,.399,.204,.177,.174,.046,.694,1.000,.068,.412
364,Mamadou N'Diaye,1.000,.250,.250,.250,.250,.000,1.000,,.000,
234,Marc Jackson,.955,.260,.250,.220,.224,.045,.612,1.000,.030,.000
71,Marcus Camby,.986,.607,.191,.143,.045,.014,.670,.000,.141,.125
160,Marcus Fizer,.940,.320,.218,.263,.138,.060,.638,.800,.037,.103
149,Mario Elie,.593,.297,.102,.089,.106,.407,.662,1.000,.012,.400
39,Mark Blount,1.000,.525,.215,.210,.050,.000,.554,,.120,
64,Mark Bryant,1.000,.150,.450,.250,.150,.000,.625,,.050,
235,Mark Jackson,.645,.209,.252,.089,.094,.355,.328,.886,.000,.135
292,Mark Madsen,.991,.681,.204,.071,.035,.009,.593,1.000,.159,1.000
418,Mark Pope,.831,.444,.070,.077,.239,.169,.719,1.000,.056,.667
489,Mark Strickland,.992,.364,.084,.192,.351,.008,.725,1.000,.100,.500
92,Mateen Cleaves,.958,.405,.078,.158,.318,.043,.368,.800,.000,.059
68,Matt Bullard,.302,.036,.026,.036,.203,.698,.721,.953,.003,.188
178,Matt Geiger,.991,.290,.237,.353,.112,.009,.693,,.027,.500
200,Matt Harpring,.901,.282,.118,.176,.324,.099,.756,.846,.006,.442
297,Matt Maloney,.592,.092,.026,.115,.359,.408,.305,.745,.000,.120
502,Maurice Taylor,.995,.247,.203,.235,.310,.005,.567,,.066,.000
555,Metta World Peace,.818,.325,.103,.118,.272,.182,.570,.884,.028,.162
111,Michael Curry,.972,.248,.060,.160,.505,.028,.730,1.000,.028,.667
134,Michael Dickerson,.775,.206,.128,.113,.327,.225,.552,.930,.023,.265
136,Michael Doleac,.994,.131,.066,.188,.609,.006,.891,,.015,.000
158,Michael Finley,.831,.210,.159,.191,.270,.169,.468,.879,.039,.285
210,Michael Hawkins,.556,.111,.111,.111,.222,.444,.000,1.000,.000,.000
384,Michael Olowokandi,1.000,.229,.566,.186,.018,.000,.510,,.068,
429,Michael Redd,.842,.368,.053,.211,.211,.158,.600,,.000,.333
453,Michael Ruffin,1.000,.789,.144,.044,.022,.000,.625,,.200,
469,Michael Smith,.995,.606,.289,.083,.018,.005,.594,,.060,.000
481,Michael Stewart,1.000,.500,.176,.294,.029,.000,.364,,.059,
33,Mike Bibby,.754,.103,.086,.119,.445,.246,.482,.917,.000,.165
