,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
527,Taurean Prince,54,1192,.467,15.7,.488,.216,.172,.047,.053,.512,.557,.671,.462,.667,.300,.381,.748,.946,.418,.432
614,Terry Taylor,31,264,.520,9.0,.747,.453,.240,.040,.013,.253,.607,.765,.389,.333,.000,.263,.618,1.000,.421,.250
700,Thaddeus Young,54,795,.545,7.9,.828,.364,.409,.040,.015,.172,.622,.806,.494,.250,.667,.176,.549,1.000,.706,.208
13,Thanasis Antetokounmpo,37,206,.435,7.7,.826,.478,.304,.022,.022,.174,.526,.682,.357,.000,.000,.000,.650,,.375,.000
139,Torrey Craig,79,1948,.456,15.0,.494,.266,.138,.062,.028,.506,.518,.699,.319,.258,.357,.395,.570,.990,.474,.450
664,Trendon Watford,62,1182,.560,8.8,.802,.344,.347,.080,.012,.198,.602,.676,.545,.462,.500,.391,.609,1.000,.125,.250
399,Trey Lyles,74,1247,.458,15.5,.412,.270,.120,.007,.002,.588,.595,.682,.388,.333,.000,.363,.650,.977,.346,.446
108,Vlatko Čančar,60,889,.476,15.3,.493,.233,.220,.035,.004,.507,.580,.717,.480,.250,1.000,.374,.662,.977,.330,.421
137,Xavier Cooks,10,126,.607,6.0,.964,.393,.536,.036,.000,.036,.630,.727,.533,1.000,,.000,.647,,.000,
475,Zeke Nnaji,53,728,.561,9.9,.668,.520,.138,.000,.010,.332,.710,.794,.407,,.500,.262,.720,1.000,.369,.250
690,Zion Williamson,29,956,.608,4.1,.959,.618,.307,.026,.009,.041,.618,.721,.438,.500,.000,.368,.457,.857,.000,
