,index,Roster,LE_Component_1,LE_Component_2,Win_Percentage,Avg Height,Standard Deviation of Roster Height,Season,Distance
370,370,2013PHO,0.001965804501586995,-0.0019278494463963224,0.3048780487804878,80.0,2.54,2013,1.8977527595336226e-05
371,371,2013POR,0.0015354425407418505,-0.00032445648344694435,0.4024390243902439,79.8,3.2,2013,0.000605493028647453
372,372,2013SAC,-0.005144276061235066,0.0032143787371079918,0.34146341463414637,77.5,4.12,2013,-0.0009649486620635372
373,373,2013SAS,0.0003709318766015513,-0.001533242073232386,0.7073170731707317,79.5,2.86,2013,-0.0005811550983154174
374,374,2013TOR,0.0008788780970235467,0.0004456557730186987,0.4146341463414634,79.5,3.44,2013,0.0006622669350211227
375,375,2013UTA,-0.0006169329010848194,-0.0006508854007299153,0.524390243902439,79.0,2.87,2013,-0.0006339091509073673
376,376,2013WAS,-0.001759078334974381,-0.001108778205006303,0.35365853658536583,78.8,2.97,2013,-0.001433928269990342
377,377,2014ATL,-0.001198758049191706,-0.0013451036628516978,0.4634146341463415,78.9,2.8,2014,-0.001271930856021702
378,378,2014BOS,-0.0019377124542346161,0.0026203666937427072,0.3048780487804878,78.4,3.73,2014,0.00034132711975404554
379,379,2014BRK,0.0036070365010042525,-0.0025642334221283427,0.5365853658536586,80.5,2.37,2014,0.0005214015394379549
380,380,2014CHI,0.002356849505423989,-0.00012621146179997965,0.5853658536585366,79.8,3.38,2014,0.0011153190218120047
381,381,2014CLE,-0.001206602599975073,7.038762373295675e-05,0.4024390243902439,78.9,3.47,2014,-0.0005681074881210582
382,382,2014DAL,-0.00037959121588748625,-0.0007388170451750774,0.5975609756097561,79.3,3.16,2014,-0.0005592041305312818
383,383,2014DEN,-0.0032087947999335526,0.005872993130837646,0.43902439024390244,77.8,4.9,2014,0.0013320991654520468
384,384,2014DET,-0.0008622224483701009,0.0029663746249963415,0.35365853658536583,78.8,3.87,2014,0.0010520760883131204
385,385,2014GSW,0.0014014743195238158,-0.0008492738613284754,0.6219512195121951,79.8,3.07,2014,0.0002761002290976702
386,386,2014HOU,0.0031232275948957274,-0.00016828742991071137,0.6585365853658537,80.3,3.31,2014,0.001477470082492508
