,Roster,LE_Component_1,LE_Component_2,Win_Percentage,Avg Height,Standard Deviation of Roster Height,Season,Distance
189,2007MIN,-0.0007830010077766597,-0.0014096987073973501,0.3902439024390244,79.2,3.03,2007,-0.0010963498575870048
190,2007NJN,0.0011311263067638312,0.0007226923422253712,0.5,79.7,3.63,2007,0.0009269093244946012
191,2007NOK,-0.0017133371662838032,0.0025240611342650155,0.47560975609756095,78.5,3.92,2007,0.00040536198399060614
192,2007NYK,3.756436066975585e-05,0.004484670796994724,0.4024390243902439,79.0,4.63,2007,0.00226111757883224
193,2007ORL,0.0007419383771747695,0.00290861063387736,0.4878048780487805,79.4,3.94,2007,0.0018252745055260648
194,2007PHI,-0.001181528229556579,0.0008014500092411226,0.4268292682926829,78.9,3.61,2007,-0.00019003911015772824
195,2007PHO,-0.0013240986442176461,-0.0012085217802688083,0.7439024390243902,78.8,2.69,2007,-0.0012663102122432272
196,2007POR,-0.00017193549246754546,-0.0006100446525327713,0.3902439024390244,79.3,2.99,2007,-0.0003909900725001584
197,2007SAC,-0.0009200059368606356,-0.00215460311961041,0.4024390243902439,79.0,2.8,2007,-0.0015373045282355228
198,2007SAS,0.001706807739834505,-0.0006806334516732737,0.7073170731707317,79.9,3.17,2007,0.0005130871440806157
199,2007SEA,-0.0013092944569175924,0.004324520721524925,0.3780487804878049,78.6,4.37,2007,0.0015076131323036664
200,2007TOR,0.0010250612350542864,0.0013836744117405905,0.573170731707317,79.6,3.81,2007,0.0012043678233974384
201,2007UTA,0.0011097252542174548,-0.0006506194318167774,0.6219512195121951,79.6,3.05,2007,0.0002295529112003387
202,2007WAS,0.0009493973366850303,-0.0018835036132522581,0.5,79.8,2.72,2007,-0.00046705313828361393
203,2008ATL,-0.0009415872015728701,3.542210979301713e-05,0.45121951219512196,78.9,3.07,2008,-0.00045308254588992647
204,2008BOS,-0.000790010993649749,0.0008974563172839292,0.8048780487804879,78.9,3.35,2008,5.372266181709009e-05
205,2008CHI,0.000626324622417282,6.918477158314146e-05,0.4024390243902439,79.4,3.14,2008,0.00034775469700021176
206,2008CLE,0.0006313327723675732,0.00030294752648330836,0.5487804878048781,79.7,3.89,2008,0.0004671401494254408
207,2008DAL,0.0003779468693048841,-0.00023653076456065373,0.6219512195121951,79.6,3.45,2008,7.070805237211518e-05
208,2008DEN,-0.002497557375580766,0.002548786452179948,0.6097560975609756,78.1,3.9,2008,2.5614538299590858e-05
209,2008DET,0.0006401876824667261,-0.0029883139634783334,0.7195121951219512,79.6,2.3,2008,-0.0011740631405058035
210,2008GSW,0.0009318164507369207,-0.0014173829977138686,0.5853658536585366,79.6,2.66,2008,-0.00024278327348847394
211,2008HOU,-0.0015116762377252657,0.002136262985479165,0.6707317073170732,79.2,4.52,2008,0.00031229337387694974
212,2008IND,0.0027616661746981937,0.00026731630463515274,0.43902439024390244,80.1,3.32,2008,0.0015144912396666732
213,2008LAC,-0.0031250557600491407,0.0034372694518158727,0.2804878048780488,78.1,4.2,2008,0.000156106845883366
214,2008LAL,0.0034473632823136128,0.001157012047576185,0.6951219512195121,80.3,3.66,2008,0.002302187664944899
215,2008MEM,-0.00232639175622463,0.006217561812773747,0.2682926829268293,78.1,4.82,2008,0.0019455850282745584
216,2008MIA,-0.0007530913741202529,0.000872333439152724,0.18292682926829268,79.2,3.74,2008,5.962103251623557e-05
217,2008MIL,0.0009049611476479153,0.001203986938790225,0.3170731707317073,79.6,3.73,2008,0.0010544740432190702
218,2008MIN,-0.0012019642505094266,-0.0012471699722283864,0.2682926829268293,78.8,2.83,2008,-0.0012245671113689065
219,2008NJN,0.000715895159145622,-0.0008218530077863831,0.4146341463414634,79.6,2.98,2008,-5.2978924320380564e-05
220,2008NOH,0.000778017888918466,0.003545818481579661,0.6829268292682927,79.1,4.18,2008,0.0021619181852490636
221,2008NYK,-0.00039005441072589815,0.0029170079297790702,0.2804878048780488,78.8,4.29,2008,0.001263476759526586
222,2008ORL,-0.0007846471184971207,0.0024404765691470928,0.6341463414634146,78.9,3.67,2008,0.000827914725324986
223,2008PHI,-0.000108125260928745,-0.0010008416113067781,0.4878048780487805,79.3,3.06,2008,-0.0005544834361177615
224,2008PHO,0.0008727309396000353,-0.0015081552007537996,0.6707317073170732,79.7,2.96,2008,-0.00031771213057688215
225,2008POR,0.0019147636204591193,0.0004621502809460863,0.5,80.0,3.58,2008,0.0011884569507026029
226,2008SAC,0.0004791359961218681,0.0005568047827987408,0.4634146341463415,79.5,3.69,2008,0.0005179703894603045
