,Roster,Standard Deviation of Roster Height
121,2005DAL,4.22
122,2005DEN,5.33
123,2005DET,3.04
124,2005GSW,3.87
125,2005HOU,4.61
126,2005IND,3.53
127,2005LAC,2.65
128,2005LAL,3.66
129,2005MEM,3.53
130,2005MIA,3.34
131,2005MIL,3.63
132,2005MIN,3.78
133,2005NJN,4.05
134,2005NOH,3.64
135,2005NYK,2.33
136,2005ORL,3.65
137,2005PHI,2.91
138,2005PHO,2.91
139,2005POR,4.68
140,2005SAC,3.03
141,2005SAS,3.11
142,2005SEA,3.16
143,2005TOR,2.94
144,2005UTA,2.87
145,2005WAS,2.97
146,2006ATL,3.67
147,2006BOS,2.33
148,2006CHA,4.32
149,2006CHI,3.28
150,2006CLE,3.72
151,2006DAL,3.47
152,2006DEN,5.39
153,2006DET,3.21
154,2006GSW,3.4
155,2006HOU,5.0
156,2006IND,3.11
157,2006LAC,2.86
158,2006LAL,2.49
159,2006MEM,4.64
160,2006MIA,3.27
161,2006MIL,4.09
162,2006MIN,3.03
163,2006NJN,3.26
164,2006NOK,3.8
165,2006NYK,4.34
166,2006ORL,3.86
167,2006PHI,3.41
168,2006PHO,3.17
169,2006POR,3.97
170,2006SAC,2.9
171,2006SAS,3.49
172,2006SEA,3.36
173,2006TOR,3.13
174,2006UTA,3.17
175,2006WAS,2.56
176,2007ATL,4.31
177,2007BOS,3.3
178,2007CHA,4.48
179,2007CHI,3.14
180,2007CLE,3.96
181,2007DAL,3.47
182,2007DEN,3.18
183,2007DET,2.58
184,2007GSW,2.72
185,2007HOU,4.42
186,2007IND,3.49
187,2007LAC,3.03
188,2007LAL,2.93
189,2007MEM,4.27
190,2007MIA,3.29
191,2007MIL,5.3
192,2007MIN,3.03
193,2007NJN,3.63
194,2007NOK,3.92
195,2007NYK,4.63
196,2007ORL,3.94
197,2007PHI,3.61
198,2007PHO,2.69
199,2007POR,2.99
200,2007SAC,2.8
201,2007SAS,3.17
202,2007SEA,4.37
203,2007TOR,3.81
204,2007UTA,3.05
205,2007WAS,2.72
206,2008ATL,3.07
207,2008BOS,3.35
208,2008CHA,5.14
209,2008CHI,3.14
210,2008CLE,3.89
211,2008DAL,3.45
212,2008DEN,3.9
213,2008DET,2.3
214,2008GSW,2.66
215,2008HOU,4.52
216,2008IND,3.32
217,2008LAC,4.2
218,2008LAL,3.66
219,2008MEM,4.82
220,2008MIA,3.74
221,2008MIL,3.73
222,2008MIN,2.83
223,2008NJN,2.98
224,2008NOH,4.18
225,2008NYK,4.29
226,2008ORL,3.67
227,2008PHI,3.06
228,2008PHO,2.96
229,2008POR,3.58
230,2008SAC,3.69
231,2008SAS,3.26
232,2008SEA,3.5
233,2008TOR,3.69
234,2008UTA,2.28
235,2008WAS,2.52
236,2009ATL,3.13
237,2009BOS,3.41
238,2009CHA,3.85
239,2009CHI,2.79
240,2009CLE,4.01
241,2009DAL,3.96
242,2009DEN,3.53
243,2009DET,3.19
244,2009GSW,2.94
245,2009HOU,4.35
246,2009IND,4.61
247,2009LAC,3.26
248,2009LAL,3.53
249,2009MEM,3.98
250,2009MIA,2.91
251,2009MIL,3.72
252,2009MIN,2.72
253,2009NJN,3.29
254,2009NOH,3.5
255,2009NYK,4.05
256,2009OKC,3.23
257,2009ORL,3.81
258,2009PHI,3.07
259,2009PHO,3.09
260,2009POR,3.52
261,2009SAC,3.6
262,2009SAS,2.61
263,2009TOR,2.71
264,2009UTA,3.44
265,2009WAS,2.87
266,2010ATL,3.06
267,2010BOS,3.58
268,2010CHA,3.74
269,2010CHI,3.24
270,2010CLE,4.35
271,2010DAL,4.47
272,2010DEN,3.68
273,2010DET,3.45
274,2010GSW,3.32
275,2010HOU,3.5
276,2010IND,4.39
