,Roster,Avg Height
260,2009POR,80.8
261,2009SAC,80.3
262,2009SAS,79.2
263,2009TOR,80.3
264,2009UTA,78.9
265,2009WAS,80.1
266,2010ATL,79.3
267,2010BOS,79.0
268,2010CHA,78.7
269,2010CHI,79.6
270,2010CLE,80.3
271,2010DAL,78.3
272,2010DEN,78.3
273,2010DET,79.6
274,2010GSW,78.9
275,2010HOU,79.0
276,2010IND,78.6
277,2010LAC,80.0
278,2010LAL,79.5
279,2010MEM,79.1
280,2010MIA,78.7
281,2010MIL,79.1
282,2010MIN,79.2
283,2010NJN,79.6
284,2010NOH,78.8
285,2010NYK,78.3
286,2010OKC,80.4
287,2010ORL,78.8
288,2010PHI,79.4
289,2010PHO,79.9
290,2010POR,78.9
291,2010SAC,80.7
292,2010SAS,79.1
293,2010TOR,79.7
294,2010UTA,79.1
295,2010WAS,79.2
296,2011ATL,78.7
297,2011BOS,78.7
298,2011CHA,79.8
299,2011CHI,79.9
300,2011CLE,78.9
301,2011DAL,79.2
302,2011DEN,78.2
303,2011DET,79.8
304,2011GSW,79.7
305,2011HOU,79.6
306,2011IND,80.9
307,2011LAC,78.4
308,2011LAL,79.5
309,2011MEM,79.1
310,2011MIA,79.7
311,2011MIL,78.1
312,2011MIN,80.2
313,2011NJN,80.0
314,2011NOH,78.7
315,2011NYK,79.5
316,2011OKC,80.0
317,2011ORL,79.1
318,2011PHI,79.4
319,2011PHO,80.7
320,2011POR,79.2
321,2011SAC,80.6
322,2011SAS,79.6
323,2011TOR,79.2
324,2011UTA,78.7
325,2011WAS,80.4
326,2012ATL,79.7
327,2012BOS,78.8
328,2012CHA,78.8
329,2012CHI,79.3
330,2012CLE,79.1
331,2012DAL,79.3
332,2012DEN,80.4
333,2012DET,79.8
334,2012GSW,78.7
335,2012HOU,79.6
336,2012IND,79.5
337,2012LAC,78.4
338,2012LAL,79.7
339,2012MEM,78.9
340,2012MIA,79.4
341,2012MIL,79.2
342,2012MIN,78.1
343,2012NJN,78.3
344,2012NOH,80.8
345,2012NYK,79.8
346,2012OKC,79.9
347,2012ORL,78.9
348,2012PHI,79.6
349,2012PHO,79.7
350,2012POR,79.3
351,2012SAC,78.6
352,2012SAS,79.6
353,2012TOR,80.1
354,2012UTA,79.1
355,2012WAS,79.5
356,2013ATL,79.0
357,2013BOS,78.9
358,2013BRK,79.5
359,2013CHA,79.1
360,2013CHI,79.2
361,2013CLE,78.7
362,2013DAL,79.4
363,2013DEN,79.8
364,2013DET,79.2
365,2013GSW,79.7
366,2013HOU,79.0
367,2013IND,79.7
368,2013LAC,78.9
369,2013LAL,79.0
370,2013MEM,78.9
371,2013MIA,79.2
372,2013MIL,79.4
373,2013MIN,78.8
374,2013NOH,79.6
375,2013NYK,79.4
376,2013OKC,80.4
377,2013ORL,78.7
378,2013PHI,79.6
379,2013PHO,80.0
380,2013POR,79.8
381,2013SAC,77.5
382,2013SAS,79.5
383,2013TOR,79.5
384,2013UTA,79.0
385,2013WAS,78.8
386,2014ATL,78.9
387,2014BOS,78.4
388,2014BRK,80.5
389,2014CHA,79.3
390,2014CHI,79.8
391,2014CLE,78.9
392,2014DAL,79.3
393,2014DEN,77.8
394,2014DET,78.8
395,2014GSW,79.8
396,2014HOU,80.3
397,2014IND,80.3
398,2014LAC,78.2
399,2014LAL,79.7
400,2014MEM,79.8
401,2014MIA,79.5
402,2014MIL,79.3
403,2014MIN,79.2
404,2014NOP,78.6
405,2014NYK,79.5
406,2014OKC,79.6
407,2014ORL,78.8
408,2014PHI,80.1
409,2014PHO,78.6
410,2014POR,79.7
411,2014SAC,78.5
412,2014SAS,79.2
413,2014TOR,79.5
414,2014UTA,78.4
415,2014WAS,80.0
416,2015ATL,78.6
417,2015BOS,79.2
418,2015BRK,80.2
419,2015CHI,79.6
420,2015CHO,78.1
421,2015CLE,79.0
422,2015DAL,78.9
423,2015DEN,80.2
424,2015DET,78.8
425,2015GSW,79.3
426,2015HOU,79.9
427,2015IND,80.1
428,2015LAC,79.6
429,2015LAL,79.9
430,2015MEM,79.3
431,2015MIA,79.3
432,2015MIL,79.3
433,2015MIN,79.1
434,2015NOP,80.7
435,2015NYK,78.8
436,2015OKC,79.9
437,2015ORL,79.5
438,2015PHI,79.9
439,2015PHO,78.8
440,2015POR,79.9
441,2015SAC,79.2
